GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,7,0,0.0,2020-21
League Averages,Above the Break 3,Center(C),24+ ft.,1029,341,0.331,2020-21
League Averages,Above the Break 3,Center(C),16-24 ft.,84,29,0.345,2020-21
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,1693,589,0.348,2020-21
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,114,37,0.325,2020-21
League Averages,Above the Break 3,Left Side(L),16-24 ft.,106,40,0.377,2020-21
League Averages,Above the Break 3,Left Side(L),24+ ft.,175,61,0.349,2020-21
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,1612,561,0.348,2020-21
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,104,31,0.298,2020-21
League Averages,Above the Break 3,Right Side(R),16-24 ft.,85,34,0.4,2020-21
League Averages,Above the Break 3,Right Side(R),24+ ft.,241,79,0.328,2020-21
League Averages,Backcourt,Back Court(BC),Back Court Shot,29,1,0.034,2020-21
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,746,271,0.363,2020-21
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3371,1477,0.438,2020-21
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,201,72,0.358,2020-21
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,249,82,0.329,2020-21
League Averages,Left Corner 3,Left Side(L),24+ ft.,228,93,0.408,2020-21
League Averages,Left Corner 3,Left Side(L),16-24 ft.,3,0,0.0,2020-21
League Averages,Mid-Range,Center(C),8-16 ft.,266,112,0.421,2020-21
League Averages,Mid-Range,Center(C),16-24 ft.,611,253,0.414,2020-21
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,630,243,0.386,2020-21
League Averages,Mid-Range,Left Side(L),16-24 ft.,226,97,0.429,2020-21
League Averages,Mid-Range,Left Side(L),8-16 ft.,669,232,0.347,2020-21
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,623,244,0.392,2020-21
League Averages,Mid-Range,Right Side(R),8-16 ft.,593,215,0.363,2020-21
League Averages,Mid-Range,Right Side(R),16-24 ft.,252,88,0.349,2020-21
League Averages,Restricted Area,Center(C),Less Than 8 ft.,3984,2720,0.683,2020-21
League Averages,Right Corner 3,Right Side(R),24+ ft.,74,33,0.446,2020-21
League Averages,Right Corner 3,Right Side(R),16-24 ft.,1,0,0.0,2020-21
