GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1029900002,124,100353,Andrea Nagy,1611661322,Washington Mystics,1,7,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-87,10,1,0,19990610,WAS,CHA,1999-00
Shot Chart Detail,1029900002,218,100353,Andrea Nagy,1611661322,Washington Mystics,1,1,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,0,1,0,19990610,WAS,CHA,1999-00
Shot Chart Detail,1029900008,35,100353,Andrea Nagy,1611661322,Washington Mystics,1,16,17,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,18,1,0,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900008,88,100353,Andrea Nagy,1611661322,Washington Mystics,1,10,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900008,145,100353,Andrea Nagy,1611661322,Washington Mystics,1,4,22,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-68,8,1,0,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900008,210,100353,Andrea Nagy,1611661322,Washington Mystics,1,2,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-156,169,1,0,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900008,251,100353,Andrea Nagy,1611661322,Washington Mystics,2,14,57,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,59,46,1,1,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900008,292,100353,Andrea Nagy,1611661322,Washington Mystics,2,9,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,74,85,1,0,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900008,299,100353,Andrea Nagy,1611661322,Washington Mystics,2,9,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-74,61,1,0,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900008,307,100353,Andrea Nagy,1611661322,Washington Mystics,2,8,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-83,72,1,0,19990612,HOU,WAS,1999-00
Shot Chart Detail,1029900011,195,100353,Andrea Nagy,1611661322,Washington Mystics,1,0,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19990614,NYL,WAS,1999-00
Shot Chart Detail,1029900020,46,100353,Andrea Nagy,1611661322,Washington Mystics,1,14,27,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,10,1,0,19990618,WAS,DET,1999-00
Shot Chart Detail,1029900020,108,100353,Andrea Nagy,1611661322,Washington Mystics,1,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-81,0,1,1,19990618,WAS,DET,1999-00
Shot Chart Detail,1029900020,129,100353,Andrea Nagy,1611661322,Washington Mystics,1,6,3,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,3,48,1,1,19990618,WAS,DET,1999-00
Shot Chart Detail,1029900020,394,100353,Andrea Nagy,1611661322,Washington Mystics,2,0,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,104,128,1,1,19990618,WAS,DET,1999-00
Shot Chart Detail,1029900020,411,100353,Andrea Nagy,1611661322,Washington Mystics,2,0,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,19990618,WAS,DET,1999-00
Shot Chart Detail,1029900020,417,100353,Andrea Nagy,1611661322,Washington Mystics,2,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-166,66,1,1,19990618,WAS,DET,1999-00
Shot Chart Detail,1029900022,118,100353,Andrea Nagy,1611661322,Washington Mystics,1,9,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,76,38,1,0,19990619,ORL,WAS,1999-00
Shot Chart Detail,1029900022,142,100353,Andrea Nagy,1611661322,Washington Mystics,1,7,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,143,186,1,0,19990619,ORL,WAS,1999-00
Shot Chart Detail,1029900028,37,100353,Andrea Nagy,1611661322,Washington Mystics,1,15,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,10,1,1,19990622,WAS,PHO,1999-00
Shot Chart Detail,1029900028,231,100353,Andrea Nagy,1611661322,Washington Mystics,1,2,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-87,48,1,0,19990622,WAS,PHO,1999-00
