GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,Center(C),24+ ft.,45,13,0.289,2015-16
League Averages,Above the Break 3,Center(C),16-24 ft.,48,10,0.208,2015-16
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,83,31,0.373,2015-16
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,84,31,0.369,2015-16
League Averages,Above the Break 3,Left Side(L),16-24 ft.,25,9,0.36,2015-16
League Averages,Above the Break 3,Left Side(L),24+ ft.,28,16,0.571,2015-16
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,85,31,0.365,2015-16
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,71,28,0.394,2015-16
League Averages,Above the Break 3,Right Side(R),16-24 ft.,16,6,0.375,2015-16
League Averages,Above the Break 3,Right Side(R),24+ ft.,17,12,0.706,2015-16
League Averages,Backcourt,Back Court(BC),Back Court Shot,8,0,0.0,2015-16
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,84,37,0.44,2015-16
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,234,88,0.376,2015-16
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,18,6,0.333,2015-16
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,26,4,0.154,2015-16
League Averages,Left Corner 3,Left Side(L),24+ ft.,35,10,0.286,2015-16
League Averages,Mid-Range,Center(C),8-16 ft.,48,23,0.479,2015-16
League Averages,Mid-Range,Center(C),16-24 ft.,137,53,0.387,2015-16
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,124,38,0.306,2015-16
League Averages,Mid-Range,Left Side(L),16-24 ft.,89,33,0.371,2015-16
League Averages,Mid-Range,Left Side(L),8-16 ft.,127,49,0.386,2015-16
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,140,51,0.364,2015-16
League Averages,Mid-Range,Right Side(R),8-16 ft.,121,54,0.446,2015-16
League Averages,Mid-Range,Right Side(R),16-24 ft.,77,22,0.286,2015-16
League Averages,Restricted Area,Center(C),Less Than 8 ft.,911,511,0.561,2015-16
League Averages,Right Corner 3,Right Side(R),24+ ft.,35,12,0.343,2015-16
