GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022001049,65,201896,Briann January,1611661323,Connecticut Sun,1,3,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-20,253,1,0,20200812,CON,DAL,2020,102200104965,3680,validated,,0,matched,playbyplayv2,1611661321,201886|201896|202662|203826|1628280,complete,playbyplay_inferred,203866|204330|1628277|1629481|1630149,complete,playbyplay_inferred
Shot Chart Detail,1022001049,421,201896,Briann January,1611661323,Connecticut Sun,3,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-96,185,1,0,20200812,CON,DAL,2020,1022001049421,18000,validated,,0,matched,playbyplayv2,1611661321,201886|201896|203826|1627678|1629492,complete,playbyplay_inferred,203866|204330|1627669|1628277|1629481,complete,playbyplay_inferred
Shot Chart Detail,1022001055,122,201896,Briann January,1611661323,Connecticut Sun,2,8,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-132,154,1,0,20200814,CHI,CON,2020,1022001055122,6660,validated,,0,matched,playbyplayv2,1611661329,201886|201896|202662|203826|1627678,complete,playbyplay_inferred,202664|203828|1627674|1628890|1628931,complete,playbyplay_inferred
Shot Chart Detail,1022001055,140,201896,Briann January,1611661323,Connecticut Sun,2,7,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,50,83,1,0,20200814,CHI,CON,2020,1022001055140,7730,validated,,0,matched,playbyplayv2,1611661329,201886|201896|1627678|1628280|1630097,complete,playbyplay_inferred,202664|204323|1627674|1628890|1628931,complete,playbyplay_inferred
Shot Chart Detail,1022001055,319,201896,Briann January,1611661323,Connecticut Sun,3,4,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-168,186,1,0,20200814,CHI,CON,2020,1022001055319,15490,validated,,0,matched,playbyplayv2,1611661329,201886|201896|202662|203826|1629492,complete,playbyplay_inferred,201516|202664|203828|204323|1627674,complete,playbyplay_inferred
Shot Chart Detail,1022001055,385,201896,Briann January,1611661323,Connecticut Sun,3,0,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,29,1,0,20200814,CHI,CON,2020,1022001055385,18000,validated,,0,matched,playbyplayv2,1611661329,201896|203826|1627678|1629492|1630097,complete,playbyplay_inferred,201516|202664|203828|1627674|1628922,complete,playbyplay_inferred
Shot Chart Detail,1022001062,116,201896,Briann January,1611661323,Connecticut Sun,1,0,55,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-163,113,1,0,20200816,CON,SEA,2020,1022001062116,5450,validated,,0,matched,playbyplayv2,1611661328,201886|201896|1627678|1629492|1629567,complete,playbyplay_inferred,202252|1628244|1628886|1628920|1629496,complete,playbyplay_inferred
Shot Chart Detail,1022001062,150,201896,Briann January,1611661323,Connecticut Sun,2,8,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-74,246,1,1,20200816,CON,SEA,2020,1022001062150,6800,validated,1627678,1,matched,playbyplayv2,1611661328,201886|201896|1627678|1629492|1629567,complete,playbyplay_inferred,100720|201518|1627668|1628244|1628886,complete,playbyplay_inferred
Shot Chart Detail,1022001062,175,201896,Briann January,1611661323,Connecticut Sun,2,6,59,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,25,1,0,20200816,CON,SEA,2020,1022001062175,7810,validated,,0,matched,playbyplayv2,1611661328,201886|201896|1627678|1628280|1629567,complete,playbyplay_inferred,100720|202252|203827|1627668|1628886,complete,playbyplay_inferred
Shot Chart Detail,1022001062,195,201896,Briann January,1611661323,Connecticut Sun,2,5,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,32,242,1,0,20200816,CON,SEA,2020,1022001062195,8480,validated,,0,matched,playbyplayv2,1611661328,201896|202662|203826|1627678|1628280,complete,playbyplay_inferred,100720|202252|203827|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1022001064,46,201896,Briann January,1611661323,Connecticut Sun,1,5,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-104,166,1,1,20200818,CON,IND,2020,102200106446,2670,validated,,0,matched,playbyplayv2,1611661325,201886|201896|202662|203826|1628280,complete,playbyplay_inferred,200676|1627676|1627700|1628909|1629479,complete,playbyplay_inferred
