GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022001003,117,203035,Shey Peddy,1611661322,Washington Mystics,1,1,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,27,1,1,20200725,WAS,IND,2020,1022001003117,5050,validated,,0,matched,playbyplayv2,1611661325,201502|203035|1628268|1628899|1629506,complete,playbyplay_inferred,1627676|1628906|1628909|1628927|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022001003,123,203035,Shey Peddy,1611661322,Washington Mystics,1,0,46,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,51,32,1,1,20200725,WAS,IND,2020,1022001003123,5540,validated,,0,matched,playbyplayv2,1611661325,201502|203035|1628268|1628899|1629506,complete,playbyplay_inferred,1627676|1628906|1628909|1628927|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022001003,132,203035,Shey Peddy,1611661322,Washington Mystics,1,0,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,41,45,1,1,20200725,WAS,IND,2020,1022001003132,5690,validated,,0,matched,playbyplayv2,1611661325,201502|203035|1628268|1628899|1629506,complete,playbyplay_inferred,200676|1627676|1628909|1628927|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022001003,180,203035,Shey Peddy,1611661322,Washington Mystics,2,7,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-4,269,1,0,20200725,WAS,IND,2020,1022001003180,7260,validated,,0,matched,playbyplayv2,1611661325,203035|203416|1627672|1628878|1628899,complete,playbyplay_inferred,200676|203831|1627676|1627700|1628927,complete,playbyplay_inferred
Shot Chart Detail,1022001003,538,203035,Shey Peddy,1611661322,Washington Mystics,4,0,58,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,25,34,1,0,20200725,WAS,IND,2020,1022001003538,23420,validated,,0,matched,playbyplayv2,1611661325,201502|203035|1627672|1628268|1628878,complete,playbyplay_inferred,1627676|1628906|1628909|1628927|1629568,complete,playbyplay_inferred
Shot Chart Detail,1022001007,153,203035,Shey Peddy,1611661322,Washington Mystics,1,0,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-15,93,1,0,20200728,CON,WAS,2020,1022001007153,5720,validated,,0,matched,playbyplayv2,1611661323,201502|203035|203416|1628268|1628878,complete,playbyplay_inferred,201886|202662|203826|1628280|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022001007,173,203035,Shey Peddy,1611661322,Washington Mystics,2,9,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-24,153,1,0,20200728,CON,WAS,2020,1022001007173,6480,validated,,0,matched,playbyplayv2,1611661323,201502|203035|203416|1628268|1628878,complete,playbyplay_inferred,201886|203826|1628280|1629567|1630097,complete,playbyplay_inferred
Shot Chart Detail,1022001013,91,203035,Shey Peddy,1611661322,Washington Mystics,1,2,20,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,59,18,1,0,20200730,WAS,SEA,2020,102200101391,4600,validated,,0,matched,playbyplayv2,1611661328,203035|203416|1627672|1628268|1628878,complete,playbyplay_inferred,202252|202259|1627668|1628886|1628920,complete,playbyplay_inferred
Shot Chart Detail,1022001013,119,203035,Shey Peddy,1611661322,Washington Mystics,1,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-214,138,1,0,20200730,WAS,SEA,2020,1022001013119,5670,validated,,0,matched,playbyplayv2,1611661328,201502|203035|1628268|1628878|1628899,complete,playbyplay_inferred,201518|202259|1628244|1628886|1628920,complete,playbyplay_inferred
Shot Chart Detail,1022001013,131,203035,Shey Peddy,1611661322,Washington Mystics,2,9,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,109,235,1,1,20200730,WAS,SEA,2020,1022001013131,6200,validated,1628899,1,matched,playbyplayv2,1611661328,201502|203035|203416|1628899|1629506,complete,playbyplay_inferred,201518|202259|1628244|1628886|1628920,complete,playbyplay_inferred
