GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022001045,539,1630118,Stella Johnson,1611661329,Chicago Sky,4,0,19,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,57,59,1,0,20200810,SEA,CHI,2020,1022001045539,23810,validated,,0,matched,playbyplayv2,1611661328,202641|1628890|1628931|1630113|1630118,complete,playbyplay_inferred,203827|1627670|1628244|1628886|1628920,complete,playbyplay_inferred
Shot Chart Detail,1022001060,153,1630118,Stella Johnson,1611661322,Washington Mystics,2,8,28,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,60,99,1,1,20200815,LVA,WAS,2020,1022001060153,6920,validated,,0,matched,playbyplayv2,1611661319,201502|203403|1628268|1628899|1630118,complete,playbyplay_inferred,202658|203411|204324|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1022001060,155,1630118,Stella Johnson,1611661322,Washington Mystics,2,7,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,27,1,0,20200815,LVA,WAS,2020,1022001060155,7220,validated,,0,matched,playbyplayv2,1611661319,201502|203403|1628268|1628899|1630118,complete,playbyplay_inferred,202658|203411|204324|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1022001060,157,1630118,Stella Johnson,1611661322,Washington Mystics,2,7,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,133,221,1,1,20200815,LVA,WAS,2020,1022001060157,7310,validated,203403,1,matched,playbyplayv2,1611661319,201502|203403|1628268|1628899|1630118,complete,playbyplay_inferred,202658|203411|204324|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1022001060,206,1630118,Stella Johnson,1611661322,Washington Mystics,2,4,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-171,63,1,0,20200815,LVA,WAS,2020,1022001060206,9290,validated,,0,matched,playbyplayv2,1611661319,201507|203403|203416|1628878|1630118,complete,playbyplay_inferred,201881|203825|204324|1628263|1628932,complete,playbyplay_inferred
Shot Chart Detail,1022001060,440,1630118,Stella Johnson,1611661322,Washington Mystics,4,8,44,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-124,199,1,0,20200815,LVA,WAS,2020,1022001060440,18760,validated,,0,matched,playbyplayv2,1611661319,201502|203403|1628268|1628899|1630118,complete,playbyplay_inferred,202658|203411|204324|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1022001060,484,1630118,Stella Johnson,1611661322,Washington Mystics,4,5,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,225,72,1,0,20200815,LVA,WAS,2020,1022001060484,20670,validated,,0,matched,playbyplayv2,1611661319,201507|203416|1628268|1628878|1630118,complete,playbyplay_inferred,202658|203411|204324|1629498|1629570,complete,playbyplay_inferred
Shot Chart Detail,1022001060,496,1630118,Stella Johnson,1611661322,Washington Mystics,4,4,37,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,11,1,1,20200815,LVA,WAS,2020,1022001060496,21230,validated,201507,1,matched,playbyplayv2,1611661319,201507|203416|1628268|1628878|1630118,complete,playbyplay_inferred,202658|203411|204332|1629498|1629570,complete,playbyplay_inferred
Shot Chart Detail,1022001067,15,1630118,Stella Johnson,1611661322,Washington Mystics,1,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,59,246,1,0,20200819,WAS,ATL,2020,102200106715,910,validated,,0,matched,playbyplayv2,1611661330,201507|203416|1628878|1628899|1630118,complete,playbyplay_inferred,204322|204335|204355|1627675|1628881,complete,playbyplay_inferred
Shot Chart Detail,1022001067,52,1630118,Stella Johnson,1611661322,Washington Mystics,1,5,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-92,187,1,0,20200819,WAS,ATL,2020,102200106752,2780,validated,,0,matched,playbyplayv2,1611661330,201507|203416|1628878|1628899|1630118,complete,playbyplay_inferred,204322|204335|204355|1627675|1628881,complete,playbyplay_inferred
Shot Chart Detail,1022001067,181,1630118,Stella Johnson,1611661322,Washington Mystics,2,6,27,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,20,1,0,20200819,WAS,ATL,2020,1022001067181,8130,validated,,0,matched,playbyplayv2,1611661330,201507|203416|1628878|1628899|1630118,complete,playbyplay_inferred,203015|204322|204355|1627675|1628881,complete,playbyplay_inferred
Shot Chart Detail,1022001067,186,1630118,Stella Johnson,1611661322,Washington Mystics,2,6,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,150,192,1,0,20200819,WAS,ATL,2020,1022001067186,8350,validated,,0,matched,playbyplayv2,1611661330,201507|203416|1628878|1628899|1630118,complete,playbyplay_inferred,203015|204322|204355|1627675|1628881,complete,playbyplay_inferred
Shot Chart Detail,1022001067,196,1630118,Stella Johnson,1611661322,Washington Mystics,2,5,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,23,-219,72,1,1,20200819,WAS,ATL,2020,1022001067196,8740,validated,203416,1,matched,playbyplayv2,1611661330,201507|203416|1628878|1628899|1630118,complete,playbyplay_inferred,203015|204322|204335|204355|1628881,complete,playbyplay_inferred
Shot Chart Detail,1022001067,200,1630118,Stella Johnson,1611661322,Washington Mystics,2,4,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-177,146,1,1,20200819,WAS,ATL,2020,1022001067200,9030,validated,1628878,1,matched,playbyplayv2,1611661330,201507|203416|1628878|1628899|1630118,complete,playbyplay_inferred,203015|204322|204335|204355|1628881,complete,playbyplay_inferred
Shot Chart Detail,1022001067,213,1630118,Stella Johnson,1611661322,Washington Mystics,2,3,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,136,206,1,1,20200819,WAS,ATL,2020,1022001067213,9760,validated,201507,1,matched,playbyplayv2,1611661330,201507|203416|1628878|1628899|1630118,complete,playbyplay_inferred,203015|204322|204335|204355|1628881,complete,playbyplay_inferred
