GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041500101,66,201499,Candice Wiggins,1611661313,New York Liberty,1,2,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-171,160,1,0,20150918,NYL,WAS,2015,104150010166,4260,validated,,0,matched,playbyplayv2,1611661322,201499|201502|202250|202259|202670,complete,playbyplay_inferred,100874|201048|201506|203401|203828,complete,playbyplay_inferred
Shot Chart Detail,1041500101,324,201499,Candice Wiggins,1611661313,New York Liberty,3,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,54,-116,528,1,0,20150918,NYL,WAS,2015,1041500101324,18000,validated,,0,matched,playbyplayv2,1611661322,201499|201502|202670|203411|204329,complete,playbyplay_inferred,100874|201048|201506|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1041500101,334,201499,Candice Wiggins,1611661313,New York Liberty,4,9,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,32,132,1,0,20150918,NYL,WAS,2015,1041500101334,18590,validated,,0,matched,playbyplayv2,1611661322,201499|201502|202670|203411|204329,complete,playbyplay_inferred,100874|201048|201506|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1041500102,325,201499,Candice Wiggins,1611661313,New York Liberty,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,-64,307,1,0,20150920,WAS,NYL,2015,1041500102325,18000,validated,,0,matched,playbyplayv2,1611661322,100721|201499|201502|203411|204329,complete,playbyplay_inferred,100874|201506|203401|203416|204333,complete,playbyplay_inferred
Shot Chart Detail,1041500103,138,201499,Candice Wiggins,1611661313,New York Liberty,2,6,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,177,197,1,1,20150922,NYL,WAS,2015,1041500103138,8260,validated,101030,1,matched,playbyplayv2,1611661322,101030|201499|202250|203411|204329,complete,playbyplay_inferred,100874|201056|201506|203401|203416,complete,playbyplay_inferred
Shot Chart Detail,1041500103,163,201499,Candice Wiggins,1611661313,New York Liberty,2,3,25,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,22,1,1,20150922,NYL,WAS,2015,1041500103163,9950,validated,202250,1,matched,playbyplayv2,1611661322,101030|201499|202250|203411|204329,complete,playbyplay_inferred,201056|201913|203416|203437|204333,complete,playbyplay_inferred
Shot Chart Detail,1041500103,294,201499,Candice Wiggins,1611661313,New York Liberty,3,1,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-11,1,1,20150922,NYL,WAS,2015,1041500103294,16910,validated,203411,1,matched,playbyplayv2,1611661322,201499|202250|202259|203411|204329,complete,playbyplay_inferred,100874|201056|201913|203416|203437,complete,playbyplay_inferred
Shot Chart Detail,1041500103,296,201499,Candice Wiggins,1611661313,New York Liberty,3,1,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,184,167,1,1,20150922,NYL,WAS,2015,1041500103296,17360,validated,202250,1,matched,playbyplayv2,1611661322,201499|202250|202259|203411|204329,complete,playbyplay_inferred,100874|201056|201913|203416|203437,complete,playbyplay_inferred
Shot Chart Detail,1041500201,115,201499,Candice Wiggins,1611661313,New York Liberty,2,5,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-179,159,1,0,20150923,NYL,IND,2015,1041500201115,8580,validated,,0,matched,playbyplayv2,1611661325,201499|201502|202250|202259|202670,complete,playbyplay_inferred,100646|201503|201889|201896|203018,complete,playbyplay_inferred
Shot Chart Detail,1041500202,137,201499,Candice Wiggins,1611661313,New York Liberty,2,6,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,12,1,0,20150927,IND,NYL,2015,1041500202137,8370,validated,,0,matched,playbyplayv2,1611661325,201499|201502|202250|203411|204329,complete,playbyplay_inferred,100646|201503|201889|201896|201919,complete,playbyplay_inferred
Shot Chart Detail,1041500202,300,201499,Candice Wiggins,1611661313,New York Liberty,4,9,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,15,53,1,0,20150927,IND,NYL,2015,1041500202300,18560,validated,,0,matched,playbyplayv2,1611661325,201499|201502|202250|202259|202670,complete,playbyplay_inferred,100646|201889|201919|203018|203041,complete,playbyplay_inferred
