GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041500102,421,204365,Erica Wheeler,1611661313,New York Liberty,4,1,6,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,0,1,0,20150920,WAS,NYL,2015,1041500102421,23340,validated,,0,matched,playbyplayv2,1611661322,201499|201502|203069|203411|204365,complete,playbyplay_inferred,201048|201913|203829|204326|204333,complete,playbyplay_inferred
Shot Chart Detail,1041500201,352,204365,Erica Wheeler,1611661313,New York Liberty,4,0,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,-14,1,1,20150923,NYL,IND,2015,1041500201352,23640,validated,203411,1,matched,playbyplayv2,1611661325,201502|203069|203411|204329|204365,complete,playbyplay_inferred,202656|203406|203827|203831|203843,complete,playbyplay_inferred
Shot Chart Detail,1041500203,395,204365,Erica Wheeler,1611661313,New York Liberty,4,0,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,15,101,1,0,20150929,NYL,IND,2015,1041500203395,23670,validated,,0,matched,playbyplayv2,1611661325,201499|203069|203411|204329|204365,complete,playbyplay_inferred,202656|203041|203406|203827|203843,complete,playbyplay_inferred
