GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1042000101,147,203035,Shey Peddy,1611661317,Phoenix Mercury,2,8,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,173,1,1,20200915,PHO,WAS,2020,1042000101147,6780,validated,,0,matched,playbyplayv2,1611661322,100940|201913|203035|1629482|1629488,complete,playbyplay_inferred,203043|203403|1628268|1629506|1630134,complete,playbyplay_inferred
Shot Chart Detail,1042000101,159,203035,Shey Peddy,1611661317,Phoenix Mercury,2,8,15,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,12,1,1,20200915,PHO,WAS,2020,1042000101159,7050,validated,,0,matched,playbyplayv2,1611661322,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,201507|203043|1628268|1628899|1629506,complete,playbyplay_inferred
Shot Chart Detail,1042000101,220,203035,Shey Peddy,1611661317,Phoenix Mercury,2,3,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,226,45,1,0,20200915,PHO,WAS,2020,1042000101220,9830,validated,,0,matched,playbyplayv2,1611661322,100940|203035|203400|1629482|1629488,complete,playbyplay_inferred,201507|203403|203416|1628878|1629506,complete,playbyplay_inferred
Shot Chart Detail,1042000101,307,203035,Shey Peddy,1611661317,Phoenix Mercury,3,8,8,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20200915,PHO,WAS,2020,1042000101307,13120,validated,,0,matched,playbyplayv2,1611661322,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,201507|203416|1628878|1628899|1629506,complete,playbyplay_inferred
Shot Chart Detail,1042000101,343,203035,Shey Peddy,1611661317,Phoenix Mercury,3,4,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,23,1,1,20200915,PHO,WAS,2020,1042000101343,15480,validated,,0,matched,playbyplayv2,1611661322,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,201507|203416|1628878|1628899|1629506,complete,playbyplay_inferred
Shot Chart Detail,1042000101,345,203035,Shey Peddy,1611661317,Phoenix Mercury,3,3,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,171,197,1,0,20200915,PHO,WAS,2020,1042000101345,15830,validated,,0,matched,playbyplayv2,1611661322,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,201507|203416|1628878|1628899|1629506,complete,playbyplay_inferred
Shot Chart Detail,1042000101,512,203035,Shey Peddy,1611661317,Phoenix Mercury,4,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,227,49,1,1,20200915,PHO,WAS,2020,1042000101512,24000,validated,203400,1,matched,playbyplayv2,1611661322,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,201507|203416|1628878|1628899|1629506,complete,playbyplay_inferred
Shot Chart Detail,1042000211,37,203035,Shey Peddy,1611661317,Phoenix Mercury,1,5,55,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-236,-10,1,1,20200917,MIN,PHO,2020,104200021137,2450,validated,203400,1,matched,playbyplayv2,1611661324,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,201480|203024|203824|1629483|1630101,complete,playbyplay_inferred
Shot Chart Detail,1042000211,82,203035,Shey Peddy,1611661317,Phoenix Mercury,1,2,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-95,227,1,0,20200917,MIN,PHO,2020,104200021182,4360,validated,,0,matched,playbyplayv2,1611661324,201913|203035|203400|1629482|1629488,complete,playbyplay_inferred,203024|1627671|1629483|1629524|1630101,complete,playbyplay_inferred
Shot Chart Detail,1042000211,184,203035,Shey Peddy,1611661317,Phoenix Mercury,2,4,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,24,-228,78,1,0,20200917,MIN,PHO,2020,1042000211184,9150,validated,,0,matched,playbyplayv2,1611661324,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,203024|203824|1629483|1629524|1630101,complete,playbyplay_inferred
Shot Chart Detail,1042000211,252,203035,Shey Peddy,1611661317,Phoenix Mercury,3,9,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-142,194,1,0,20200917,MIN,PHO,2020,1042000211252,12080,validated,,0,matched,playbyplayv2,1611661324,100940|201913|203035|203400|1629488,complete,playbyplay_inferred,201480|203024|203824|1629483|1630101,complete,playbyplay_inferred
