GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1042200121,518,1631002,Nia Clouden,1611661323,Connecticut Sun,4,1,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,9,1,1,20220818,CON,DAL,2022-23
Shot Chart Detail,1042200122,464,1631002,Nia Clouden,1611661323,Connecticut Sun,4,2,37,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20220821,CON,DAL,2022-23
Shot Chart Detail,1042200212,537,1631002,Nia Clouden,1611661323,Connecticut Sun,4,1,7,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,13,1,0,20220831,CHI,CON,2022-23
Shot Chart Detail,1042200214,548,1631002,Nia Clouden,1611661323,Connecticut Sun,4,2,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-11,1,1,20220906,CON,CHI,2022-23
Shot Chart Detail,1042200214,561,1631002,Nia Clouden,1611661323,Connecticut Sun,4,0,50,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,0,20220906,CON,CHI,2022-23
Shot Chart Detail,1042200302,167,1631002,Nia Clouden,1611661323,Connecticut Sun,2,5,37,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,150,65,1,0,20220913,LVA,CON,2022-23
Shot Chart Detail,1042200302,476,1631002,Nia Clouden,1611661323,Connecticut Sun,4,1,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,216,108,1,1,20220913,LVA,CON,2022-23
Shot Chart Detail,1042200302,493,1631002,Nia Clouden,1611661323,Connecticut Sun,4,0,35,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,28,238,1,0,20220913,LVA,CON,2022-23
Shot Chart Detail,1042200303,492,1631002,Nia Clouden,1611661323,Connecticut Sun,4,2,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,115,86,1,0,20220915,CON,LVA,2022-23
