GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,1,0,0.0,2009-10
League Averages,Above the Break 3,Center(C),24+ ft.,15,6,0.4,2009-10
League Averages,Above the Break 3,Center(C),16-24 ft.,102,39,0.382,2009-10
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,22,4,0.182,2009-10
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,156,56,0.359,2009-10
League Averages,Above the Break 3,Left Side(L),16-24 ft.,60,18,0.3,2009-10
League Averages,Above the Break 3,Left Side(L),24+ ft.,18,5,0.278,2009-10
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,21,5,0.238,2009-10
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,142,65,0.458,2009-10
League Averages,Above the Break 3,Right Side(R),16-24 ft.,65,25,0.385,2009-10
League Averages,Backcourt,Back Court(BC),Back Court Shot,6,0,0.0,2009-10
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,82,42,0.512,2009-10
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,286,111,0.388,2009-10
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,37,16,0.432,2009-10
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,52,21,0.404,2009-10
League Averages,Left Corner 3,Left Side(L),24+ ft.,54,18,0.333,2009-10
League Averages,Left Corner 3,Left Side(L),16-24 ft.,23,13,0.565,2009-10
League Averages,Mid-Range,Center(C),8-16 ft.,43,13,0.302,2009-10
League Averages,Mid-Range,Center(C),16-24 ft.,59,17,0.288,2009-10
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,69,33,0.478,2009-10
League Averages,Mid-Range,Left Side(L),16-24 ft.,76,32,0.421,2009-10
League Averages,Mid-Range,Left Side(L),8-16 ft.,174,63,0.362,2009-10
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,90,34,0.378,2009-10
League Averages,Mid-Range,Right Side(R),8-16 ft.,173,58,0.335,2009-10
League Averages,Mid-Range,Right Side(R),16-24 ft.,47,12,0.255,2009-10
League Averages,Restricted Area,Center(C),Less Than 8 ft.,936,539,0.576,2009-10
League Averages,Right Corner 3,Right Side(R),16-24 ft.,28,8,0.286,2009-10
League Averages,Right Corner 3,Right Side(R),24+ ft.,14,6,0.429,2009-10
