GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Center(C),24+ ft.,161,47,0.292
League Averages,Above the Break 3,Center(C),16-24 ft.,5,3,0.6
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,18,6,0.333
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,273,101,0.37
League Averages,Above the Break 3,Left Side(L),24+ ft.,37,12,0.324
League Averages,Above the Break 3,Left Side(L),16-24 ft.,12,3,0.25
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,242,87,0.36
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,9,5,0.556
League Averages,Above the Break 3,Right Side(R),24+ ft.,46,24,0.522
League Averages,Above the Break 3,Right Side(R),16-24 ft.,20,12,0.6
League Averages,Backcourt,Back Court(BC),Back Court Shot,8,0,0.0
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,149,63,0.423
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,461,177,0.384
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,32,9,0.281
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,34,16,0.471
League Averages,Left Corner 3,Left Side(L),24+ ft.,77,21,0.273
League Averages,Left Corner 3,Left Side(L),16-24 ft.,1,1,1.0
League Averages,Mid-Range,Center(C),16-24 ft.,78,22,0.282
League Averages,Mid-Range,Center(C),8-16 ft.,49,23,0.469
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,45,13,0.289
League Averages,Mid-Range,Left Side(L),8-16 ft.,84,33,0.393
League Averages,Mid-Range,Left Side(L),16-24 ft.,33,12,0.364
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,57,19,0.333
League Averages,Mid-Range,Right Side(R),8-16 ft.,86,36,0.419
League Averages,Mid-Range,Right Side(R),16-24 ft.,27,8,0.296
League Averages,Restricted Area,Center(C),Less Than 8 ft.,717,446,0.622
League Averages,Right Corner 3,Right Side(R),24+ ft.,52,14,0.269
