GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021200130,70,203046,Briana Butler,1611661317,Phoenix Mercury,1,3,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-93,124,1,0,20120823,PHO,NYL,2012,102120013070,4180,validated,,0,matched,playbyplayv2,1611661313,201886|202663|203019|203046|203069,complete,playbyplay_inferred,100533|100919|101025|200665|201502,complete,playbyplay_inferred
Shot Chart Detail,1021200130,319,203046,Briana Butler,1611661317,Phoenix Mercury,3,1,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,135,45,1,0,20120823,PHO,NYL,2012,1021200130319,17130,validated,,0,matched,playbyplayv2,1611661313,100556|201487|201886|203019|203046,complete,playbyplay_inferred,100888|101025|200665|201502|201507,complete,playbyplay_inferred
Shot Chart Detail,1021200130,333,203046,Briana Butler,1611661317,Phoenix Mercury,4,9,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,4,1,1,20120823,PHO,NYL,2012,1021200130333,18190,validated,201886,1,matched,playbyplayv2,1611661313,100556|201487|201886|203019|203046,complete,playbyplay_inferred,100919|101025|200665|201502|201507,complete,playbyplay_inferred
Shot Chart Detail,1021200130,349,203046,Briana Butler,1611661317,Phoenix Mercury,4,7,48,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,0,20120823,PHO,NYL,2012,1021200130349,19320,validated,,0,matched,playbyplayv2,1611661313,100556|201487|201886|203019|203046,complete,playbyplay_inferred,100919|101025|200665|201502|201507,complete,playbyplay_inferred
Shot Chart Detail,1021200130,390,203046,Briana Butler,1611661317,Phoenix Mercury,4,4,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,140,72,1,0,20120823,PHO,NYL,2012,1021200130390,21520,validated,,0,matched,playbyplayv2,1611661313,100556|201487|202663|203019|203046,complete,playbyplay_inferred,100888|100919|101025|201502|201507,complete,playbyplay_inferred
Shot Chart Detail,1021200130,437,203046,Briana Butler,1611661317,Phoenix Mercury,4,0,9,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,-16,1,1,20120823,PHO,NYL,2012,1021200130437,23910,validated,202663,1,matched,playbyplayv2,1611661313,202663|203013|203019|203046|203069,complete,playbyplay_inferred,100888|100919|201502|201507|201913,complete,playbyplay_inferred
Shot Chart Detail,1021200137,103,203046,Briana Butler,1611661317,Phoenix Mercury,2,9,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-182,0,1,1,20120825,PHO,IND,2012,1021200137103,6380,validated,100940,1,matched,playbyplayv2,1611661325,100940|201487|201886|203046|203069,complete,playbyplay_inferred,101039|201047|201503|201896|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200137,128,203046,Briana Butler,1611661317,Phoenix Mercury,2,6,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),16-24 ft.,21,217,23,1,1,20120825,PHO,IND,2012,1021200137128,7910,validated,201487,1,matched,playbyplayv2,1611661325,100940|201487|202663|203046|203069,complete,playbyplay_inferred,100666|201047|201503|201896|201919,complete,playbyplay_inferred
Shot Chart Detail,1021200137,130,203046,Briana Butler,1611661317,Phoenix Mercury,2,6,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,14,1,0,20120825,PHO,IND,2012,1021200137130,8280,validated,,0,matched,playbyplayv2,1611661325,100940|201487|202663|203046|203069,complete,playbyplay_inferred,100666|201047|201503|201896|201919,complete,playbyplay_inferred
Shot Chart Detail,1021200137,401,203046,Briana Butler,1611661317,Phoenix Mercury,4,5,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),16-24 ft.,21,-217,25,1,0,20120825,PHO,IND,2012,1021200137401,20850,validated,,0,matched,playbyplayv2,1611661325,201487|202663|203019|203046|203069,complete,playbyplay_inferred,100646|100666|101039|202640|203067,complete,playbyplay_inferred
Shot Chart Detail,1021200137,413,203046,Briana Butler,1611661317,Phoenix Mercury,4,3,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,9,1,0,20120825,PHO,IND,2012,1021200137413,21720,validated,,0,matched,playbyplayv2,1611661325,201487|202663|203019|203046|203069,complete,playbyplay_inferred,100646|100666|101039|202640|203067,complete,playbyplay_inferred
