GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021200020,94,203021,Natalie Novosel,1611661322,Washington Mystics,1,1,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,22,-196,107,1,0,20120530,WAS,MIN,2012,102120002094,5180,validated,,0,matched,playbyplayv2,1611661324,100729|201049|201490|201918|203021,complete,playbyplay_inferred,100944|201499|202257|202632|202644,complete,playbyplay_inferred
Shot Chart Detail,1021200020,208,203021,Natalie Novosel,1611661322,Washington Mystics,2,0,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-30,159,1,1,20120530,WAS,MIN,2012,1021200020208,11780,validated,202662,1,matched,playbyplayv2,1611661324,100729|201492|201518|202662|203021,complete,playbyplay_inferred,100412|100835|100915|100944|200671,complete,playbyplay_inferred
Shot Chart Detail,1021200029,112,203021,Natalie Novosel,1611661322,Washington Mystics,1,0,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,165,14,1,0,20120603,CON,WAS,2012,1021200029112,5840,validated,,0,matched,playbyplayv2,1611661323,100729|201490|201492|201918|203021,complete,playbyplay_inferred,101020|200691|201904|202254|202255,complete,playbyplay_inferred
Shot Chart Detail,1021200029,416,203021,Natalie Novosel,1611661322,Washington Mystics,4,3,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-62,126,1,1,20120603,CON,WAS,2012,1021200029416,21900,validated,,0,matched,playbyplayv2,1611661323,200673|201490|201518|201918|203021,complete,playbyplay_inferred,100723|100874|201904|202250|202253,complete,playbyplay_inferred
Shot Chart Detail,1021200037,141,203021,Natalie Novosel,1611661322,Washington Mystics,2,6,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-4,160,1,0,20120608,WAS,NYL,2012,1021200037141,7940,validated,,0,matched,playbyplayv2,1611661313,100729|201492|201518|202662|203021,complete,playbyplay_inferred,100919|200665|201502|201913|203020,complete,playbyplay_inferred
Shot Chart Detail,1021200037,329,203021,Natalie Novosel,1611661322,Washington Mystics,4,7,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,21,207,60,1,0,20120608,WAS,NYL,2012,1021200037329,19320,validated,,0,matched,playbyplayv2,1611661313,100729|200673|201518|202662|203021,complete,playbyplay_inferred,100533|200665|201502|201507|201913,complete,playbyplay_inferred
Shot Chart Detail,1021200048,96,203021,Natalie Novosel,1611661322,Washington Mystics,1,0,48,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,-28,1,0,20120615,WAS,IND,2012,102120004896,5520,validated,,0,matched,playbyplayv2,1611661325,100942|200673|201918|202662|203021,complete,playbyplay_inferred,100666|201047|201503|201919|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,115,203021,Natalie Novosel,1611661322,Washington Mystics,2,8,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-2,1,1,20120615,WAS,IND,2012,1021200048115,6760,validated,,0,matched,playbyplayv2,1611661325,200673|201518|201918|202662|203021,complete,playbyplay_inferred,101033|201047|201503|201896|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,123,203021,Natalie Novosel,1611661322,Washington Mystics,2,7,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-220,80,1,1,20120615,WAS,IND,2012,1021200048123,7300,validated,201518,1,matched,playbyplayv2,1611661325,200673|201497|201518|201918|203021,complete,playbyplay_inferred,101033|201047|201503|201896|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,288,203021,Natalie Novosel,1611661322,Washington Mystics,3,4,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20120615,WAS,IND,2012,1021200048288,15500,validated,201497,1,matched,playbyplayv2,1611661325,100729|200673|201497|201518|203021,complete,playbyplay_inferred,100646|201896|201919|202656|203067,complete,playbyplay_inferred
Shot Chart Detail,1021200057,116,203021,Natalie Novosel,1611661322,Washington Mystics,2,9,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,20,231,1,1,20120618,LAS,WAS,2012,1021200057116,6230,validated,201497,1,matched,playbyplayv2,1611661320,100942|200673|201497|201518|203021,complete,playbyplay_inferred,100690|201496|201889|201911|202650,complete,playbyplay_inferred
