GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021200039,129,202670,Carolyn Swords,1611661329,Chicago Sky,1,0,15,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,28,1,0,20120608,CHI,TUL,2012,1021200039129,5850,validated,,0,matched,playbyplayv2,1611661321,100721|100973|201477|202664|202670,complete,playbyplay_inferred,101024|101080|201056|202653|203017,complete,playbyplay_inferred
Shot Chart Detail,1021200043,276,202670,Carolyn Swords,1611661329,Chicago Sky,3,4,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,1,1,1,20120610,NYL,CHI,2012,1021200043276,15400,validated,100721,1,matched,playbyplayv2,1611661313,100656|100721|201477|202259|202670,complete,playbyplay_inferred,100888|101025|200665|201502|201507,complete,playbyplay_inferred
Shot Chart Detail,1021200043,384,202670,Carolyn Swords,1611661329,Chicago Sky,4,3,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,-2,1,0,20120610,NYL,CHI,2012,1021200043384,21920,validated,,0,matched,playbyplayv2,1611661313,100656|100721|201477|202259|202670,complete,playbyplay_inferred,100533|100919|201502|201507|201913,complete,playbyplay_inferred
Shot Chart Detail,1021200043,401,202670,Carolyn Swords,1611661329,Chicago Sky,4,1,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-2,1,1,20120610,NYL,CHI,2012,1021200043401,22820,validated,201477,1,matched,playbyplayv2,1611661313,100656|100721|201477|202259|202670,complete,playbyplay_inferred,100533|200665|201502|201507|201913,complete,playbyplay_inferred
Shot Chart Detail,1021200045,142,202670,Carolyn Swords,1611661329,Chicago Sky,2,4,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,15,140,1,0,20120613,CHI,SEA,2012,1021200045142,9540,validated,,0,matched,playbyplayv2,1611661328,100721|201477|201480|202259|202670,complete,playbyplay_inferred,100076|100445|100720|101030|201067,complete,playbyplay_inferred
Shot Chart Detail,1021200045,235,202670,Carolyn Swords,1611661329,Chicago Sky,3,5,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20120613,CHI,SEA,2012,1021200045235,14830,validated,202664,1,matched,playbyplayv2,1611661328,100721|201480|202259|202664|202670,complete,playbyplay_inferred,100076|100404|100445|100720|201067,complete,playbyplay_inferred
Shot Chart Detail,1021200065,153,202670,Carolyn Swords,1611661329,Chicago Sky,2,4,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20120623,MIN,CHI,2012,1021200065153,9020,validated,100721,1,matched,playbyplayv2,1611661324,100656|100721|201909|202664|202670,complete,playbyplay_inferred,100412|100944|200671|201499|202632,complete,playbyplay_inferred
Shot Chart Detail,1021200074,86,202670,Carolyn Swords,1611661329,Chicago Sky,1,1,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,23,1,0,20120627,CHI,IND,2012,102120007486,5380,validated,,0,matched,playbyplayv2,1611661325,100656|201477|201909|202664|202670,complete,playbyplay_inferred,100666|101039|201047|201503|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200074,161,202670,Carolyn Swords,1611661329,Chicago Sky,2,5,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,22,1,1,20120627,CHI,IND,2012,1021200074161,8620,validated,100721,1,matched,playbyplayv2,1611661325,100234|100721|201062|201909|202670,complete,playbyplay_inferred,100628|100646|100666|201896|201919,complete,playbyplay_inferred
Shot Chart Detail,1021200084,128,202670,Carolyn Swords,1611661329,Chicago Sky,2,7,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,9,1,0,20120701,CHI,ATL,2012,1021200084128,7660,validated,,0,matched,playbyplayv2,1611661330,100234|100973|201062|201909|202670,complete,playbyplay_inferred,101049|200715|201046|201484|203026,complete,playbyplay_inferred
Shot Chart Detail,1021200090,97,202670,Carolyn Swords,1611661329,Chicago Sky,1,1,27,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1,20120706,CHI,NYL,2012,102120009097,5130,validated,,0,matched,playbyplayv2,1611661313,100234|100973|201062|201909|202670,complete,playbyplay_inferred,100533|100919|101025|201507|202652,complete,playbyplay_inferred
