GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021200114,378,203013,Dymond Simon,1611661317,Phoenix Mercury,4,0,59,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,25,1,0,20120816,SEA,PHO,2012,1021200114378,23410,validated,,0,matched,playbyplayv2,1611661328,201487|202663|203013|203041|203069,complete,playbyplay_inferred,100404|100658|202252|202318|203015,complete,playbyplay_inferred
Shot Chart Detail,1021200122,107,203013,Dymond Simon,1611661317,Phoenix Mercury,2,8,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,88,214,1,0,20120819,PHO,SAN,2012,1021200122107,6620,validated,,0,matched,playbyplayv2,1611661319,100556|201886|203013|203019|203041,complete,playbyplay_inferred,100236|100952|202634|202658|203018,complete,playbyplay_inferred
Shot Chart Detail,1021200122,126,203013,Dymond Simon,1611661317,Phoenix Mercury,2,6,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-166,55,1,0,20120819,PHO,SAN,2012,1021200122126,7870,validated,,0,matched,playbyplayv2,1611661319,201487|202663|203013|203019|203069,complete,playbyplay_inferred,100236|100284|100952|202634|203018,complete,playbyplay_inferred
Shot Chart Detail,1021200122,416,203013,Dymond Simon,1611661317,Phoenix Mercury,4,2,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,-60,209,1,0,20120819,PHO,SAN,2012,1021200122416,22240,validated,,0,matched,playbyplayv2,1611661319,201886|202663|203013|203019|203069,complete,playbyplay_inferred,100236|100284|202251|203001|203018,complete,playbyplay_inferred
Shot Chart Detail,1021200122,424,203013,Dymond Simon,1611661317,Phoenix Mercury,4,1,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22,94,209,1,0,20120819,PHO,SAN,2012,1021200122424,23070,validated,,0,matched,playbyplayv2,1611661319,201886|202663|203013|203019|203069,complete,playbyplay_inferred,100236|100284|202251|203001|203018,complete,playbyplay_inferred
Shot Chart Detail,1021200122,430,203013,Dymond Simon,1611661317,Phoenix Mercury,4,1,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-109,138,1,0,20120819,PHO,SAN,2012,1021200122430,23310,validated,,0,matched,playbyplayv2,1611661319,201886|202663|203013|203019|203069,complete,playbyplay_inferred,100236|100284|202251|203001|203018,complete,playbyplay_inferred
Shot Chart Detail,1021200122,448,203013,Dymond Simon,1611661317,Phoenix Mercury,4,0,5,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),16-24 ft.,21,218,0,1,0,20120819,PHO,SAN,2012,1021200122448,23950,validated,,0,matched,playbyplayv2,1611661319,201886|202663|203013|203019|203069,complete,playbyplay_inferred,100236|100284|202251|203001|203018,complete,playbyplay_inferred
Shot Chart Detail,1021200130,432,203013,Dymond Simon,1611661317,Phoenix Mercury,4,0,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,86,50,1,0,20120823,PHO,NYL,2012,1021200130432,23570,validated,,0,matched,playbyplayv2,1611661313,202663|203013|203019|203046|203069,complete,playbyplay_inferred,100888|100919|201502|201507|201913,complete,playbyplay_inferred
Shot Chart Detail,1021200137,454,203013,Dymond Simon,1611661317,Phoenix Mercury,4,1,29,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-71,56,1,1,20120825,PHO,IND,2012,1021200137454,23110,validated,,0,matched,playbyplayv2,1611661325,100556|201487|203013|203046|203069,complete,playbyplay_inferred,101039|201047|201503|202640|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200177,72,203013,Dymond Simon,1611661317,Phoenix Mercury,1,3,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,12,1,1,20120912,PHO,CON,2012,102120017772,3650,validated,,0,matched,playbyplayv2,1611661323,100556|201886|202663|203013|203046,complete,playbyplay_inferred,100874|101042|201904|202254|202263,complete,playbyplay_inferred
Shot Chart Detail,1021200177,96,203013,Dymond Simon,1611661317,Phoenix Mercury,1,1,20,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-19,132,1,0,20120912,PHO,CON,2012,102120017796,5200,validated,,0,matched,playbyplayv2,1611661323,201487|202663|203013|203041|203046,complete,playbyplay_inferred,101020|101042|200691|201904|202263,complete,playbyplay_inferred
Shot Chart Detail,1021200177,187,203013,Dymond Simon,1611661317,Phoenix Mercury,2,3,15,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,72,119,1,1,20120912,PHO,CON,2012,1021200177187,10050,validated,,0,matched,playbyplayv2,1611661323,201487|201886|202663|203013|203046,complete,playbyplay_inferred,100874|101042|201904|202253|202263,complete,playbyplay_inferred
Shot Chart Detail,1021200177,222,203013,Dymond Simon,1611661317,Phoenix Mercury,2,0,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,15,1,1,20120912,PHO,CON,2012,1021200177222,11680,validated,,0,matched,playbyplayv2,1611661323,100556|201886|203013|203041|203046,complete,playbyplay_inferred,100874|101042|201904|202253|202263,complete,playbyplay_inferred
Shot Chart Detail,1021200177,318,203013,Dymond Simon,1611661317,Phoenix Mercury,3,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,-49,211,1,0,20120912,PHO,CON,2012,1021200177318,16850,validated,,0,matched,playbyplayv2,1611661323,100556|201886|203013|203041|203046,complete,playbyplay_inferred,100874|200691|201904|202255|202263,complete,playbyplay_inferred
Shot Chart Detail,1021200177,320,203013,Dymond Simon,1611661317,Phoenix Mercury,3,1,48,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,17,1,0,20120912,PHO,CON,2012,1021200177320,16920,validated,,0,matched,playbyplayv2,1611661323,100556|201886|203013|203041|203046,complete,playbyplay_inferred,100874|200691|201904|202255|202263,complete,playbyplay_inferred
Shot Chart Detail,1021200177,495,203013,Dymond Simon,1611661317,Phoenix Mercury,4,1,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,0,151,1,0,20120912,PHO,CON,2012,1021200177495,23100,validated,,0,matched,playbyplayv2,1611661323,100556|201501|202663|203013|203046,complete,playbyplay_inferred,101020|101042|201904|202253|202263,complete,playbyplay_inferred
