GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021200048,164,201497,Shannon Bobbitt,1611661322,Washington Mystics,2,3,47,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,47,1,1,20120615,WAS,IND,2012,1021200048164,9730,validated,,0,matched,playbyplayv2,1611661325,100942|201049|201492|201497|201518,complete,playbyplay_inferred,100628|100646|100666|201896|201919,complete,playbyplay_inferred
Shot Chart Detail,1021200048,175,201497,Shannon Bobbitt,1611661322,Washington Mystics,2,2,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-89,142,1,1,20120615,WAS,IND,2012,1021200048175,10440,validated,,0,matched,playbyplayv2,1611661325,100942|201049|201492|201497|201518,complete,playbyplay_inferred,100628|100646|100666|201896|201919,complete,playbyplay_inferred
Shot Chart Detail,1021200048,283,201497,Shannon Bobbitt,1611661322,Washington Mystics,3,4,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-38,1,0,20120615,WAS,IND,2012,1021200048283,15320,validated,,0,matched,playbyplayv2,1611661325,100729|200673|201497|201518|203021,complete,playbyplay_inferred,100646|201896|201919|202656|203067,complete,playbyplay_inferred
Shot Chart Detail,1021200048,290,201497,Shannon Bobbitt,1611661322,Washington Mystics,3,3,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,-10,1,1,20120615,WAS,IND,2012,1021200048290,15980,validated,,0,matched,playbyplayv2,1611661325,100729|200673|201497|201518|203021,complete,playbyplay_inferred,100646|201896|201919|202656|203067,complete,playbyplay_inferred
Shot Chart Detail,1021200048,343,201497,Shannon Bobbitt,1611661322,Washington Mystics,3,0,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,22,-198,108,1,0,20120615,WAS,IND,2012,1021200048343,17900,validated,,0,matched,playbyplayv2,1611661325,100729|200673|201497|201518|203021,complete,playbyplay_inferred,100666|101033|201047|201503|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,403,201497,Shannon Bobbitt,1611661322,Washington Mystics,4,5,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-117,88,1,0,20120615,WAS,IND,2012,1021200048403,20960,validated,,0,matched,playbyplayv2,1611661325,100942|201049|201492|201497|201518,complete,playbyplay_inferred,100628|100646|100666|201896|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,414,201497,Shannon Bobbitt,1611661322,Washington Mystics,4,3,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,-22,1,0,20120615,WAS,IND,2012,1021200048414,21890,validated,,0,matched,playbyplayv2,1611661325,100942|201049|201492|201497|201518,complete,playbyplay_inferred,100628|100646|100666|201896|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,420,201497,Shannon Bobbitt,1611661322,Washington Mystics,4,2,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,22,15,222,1,0,20120615,WAS,IND,2012,1021200048420,22280,validated,,0,matched,playbyplayv2,1611661325,100942|201049|201492|201497|201518,complete,playbyplay_inferred,100628|100646|100666|201896|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,434,201497,Shannon Bobbitt,1611661322,Washington Mystics,4,2,0,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,-14,1,0,20120615,WAS,IND,2012,1021200048434,22800,validated,,0,matched,playbyplayv2,1611661325,100729|200673|201497|201518|203021,complete,playbyplay_inferred,100628|100646|100666|201896|202656,complete,playbyplay_inferred
Shot Chart Detail,1021200048,454,201497,Shannon Bobbitt,1611661322,Washington Mystics,4,0,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-3,1,1,20120615,WAS,IND,2012,1021200048454,23540,validated,,0,matched,playbyplayv2,1611661325,100729|200673|201497|201518|203021,complete,playbyplay_inferred,100628|100646|100666|201896|202656,complete,playbyplay_inferred
