GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021200010,25,100940,Diana Taurasi,1611661317,Phoenix Mercury,1,7,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-125,1,1,0,20120522,TUL,PHO,2012,102120001025,1770,validated,,0,matched,playbyplayv2,1611661321,100940|200676|200705|201886|203019,complete,playbyplay_inferred,101024|200684|201884|202653|203029,complete,playbyplay_inferred
Shot Chart Detail,1021200010,76,100940,Diana Taurasi,1611661317,Phoenix Mercury,1,3,5,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),16-24 ft.,21,214,9,1,1,20120522,TUL,PHO,2012,102120001076,4150,validated,200676,1,matched,playbyplayv2,1611661321,100556|100940|200676|201487|202280,complete,playbyplay_inferred,101080|200684|201056|202265|203017,complete,playbyplay_inferred
Shot Chart Detail,1021200017,3,100940,Diana Taurasi,1611661317,Phoenix Mercury,1,9,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,121,198,1,0,20120526,PHO,LAS,2012,10212000173,200,validated,,0,matched,playbyplayv2,1611661320,100556|100940|200676|201886|203019,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1021200017,132,100940,Diana Taurasi,1611661317,Phoenix Mercury,1,6,30,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-9,124,1,1,20120526,PHO,LAS,2012,1021200017132,2100,validated,,0,matched,playbyplayv2,1611661320,100556|100940|200676|201886|203019,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1021200017,44,100940,Diana Taurasi,1611661317,Phoenix Mercury,1,5,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-8,154,1,0,20120526,PHO,LAS,2012,102120001744,2730,validated,,0,matched,playbyplayv2,1611661320,100940|200676|201886|203019|203069,complete,playbyplay_inferred,100949|201496|201889|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1021200017,144,100940,Diana Taurasi,1611661317,Phoenix Mercury,2,8,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,0,1,1,20120526,PHO,LAS,2012,1021200017144,6830,validated,,0,matched,playbyplayv2,1611661320,100556|100940|200676|201487|202280,complete,playbyplay_inferred,100949|201496|201889|202650|203014,complete,playbyplay_inferred
Shot Chart Detail,1021200017,231,100940,Diana Taurasi,1611661317,Phoenix Mercury,2,1,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,29,121,1,1,20120526,PHO,LAS,2012,1021200017231,10900,validated,203019,1,matched,playbyplayv2,1611661320,100556|100940|200676|201886|203019,complete,playbyplay_inferred,100949|201496|201911|203014|203040,complete,playbyplay_inferred
Shot Chart Detail,1021200017,265,100940,Diana Taurasi,1611661317,Phoenix Mercury,3,8,15,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-32,89,1,0,20120526,PHO,LAS,2012,1021200017265,13050,validated,,0,matched,playbyplayv2,1611661320,100556|100940|200676|201886|203019,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1021200017,340,100940,Diana Taurasi,1611661317,Phoenix Mercury,3,3,25,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,14,1,0,20120526,PHO,LAS,2012,1021200017340,15950,validated,,0,matched,playbyplayv2,1611661320,100940|200676|201886|203019|203069,complete,playbyplay_inferred,100396|100949|201496|201889|203014,complete,playbyplay_inferred
Shot Chart Detail,1021200017,362,100940,Diana Taurasi,1611661317,Phoenix Mercury,3,2,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,21,110,187,1,1,20120526,PHO,LAS,2012,1021200017362,16640,validated,201487,1,matched,playbyplayv2,1611661320,100940|200676|201487|203019|203069,complete,playbyplay_inferred,100396|201889|201911|202650|203014,complete,playbyplay_inferred
Shot Chart Detail,1021200017,366,100940,Diana Taurasi,1611661317,Phoenix Mercury,3,1,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-193,-16,1,0,20120526,PHO,LAS,2012,1021200017366,17070,validated,,0,matched,playbyplayv2,1611661320,100940|200676|201487|203019|203069,complete,playbyplay_inferred,100396|201889|201911|202650|203014,complete,playbyplay_inferred
