GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,,,1,0,0.0,2015-16
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,13,2,0.154,2015-16
League Averages,Above the Break 3,Center(C),24+ ft.,515,146,0.283,2015-16
League Averages,Above the Break 3,Center(C),16-24 ft.,532,180,0.338,2015-16
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,824,264,0.32,2015-16
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,858,312,0.364,2015-16
League Averages,Above the Break 3,Left Side(L),16-24 ft.,319,125,0.392,2015-16
League Averages,Above the Break 3,Left Side(L),24+ ft.,182,62,0.341,2015-16
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,1033,322,0.312,2015-16
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,675,210,0.311,2015-16
League Averages,Above the Break 3,Right Side(R),16-24 ft.,191,67,0.351,2015-16
League Averages,Above the Break 3,Right Side(R),24+ ft.,193,54,0.28,2015-16
League Averages,Backcourt,Back Court(BC),Back Court Shot,57,0,0.0,2015-16
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,883,327,0.37,2015-16
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,2734,951,0.348,2015-16
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,222,77,0.347,2015-16
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,246,93,0.378,2015-16
League Averages,Left Corner 3,Left Side(L),24+ ft.,400,148,0.37,2015-16
League Averages,Mid-Range,Center(C),8-16 ft.,497,185,0.372,2015-16
League Averages,Mid-Range,Center(C),16-24 ft.,1122,435,0.388,2015-16
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,1107,416,0.376,2015-16
League Averages,Mid-Range,Left Side(L),16-24 ft.,692,266,0.384,2015-16
League Averages,Mid-Range,Left Side(L),8-16 ft.,1345,507,0.377,2015-16
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,1206,425,0.352,2015-16
League Averages,Mid-Range,Right Side(R),8-16 ft.,1176,423,0.36,2015-16
League Averages,Mid-Range,Right Side(R),16-24 ft.,732,274,0.374,2015-16
League Averages,Restricted Area,Center(C),Less Than 8 ft.,8682,4992,0.575,2015-16
League Averages,Right Corner 3,Right Side(R),24+ ft.,247,73,0.296,2015-16
