GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1020400018,13,100928,Ebony Hoffman,1611661325,Indiana Fever,1,18,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,92,153,1,0,20040528,CHA,IND,2004-05
Shot Chart Detail,1020400018,24,100928,Ebony Hoffman,1611661325,Indiana Fever,1,16,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040528,CHA,IND,2004-05
Shot Chart Detail,1020400018,366,100928,Ebony Hoffman,1611661325,Indiana Fever,2,0,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-163,71,1,0,20040528,CHA,IND,2004-05
Shot Chart Detail,1020400026,168,100928,Ebony Hoffman,1611661325,Indiana Fever,1,2,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,49,8,1,0,20040601,SAN,IND,2004-05
Shot Chart Detail,1020400026,175,100928,Ebony Hoffman,1611661325,Indiana Fever,1,1,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,128,122,1,0,20040601,SAN,IND,2004-05
Shot Chart Detail,1020400037,10,100928,Ebony Hoffman,1611661325,Indiana Fever,1,17,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,-16,1,1,20040605,IND,CHA,2004-05
Shot Chart Detail,1020400037,25,100928,Ebony Hoffman,1611661325,Indiana Fever,1,16,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-153,59,1,1,20040605,IND,CHA,2004-05
Shot Chart Detail,1020400037,36,100928,Ebony Hoffman,1611661325,Indiana Fever,1,15,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,5,1,1,20040605,IND,CHA,2004-05
Shot Chart Detail,1020400037,177,100928,Ebony Hoffman,1611661325,Indiana Fever,1,2,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,0,1,0,20040605,IND,CHA,2004-05
Shot Chart Detail,1020400037,201,100928,Ebony Hoffman,1611661325,Indiana Fever,2,16,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-107,-3,1,0,20040605,IND,CHA,2004-05
Shot Chart Detail,1020400037,298,100928,Ebony Hoffman,1611661325,Indiana Fever,2,6,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-23,184,1,0,20040605,IND,CHA,2004-05
Shot Chart Detail,1020400043,10,100928,Ebony Hoffman,1611661325,Indiana Fever,1,18,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,0,20040609,IND,DET,2004-05
Shot Chart Detail,1020400047,46,100928,Ebony Hoffman,1611661325,Indiana Fever,1,14,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20040611,NYL,IND,2004-05
Shot Chart Detail,1020400047,169,100928,Ebony Hoffman,1611661325,Indiana Fever,1,2,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-37,1,0,20040611,NYL,IND,2004-05
Shot Chart Detail,1020400047,171,100928,Ebony Hoffman,1611661325,Indiana Fever,1,2,24,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,38,1,1,20040611,NYL,IND,2004-05
Shot Chart Detail,1020400047,206,100928,Ebony Hoffman,1611661325,Indiana Fever,2,14,39,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-21,45,1,1,20040611,NYL,IND,2004-05
Shot Chart Detail,1020400047,231,100928,Ebony Hoffman,1611661325,Indiana Fever,2,11,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),16-24 ft.,21,-210,-14,1,1,20040611,NYL,IND,2004-05
Shot Chart Detail,1020400047,239,100928,Ebony Hoffman,1611661325,Indiana Fever,2,10,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040611,NYL,IND,2004-05
Shot Chart Detail,1020400047,241,100928,Ebony Hoffman,1611661325,Indiana Fever,2,9,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040611,NYL,IND,2004-05
Shot Chart Detail,1020400051,18,100928,Ebony Hoffman,1611661325,Indiana Fever,1,18,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,21,-194,100,1,1,20040612,DET,IND,2004-05
Shot Chart Detail,1020400051,22,100928,Ebony Hoffman,1611661325,Indiana Fever,1,17,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,158,31,1,0,20040612,DET,IND,2004-05
Shot Chart Detail,1020400051,102,100928,Ebony Hoffman,1611661325,Indiana Fever,1,8,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,176,63,1,0,20040612,DET,IND,2004-05
Shot Chart Detail,1020400051,118,100928,Ebony Hoffman,1611661325,Indiana Fever,1,6,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,174,64,1,1,20040612,DET,IND,2004-05
Shot Chart Detail,1020400051,137,100928,Ebony Hoffman,1611661325,Indiana Fever,1,4,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-123,97,1,0,20040612,DET,IND,2004-05
Shot Chart Detail,1020400058,11,100928,Ebony Hoffman,1611661325,Indiana Fever,1,18,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,26,1,0,20040616,IND,SAC,2004-05
Shot Chart Detail,1020400058,39,100928,Ebony Hoffman,1611661325,Indiana Fever,1,15,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-168,15,1,0,20040616,IND,SAC,2004-05
Shot Chart Detail,1020400058,43,100928,Ebony Hoffman,1611661325,Indiana Fever,1,15,28,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-97,38,1,1,20040616,IND,SAC,2004-05
Shot Chart Detail,1020400058,224,100928,Ebony Hoffman,1611661325,Indiana Fever,2,16,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,21,-204,72,1,0,20040616,IND,SAC,2004-05
Shot Chart Detail,1020400065,181,100928,Ebony Hoffman,1611661325,Indiana Fever,1,1,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,10,1,1,20040619,IND,NYL,2004-05
Shot Chart Detail,1020400065,183,100928,Ebony Hoffman,1611661325,Indiana Fever,1,1,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,169,-6,1,0,20040619,IND,NYL,2004-05
Shot Chart Detail,1020400072,24,100928,Ebony Hoffman,1611661325,Indiana Fever,1,17,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-13,1,1,20040622,IND,CON,2004-05
