GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1020400008,4,100843,Cheryl Ford,1611661321,Detroit Shock,1,19,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,5,1,1,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,3,100843,Cheryl Ford,1611661321,Detroit Shock,1,19,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,8,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,34,100843,Cheryl Ford,1611661321,Detroit Shock,1,15,29,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,20,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,53,100843,Cheryl Ford,1611661321,Detroit Shock,1,13,39,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,5,1,1,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,63,100843,Cheryl Ford,1611661321,Detroit Shock,1,12,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,-3,1,1,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,67,100843,Cheryl Ford,1611661321,Detroit Shock,1,11,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,25,1,1,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,85,100843,Cheryl Ford,1611661321,Detroit Shock,1,9,52,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,100,17,1,1,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,140,100843,Cheryl Ford,1611661321,Detroit Shock,1,2,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,-1,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,142,100843,Cheryl Ford,1611661321,Detroit Shock,1,2,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,-1,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,157,100843,Cheryl Ford,1611661321,Detroit Shock,1,0,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,-8,1,1,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,204,100843,Cheryl Ford,1611661321,Detroit Shock,2,16,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-5,164,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,209,100843,Cheryl Ford,1611661321,Detroit Shock,2,16,24,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,39,0,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,229,100843,Cheryl Ford,1611661321,Detroit Shock,2,14,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,113,-26,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,340,100843,Cheryl Ford,1611661321,Detroit Shock,2,1,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,92,-8,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400015,11,100843,Cheryl Ford,1611661321,Detroit Shock,1,18,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,85,43,1,0,20040526,NYL,DET,2004-05
Shot Chart Detail,1020400015,79,100843,Cheryl Ford,1611661321,Detroit Shock,1,10,47,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-49,76,1,1,20040526,NYL,DET,2004-05
Shot Chart Detail,1020400015,81,100843,Cheryl Ford,1611661321,Detroit Shock,1,10,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20040526,NYL,DET,2004-05
