GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021900003,12,201896,Briann January,1611661317,Phoenix Mercury,1,9,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,1,20190525,SEA,PHO,2019,102190000312,550,validated,,0,matched,playbyplayv2,1611661328,201502|201886|201896|203389|203398,complete,playbyplay_inferred,201518|203827|204319|204321|1628886,complete,playbyplay_inferred
Shot Chart Detail,1021900003,192,201896,Briann January,1611661317,Phoenix Mercury,1,1,12,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,10,1,0,20190525,SEA,PHO,2019,1021900003192,5280,validated,,0,matched,playbyplayv2,1611661328,201502|201896|203398|1629501|1629573,complete,playbyplay_inferred,201919|203827|204319|1628886|1628920,complete,playbyplay_inferred
Shot Chart Detail,1021900003,169,201896,Briann January,1611661317,Phoenix Mercury,2,7,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-36,183,1,1,20190525,SEA,PHO,2019,1021900003169,7430,validated,,0,matched,playbyplayv2,1611661328,201502|201886|201896|1629488|1629573,complete,playbyplay_inferred,201518|201919|204319|1628244|1628920,complete,playbyplay_inferred
Shot Chart Detail,1021900010,63,201896,Briann January,1611661317,Phoenix Mercury,1,5,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-142,186,1,1,20190531,PHO,LVA,2019,102190001063,2950,validated,201886,1,matched,playbyplayv2,1611661319,201502|201886|201896|203389|203398,complete,playbyplay_inferred,202670|203825|1628276|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1021900010,258,201896,Briann January,1611661317,Phoenix Mercury,2,3,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,23,195,127,1,1,20190531,PHO,LVA,2019,1021900010258,10180,validated,203389,1,matched,playbyplayv2,1611661319,101023|201502|201896|203389|203398,complete,playbyplay_inferred,202670|203411|203825|1628276|1628932,complete,playbyplay_inferred
Shot Chart Detail,1021900010,262,201896,Briann January,1611661317,Phoenix Mercury,2,2,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-46,242,1,1,20190531,PHO,LVA,2019,1021900010262,10430,validated,201502,1,matched,playbyplayv2,1611661319,101023|201502|201896|203389|203398,complete,playbyplay_inferred,202670|203411|203825|1628276|1628932,complete,playbyplay_inferred
Shot Chart Detail,1021900010,289,201896,Briann January,1611661317,Phoenix Mercury,2,0,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,182,148,1,1,20190531,PHO,LVA,2019,1021900010289,11660,validated,203389,1,matched,playbyplayv2,1611661319,201502|201886|201896|203389|203398,complete,playbyplay_inferred,202641|202670|203825|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1021900010,387,201896,Briann January,1611661317,Phoenix Mercury,3,3,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,90,222,1,1,20190531,PHO,LVA,2019,1021900010387,16170,validated,,0,matched,playbyplayv2,1611661319,101023|201886|201896|203389|203398,complete,playbyplay_inferred,202633|202641|203825|204324|1629498,complete,playbyplay_inferred
Shot Chart Detail,1021900010,543,201896,Briann January,1611661317,Phoenix Mercury,4,1,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,13,1,0,20190531,PHO,LVA,2019,1021900010543,22930,validated,,0,matched,playbyplayv2,1611661319,201502|201886|201896|203389|203398,complete,playbyplay_inferred,202633|203825|1628276|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1021900022,14,201896,Briann January,1611661317,Phoenix Mercury,1,8,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,-20,231,1,0,20190606,MIN,PHO,2019,102190002214,830,validated,,0,matched,playbyplayv2,1611661324,201502|201886|201896|203389|203398,complete,playbyplay_inferred,201480|202658|203024|203824|1629483,complete,playbyplay_inferred
Shot Chart Detail,1021900022,190,201896,Briann January,1611661317,Phoenix Mercury,2,5,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-128,85,1,1,20190606,MIN,PHO,2019,1021900022190,8900,validated,,0,matched,playbyplayv2,1611661324,201502|201886|201896|203389|203398,complete,playbyplay_inferred,201480|202658|203024|203824|1629483,complete,playbyplay_inferred
