GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021700006,243,1628286,Erica McCall,1611661325,Indiana Fever,2,1,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15.0,110.0,115.0,1,0,20170514,SEA,IND,2017,1021700006243,11120,validated,,0,matched,playbyplayv2,1611661328,201503|201896|203018|204365|1628286,complete,playbyplay_inferred,201518|204317|204319|204321|1628284,complete,playbyplay_inferred
Shot Chart Detail,1021700006,256,1628286,Erica McCall,1611661325,Indiana Fever,2,0,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19.0,197.0,16.0,1,0,20170514,SEA,IND,2017,1021700006256,11520,validated,,0,matched,playbyplayv2,1611661328,201503|201896|203018|204365|1628286,complete,playbyplay_inferred,201049|201518|202670|204319|204321,complete,playbyplay_inferred
Shot Chart Detail,1021700006,259,1628286,Erica McCall,1611661325,Indiana Fever,2,0,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20.0,200.0,16.0,1,1,20170514,SEA,IND,2017,1021700006259,11610,validated,204365,1,matched,playbyplayv2,1611661328,201503|201896|203018|204365|1628286,complete,playbyplay_inferred,201049|201518|202670|204319|204321,complete,playbyplay_inferred
Shot Chart Detail,1021700008,202,1628286,Erica McCall,1611661325,Indiana Fever,2,4,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14.0,74.0,120.0,1,0,20170517,PHO,IND,2017,1021700008202,9450,validated,,0,matched,playbyplayv2,1611661317,201503|201889|201896|203018|1628286,complete,playbyplay_inferred,201067|201507|202658|203398|1628297,complete,playbyplay_inferred
Shot Chart Detail,1021700008,436,1628286,Erica McCall,1611661325,Indiana Fever,4,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19.0,110.0,165.0,1,1,20170517,PHO,IND,2017,1021700008436,21820,validated,204365,1,matched,playbyplayv2,1611661317,202656|203831|204365|1627676|1628286,complete,playbyplay_inferred,201507|202658|203855|204297|1628265,complete,playbyplay_inferred
Shot Chart Detail,1021700008,440,1628286,Erica McCall,1611661325,Indiana Fever,4,3,7,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16.0,89.0,139.0,1,0,20170517,PHO,IND,2017,1021700008440,22130,validated,,0,matched,playbyplayv2,1611661317,202656|203831|204365|1627676|1628286,complete,playbyplay_inferred,201507|203389|203855|204297|1628265,complete,playbyplay_inferred
Shot Chart Detail,1021700013,138,1628286,Erica McCall,1611661325,Indiana Fever,2,6,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18.0,112.0,146.0,1,1,20170520,IND,CON,2017,1021700013138,7980,validated,201503,1,matched,playbyplayv2,1611661323,201503|201889|202656|204365|1628286,complete,playbyplay_inferred,203015|203041|1627671|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1021700013,140,1628286,Erica McCall,1611661325,Indiana Fever,2,6,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16.0,153.0,65.0,1,0,20170520,IND,CON,2017,1021700013140,8380,validated,,0,matched,playbyplayv2,1611661323,201503|201889|202656|204365|1628286,complete,playbyplay_inferred,203015|203041|1627671|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1021700013,194,1628286,Erica McCall,1611661325,Indiana Fever,2,0,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,109.0,223.0,1,0,20170520,IND,CON,2017,1021700013194,11620,validated,,0,matched,playbyplayv2,1611661323,201503|201896|202656|203018|1628286,complete,playbyplay_inferred,203015|203410|1627670|1627671|1627673,complete,playbyplay_inferred
Shot Chart Detail,1021700028,134,1628286,Erica McCall,1611661325,Indiana Fever,2,9,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-13.0,15.0,1,0,20170528,SEA,IND,2017,1021700028134,6270,validated,,0,matched,playbyplayv2,1611661328,203831|204365|1627676|1627681|1628286,complete,playbyplay_inferred,100720|201049|202670|204317|1628244,complete,playbyplay_inferred
Shot Chart Detail,1021700028,473,1628286,Erica McCall,1611661325,Indiana Fever,4,0,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17.0,-81.0,151.0,1,0,20170528,SEA,IND,2017,1021700028473,23900,validated,,0,matched,playbyplayv2,1611661328,202656|203814|204365|1627681|1628286,complete,playbyplay_inferred,201049|204317|1628244|1628284|1628298,complete,playbyplay_inferred
