GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021700001,27,204327,Brittany Boyd-Jones,1611661313,New York Liberty,1,7,18,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,20.0,28.0,1,0,20170513,NYL,SAN,2017,102170000127,1620,validated,,0,matched,playbyplayv2,1611661319,201919|202250|203411|204327|204329,complete,playbyplay_inferred,201530|202641|202652|204324|204330,complete,playbyplay_inferred
Shot Chart Detail,1021700001,276,204327,Brittany Boyd-Jones,1611661313,New York Liberty,3,9,28,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-9.0,21.0,1,0,20170513,NYL,SAN,2017,1021700001276,12320,validated,,0,matched,playbyplayv2,1611661319,201919|202250|203411|204327|204329,complete,playbyplay_inferred,100812|201530|202641|202652|204324,complete,playbyplay_inferred
Shot Chart Detail,1021700001,467,204327,Brittany Boyd-Jones,1611661313,New York Liberty,4,4,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-4.0,18.0,1,1,20170513,NYL,SAN,2017,1021700001467,21290,validated,,0,matched,playbyplayv2,1611661319,201919|202250|202259|204327|204329,complete,playbyplay_inferred,200673|201530|203863|204330|1628269,complete,playbyplay_inferred
Shot Chart Detail,1021700001,470,204327,Brittany Boyd-Jones,1611661313,New York Liberty,4,4,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,2.0,23.0,1,1,20170513,NYL,SAN,2017,1021700001470,21430,validated,,0,matched,playbyplayv2,1611661319,201919|202250|202259|204327|204329,complete,playbyplay_inferred,200673|201530|203863|204330|1628269,complete,playbyplay_inferred
Shot Chart Detail,1021700001,499,204327,Brittany Boyd-Jones,1611661313,New York Liberty,4,2,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14.0,-92.0,116.0,1,1,20170513,NYL,SAN,2017,1021700001499,22320,validated,,0,matched,playbyplayv2,1611661319,201919|202250|203411|204327|204329,complete,playbyplay_inferred,200673|201530|202641|204330|1628269,complete,playbyplay_inferred
Shot Chart Detail,1021700009,13,204327,Brittany Boyd-Jones,1611661313,New York Liberty,1,8,26,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,37.0,70.0,1,1,20170518,NYL,MIN,2017,102170000913,940,validated,,0,matched,playbyplayv2,1611661324,201919|202250|203411|204327|204329,complete,playbyplay_inferred,100915|100944|200671|201480|202632,complete,playbyplay_inferred
Shot Chart Detail,1021700009,261,204327,Brittany Boyd-Jones,1611661313,New York Liberty,3,8,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,15.0,28.0,1,1,20170518,NYL,MIN,2017,1021700009261,12830,validated,,0,matched,playbyplayv2,1611661324,201919|202250|203411|204327|204329,complete,playbyplay_inferred,100915|100944|200671|201480|202632,complete,playbyplay_inferred
Shot Chart Detail,1021700009,278,204327,Brittany Boyd-Jones,1611661313,New York Liberty,3,6,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23.0,-173.0,159.0,1,0,20170518,NYL,MIN,2017,1021700009278,14120,validated,,0,matched,playbyplayv2,1611661324,201913|201919|202250|203411|204327,complete,playbyplay_inferred,100915|100944|200671|201480|202632,complete,playbyplay_inferred
Shot Chart Detail,1021700009,280,204327,Brittany Boyd-Jones,1611661313,New York Liberty,3,6,23,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,20.0,26.0,1,1,20170518,NYL,MIN,2017,1021700009280,14170,validated,,0,matched,playbyplayv2,1611661324,201913|201919|202250|203411|204327,complete,playbyplay_inferred,100915|100944|200671|201480|202632,complete,playbyplay_inferred
Shot Chart Detail,1021700009,351,204327,Brittany Boyd-Jones,1611661313,New York Liberty,3,1,50,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-16.0,23.0,1,0,20170518,NYL,MIN,2017,1021700009351,16900,validated,,0,matched,playbyplayv2,1611661324,202250|202259|204296|204327|204329,complete,playbyplay_inferred,100888|100944|100952|200671|201904,complete,playbyplay_inferred
Shot Chart Detail,1021700009,360,204327,Brittany Boyd-Jones,1611661313,New York Liberty,3,1,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14.0,123.0,80.0,1,0,20170518,NYL,MIN,2017,1021700009360,17060,validated,,0,matched,playbyplayv2,1611661324,202250|202259|204296|204327|204329,complete,playbyplay_inferred,100888|100952|200671|201480|201904,complete,playbyplay_inferred
Shot Chart Detail,1021700009,388,204327,Brittany Boyd-Jones,1611661313,New York Liberty,4,9,43,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9.0,9.0,90.0,1,1,20170518,NYL,MIN,2017,1021700009388,18170,validated,202250,1,matched,playbyplayv2,1611661324,202250|202259|204296|204327|204329,complete,playbyplay_inferred,100888|100915|100952|201480|202632,complete,playbyplay_inferred
Shot Chart Detail,1021700009,395,204327,Brittany Boyd-Jones,1611661313,New York Liberty,4,8,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-132.0,134.0,1,1,20170518,NYL,MIN,2017,1021700009395,18650,validated,,0,matched,playbyplayv2,1611661324,202250|202259|204296|204327|204329,complete,playbyplay_inferred,100888|100915|100952|201480|202632,complete,playbyplay_inferred
Shot Chart Detail,1021700009,399,204327,Brittany Boyd-Jones,1611661313,New York Liberty,4,8,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,6.0,21.0,1,1,20170518,NYL,MIN,2017,1021700009399,19020,validated,,0,matched,playbyplayv2,1611661324,202250|202259|204296|204327|204329,complete,playbyplay_inferred,100888|100915|100952|201480|202632,complete,playbyplay_inferred
Shot Chart Detail,1021700009,418,204327,Brittany Boyd-Jones,1611661313,New York Liberty,4,7,13,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-14.0,26.0,1,0,20170518,NYL,MIN,2017,1021700009418,19670,validated,,0,matched,playbyplayv2,1611661324,202250|202259|204296|204327|204329,complete,playbyplay_inferred,100915|100944|200671|201480|202632,complete,playbyplay_inferred
