GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021400003,140,203026,Tiffany Hayes,1611661330,Atlanta Dream,2,6,20,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,2.0,9.0,1,1,20140516,ATL,SAN,2014,1021400003140,8200,validated,201881,1,matched,playbyplayv2,1611661319,100812|101023|201492|201881|203026,complete,playbyplay_inferred,100937|202634|203018|203405|203413,complete,playbyplay_inferred
Shot Chart Detail,1021400006,275,203026,Tiffany Hayes,1611661330,Atlanta Dream,3,4,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,58.0,-11.0,1,0,20140517,IND,ATL,2014,1021400006275,15320,validated,,0,matched,playbyplayv2,1611661325,100812|101023|201881|203026|203830,complete,playbyplay_inferred,201503|201896|201919|202640|203418,complete,playbyplay_inferred
Shot Chart Detail,1021400018,172,203026,Tiffany Hayes,1611661330,Atlanta Dream,2,2,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22.0,-134.0,183.0,1,1,20140524,CHI,ATL,2014,1021400018172,10320,validated,203830,1,matched,playbyplayv2,1611661329,100721|100812|202269|203026|203830,complete,playbyplay_inferred,201477|202638|202664|203399|203832,complete,playbyplay_inferred
Shot Chart Detail,1021400018,342,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,8,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11.0,0.0,118.0,1,0,20140524,CHI,ATL,2014,1021400018342,18760,validated,,0,matched,playbyplayv2,1611661329,100812|101023|202662|203026|203830,complete,playbyplay_inferred,201516|202664|203067|203399|203451,complete,playbyplay_inferred
Shot Chart Detail,1021400018,353,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,7,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22.0,-160.0,162.0,1,1,20140524,CHI,ATL,2014,1021400018353,19230,validated,203830,1,matched,playbyplayv2,1611661329,100812|101023|202662|203026|203830,complete,playbyplay_inferred,201516|202664|203067|203399|203451,complete,playbyplay_inferred
Shot Chart Detail,1021400018,358,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,6,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-19.0,0.0,1,1,20140524,CHI,ATL,2014,1021400018358,19860,validated,,0,matched,playbyplayv2,1611661329,100812|101023|202662|203026|203830,complete,playbyplay_inferred,201516|202664|203067|203399|203451,complete,playbyplay_inferred
Shot Chart Detail,1021400018,371,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,4,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,23.0,190.0,137.0,1,1,20140524,CHI,ATL,2014,1021400018371,21230,validated,100812,1,matched,playbyplayv2,1611661329,100812|101023|202662|203026|203830,complete,playbyplay_inferred,201516|202664|203067|203399|203451,complete,playbyplay_inferred
Shot Chart Detail,1021400018,383,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,3,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22.0,119.0,189.0,1,0,20140524,CHI,ATL,2014,1021400018383,21910,validated,,0,matched,playbyplayv2,1611661329,100812|201492|202269|202662|203026,complete,playbyplay_inferred,201477|201516|202664|203399|203832,complete,playbyplay_inferred
Shot Chart Detail,1021400018,404,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,2,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-7.0,15.0,1,0,20140524,CHI,ATL,2014,1021400018404,22800,validated,,0,matched,playbyplayv2,1611661329,100812|201492|202269|203026|203830,complete,playbyplay_inferred,201477|202638|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021400018,411,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,1,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23.0,155.0,172.0,1,0,20140524,CHI,ATL,2014,1021400018411,23340,validated,,0,matched,playbyplayv2,1611661329,100812|201492|202269|203026|203830,complete,playbyplay_inferred,201477|202638|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021400021,119,203026,Tiffany Hayes,1611661330,Atlanta Dream,2,9,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18.0,184.0,11.0,1,0,20140525,ATL,IND,2014,1021400021119,6370,validated,,0,matched,playbyplayv2,1611661325,100721|100812|202623|203026|203830,complete,playbyplay_inferred,201503|201919|203039|203406|203827,complete,playbyplay_inferred
Shot Chart Detail,1021400021,455,203026,Tiffany Hayes,1611661330,Atlanta Dream,4,2,54,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-19.0,41.0,1,0,20140525,ATL,IND,2014,1021400021455,22260,validated,,0,matched,playbyplayv2,1611661325,100812|101023|201881|202662|203026,complete,playbyplay_inferred,201503|201896|202640|203039|203827,complete,playbyplay_inferred
Shot Chart Detail,1021400027,16,203026,Tiffany Hayes,1611661330,Atlanta Dream,1,8,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20.0,184.0,83.0,1,0,20140530,ATL,SEA,2014,102140002716,1150,validated,,0,matched,playbyplayv2,1611661328,100812|101023|201881|202662|203026,complete,playbyplay_inferred,100720|101030|201067|201518|202252,complete,playbyplay_inferred
Shot Chart Detail,1021400027,24,203026,Tiffany Hayes,1611661330,Atlanta Dream,1,6,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23.0,159.0,167.0,1,1,20140530,ATL,SEA,2014,102140002724,1810,validated,100812,1,matched,playbyplayv2,1611661328,100812|101023|201881|202662|203026,complete,playbyplay_inferred,100720|101030|201067|201518|202252,complete,playbyplay_inferred
Shot Chart Detail,1021400027,59,203026,Tiffany Hayes,1611661330,Atlanta Dream,1,4,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,15.0,4.0,1,1,20140530,ATL,SEA,2014,102140002759,3330,validated,,0,matched,playbyplayv2,1611661328,101023|201881|202269|203026|203830,complete,playbyplay_inferred,100720|101024|201518|202270|203015,complete,playbyplay_inferred
Shot Chart Detail,1021400027,145,203026,Tiffany Hayes,1611661330,Atlanta Dream,2,5,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-16.0,7.0,1,1,20140530,ATL,SEA,2014,1021400027145,8660,validated,101023,1,matched,playbyplayv2,1611661328,100812|101023|201881|202662|203026,complete,playbyplay_inferred,100720|101024|201067|201518|203015,complete,playbyplay_inferred
Shot Chart Detail,1021400027,177,203026,Tiffany Hayes,1611661330,Atlanta Dream,2,3,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23.0,-92.0,214.0,1,1,20140530,ATL,SEA,2014,1021400027177,9850,validated,201881,1,matched,playbyplayv2,1611661328,100812|101023|201881|202662|203026,complete,playbyplay_inferred,100720|101024|201518|202252|202270,complete,playbyplay_inferred
Shot Chart Detail,1021400027,197,203026,Tiffany Hayes,1611661330,Atlanta Dream,2,2,16,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,4.0,0.0,1,0,20140530,ATL,SEA,2014,1021400027197,10640,validated,,0,matched,playbyplayv2,1611661328,100812|101023|201881|203026|203830,complete,playbyplay_inferred,101024|101030|201518|202252|202270,complete,playbyplay_inferred
Shot Chart Detail,1021400027,290,203026,Tiffany Hayes,1611661330,Atlanta Dream,3,4,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20.0,53.0,195.0,1,0,20140530,ATL,SEA,2014,1021400027290,15230,validated,,0,matched,playbyplayv2,1611661328,101023|202269|202662|203026|203830,complete,playbyplay_inferred,100919|101024|101030|201518|202252,complete,playbyplay_inferred
Shot Chart Detail,1021400027,297,203026,Tiffany Hayes,1611661330,Atlanta Dream,3,3,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,6.0,-3.0,1,1,20140530,ATL,SEA,2014,1021400027297,15760,validated,,0,matched,playbyplayv2,1611661328,101023|202269|202662|203026|203830,complete,playbyplay_inferred,100919|101024|101030|201518|202252,complete,playbyplay_inferred
Shot Chart Detail,1021400027,304,203026,Tiffany Hayes,1611661330,Atlanta Dream,3,2,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,3.0,1,1,20140530,ATL,SEA,2014,1021400027304,16370,validated,,0,matched,playbyplayv2,1611661328,101023|201881|202269|203026|203830,complete,playbyplay_inferred,100919|101024|101030|201518|202252,complete,playbyplay_inferred
Shot Chart Detail,1021400032,17,203026,Tiffany Hayes,1611661330,Atlanta Dream,1,8,16,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8.0,53.0,67.0,1,1,20140601,CON,ATL,2014,102140003217,1040,validated,,0,matched,playbyplayv2,1611661323,100812|101023|201881|202662|203026,complete,playbyplay_inferred,100666|202255|203402|203410|203823,complete,playbyplay_inferred
Shot Chart Detail,1021400032,31,203026,Tiffany Hayes,1611661330,Atlanta Dream,1,7,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23.0,162.0,172.0,1,1,20140601,CON,ATL,2014,102140003231,1780,validated,,0,matched,playbyplayv2,1611661323,100812|101023|201881|202662|203026,complete,playbyplay_inferred,100666|202255|203402|203410|203823,complete,playbyplay_inferred
