GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021400002,104,203403,Tianna Hawkins,1611661322,Washington Mystics,1,1,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-2.0,-3.0,1,1,20140516,WAS,MIN,2014,1021400002104,5270,validated,201903,1,matched,playbyplayv2,1611661324,201903|203403|203437|203828|203829,complete,playbyplay_inferred,101020|202632|203409|203834|203859,complete,playbyplay_inferred
Shot Chart Detail,1021400002,361,203403,Tianna Hawkins,1611661322,Washington Mystics,4,9,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,1.0,7.0,1,1,20140516,WAS,MIN,2014,1021400002361,18320,validated,203828,1,matched,playbyplayv2,1611661324,201056|203403|203437|203828|203829,complete,playbyplay_inferred,100915|101019|200671|202632|203024,complete,playbyplay_inferred
Shot Chart Detail,1021400002,373,203403,Tianna Hawkins,1611661322,Washington Mystics,4,7,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-18.0,4.0,1,0,20140516,WAS,MIN,2014,1021400002373,19260,validated,,0,matched,playbyplayv2,1611661324,201056|203403|203437|203828|203829,complete,playbyplay_inferred,100915|101019|200671|202632|203024,complete,playbyplay_inferred
Shot Chart Detail,1021400014,59,203403,Tianna Hawkins,1611661322,Washington Mystics,1,3,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-34.0,-1.0,1,1,20140523,IND,WAS,2014,102140001459,3900,validated,,0,matched,playbyplayv2,1611661325,201056|203403|203437|203828|203829,complete,playbyplay_inferred,201503|201896|201919|203041|203406,complete,playbyplay_inferred
Shot Chart Detail,1021400014,87,203403,Tianna Hawkins,1611661322,Washington Mystics,1,1,5,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,30.0,-5.0,1,1,20140523,IND,WAS,2014,102140001487,5350,validated,203828,1,matched,playbyplayv2,1611661325,100874|201056|203403|203437|203828,complete,playbyplay_inferred,201503|201889|201896|202640|203406,complete,playbyplay_inferred
Shot Chart Detail,1021400014,381,203403,Tianna Hawkins,1611661322,Washington Mystics,4,5,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-183.0,159.0,1,1,20140523,IND,WAS,2014,1021400014381,20570,validated,203829,1,matched,playbyplayv2,1611661325,201056|203403|203437|203828|203829,complete,playbyplay_inferred,202640|202663|203406|203827|203843,complete,playbyplay_inferred
Shot Chart Detail,1021400014,420,203403,Tianna Hawkins,1611661322,Washington Mystics,4,0,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15.0,151.0,-11.0,1,0,20140523,IND,WAS,2014,1021400014420,23690,validated,,0,matched,playbyplayv2,1611661325,201903|202253|203403|203437|203829,complete,playbyplay_inferred,202640|202663|203406|203827|203843,complete,playbyplay_inferred
Shot Chart Detail,1021400017,94,203403,Tianna Hawkins,1611661322,Washington Mystics,2,8,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-8.0,26.0,1,0,20140524,WAS,SEA,2014,102140001794,6700,validated,,0,matched,playbyplayv2,1611661328,201903|203403|203437|203828|203829,complete,playbyplay_inferred,100720|100919|101024|202626|203015,complete,playbyplay_inferred
Shot Chart Detail,1021400026,107,203403,Tianna Hawkins,1611661322,Washington Mystics,2,8,34,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,73.0,11.0,1,1,20140530,WAS,NYL,2014,1021400026107,6860,validated,,0,matched,playbyplayv2,1611661313,100874|200673|203403|203828|203829,complete,playbyplay_inferred,100888|201502|203411|203813|203881,complete,playbyplay_inferred
Shot Chart Detail,1021400026,112,203403,Tianna Hawkins,1611661322,Washington Mystics,2,8,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8.0,-81.0,19.0,1,1,20140530,WAS,NYL,2014,1021400026112,7100,validated,,0,matched,playbyplayv2,1611661313,100874|200673|203403|203828|203829,complete,playbyplay_inferred,100888|201502|203411|203813|203881,complete,playbyplay_inferred
Shot Chart Detail,1021400026,208,203403,Tianna Hawkins,1611661322,Washington Mystics,2,0,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20.0,-114.0,167.0,1,0,20140530,WAS,NYL,2014,1021400026208,11440,validated,,0,matched,playbyplayv2,1611661313,100874|201903|201913|203403|203437,complete,playbyplay_inferred,100396|200665|202250|202652|203813,complete,playbyplay_inferred
