GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1040900101,72,201047,Jessica Davenport,1611661325,Indiana Fever,1,1,48,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,18,93,1,1,20090917,WAS,IND,2009,104090010172,4920,validated,101042,1,matched,playbyplayv2,1611661322,100646|100666|101042|201047|201896,complete,playbyplay_inferred,100556|100949|201046|201518|201889,complete,playbyplay_inferred
Shot Chart Detail,1040900102,98,201047,Jessica Davenport,1611661325,Indiana Fever,1,0,0,Missed Shot,Tip Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,42,1,0,20090919,IND,WAS,2009,104090010298,6000,validated,,0,matched,playbyplayv2,1611661322,100008|100666|101042|201047|201896,complete,playbyplay_inferred,100433|200673|201046|201492|201518,complete,playbyplay_inferred
Shot Chart Detail,1040900202,93,201047,Jessica Davenport,1611661325,Indiana Fever,1,0,36,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,4,1,0,20090925,IND,DET,2009,104090020293,5640,validated,,0,matched,playbyplayv2,1611661321,100008|100646|101042|201047|201896,complete,playbyplay_inferred,100639|100724|101025|201489|201919,complete,playbyplay_inferred
Shot Chart Detail,1040900202,132,201047,Jessica Davenport,1611661325,Indiana Fever,2,6,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,91,77,1,0,20090925,IND,DET,2009,1040900202132,7970,validated,,0,matched,playbyplayv2,1611661321,100284|100666|101042|201047|201896,complete,playbyplay_inferred,100412|100639|100843|201487|201919,complete,playbyplay_inferred
Shot Chart Detail,1040900302,100,201047,Jessica Davenport,1611661325,Indiana Fever,1,0,12,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,118,48,1,0,20091001,PHO,IND,2009,1040900302100,5880,validated,,0,matched,playbyplayv2,1611661317,100008|100284|100666|101042|201047,complete,playbyplay_inferred,100634|100932|200665|201484|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900302,192,201047,Jessica Davenport,1611661325,Indiana Fever,2,2,13,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,34,80,1,1,20091001,PHO,IND,2009,1040900302192,10670,validated,100646,1,matched,playbyplayv2,1611661317,100646|100666|101042|201047|201896,complete,playbyplay_inferred,100932|100940|200665|201484|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900302,203,201047,Jessica Davenport,1611661325,Indiana Fever,2,0,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,28,64,1,1,20091001,PHO,IND,2009,1040900302203,11470,validated,100646,1,matched,playbyplayv2,1611661317,100646|100666|101042|201047|201896,complete,playbyplay_inferred,100236|100940|101024|200665|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900302,292,201047,Jessica Davenport,1611661325,Indiana Fever,3,4,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,48,1,1,20091001,PHO,IND,2009,1040900302292,15280,validated,,0,matched,playbyplayv2,1611661317,100646|100666|100928|201047|201896,complete,playbyplay_inferred,100634|100932|200665|201484|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900302,298,201047,Jessica Davenport,1611661325,Indiana Fever,3,4,4,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-76,36,1,1,20091001,PHO,IND,2009,1040900302298,15560,validated,100646,1,matched,playbyplayv2,1611661317,100646|100666|100928|201047|201896,complete,playbyplay_inferred,100634|100932|200665|201484|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900302,330,201047,Jessica Davenport,1611661325,Indiana Fever,3,2,11,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,94,19,1,0,20091001,PHO,IND,2009,1040900302330,16690,validated,,0,matched,playbyplayv2,1611661317,100646|100666|100928|201047|201896,complete,playbyplay_inferred,100236|100940|101024|200665|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900303,238,201047,Jessica Davenport,1611661325,Indiana Fever,3,6,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,56,1,0,20091004,IND,PHO,2009,1040900303238,14060,validated,,0,matched,playbyplayv2,1611661317,100284|100646|100666|100928|201047,complete,playbyplay_inferred,100236|100940|100973|101024|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900303,259,201047,Jessica Davenport,1611661325,Indiana Fever,3,4,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,0,20091004,IND,PHO,2009,1040900303259,15170,validated,,0,matched,playbyplayv2,1611661317,100284|100646|100666|100928|201047,complete,playbyplay_inferred,100634|100932|100940|100973|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900304,290,201047,Jessica Davenport,1611661325,Indiana Fever,3,1,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,52,1,0,20091007,IND,PHO,2009,1040900304290,17140,validated,,0,matched,playbyplayv2,1611661317,100008|100628|100646|201047|201896,complete,playbyplay_inferred,100634|100932|100973|101024|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900304,296,201047,Jessica Davenport,1611661325,Indiana Fever,3,1,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,0,1,1,20091007,IND,PHO,2009,1040900304296,17300,validated,,0,matched,playbyplayv2,1611661317,100008|100628|100646|201047|201896,complete,playbyplay_inferred,100634|100932|100973|101024|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900305,133,201047,Jessica Davenport,1611661325,Indiana Fever,2,8,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091009,PHO,IND,2009,1040900305133,6640,validated,100666,1,matched,playbyplayv2,1611661317,100008|100666|101042|201047|201896,complete,playbyplay_inferred,100634|100932|100940|100973|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900305,135,201047,Jessica Davenport,1611661325,Indiana Fever,2,8,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091009,PHO,IND,2009,1040900305135,6880,validated,201896,1,matched,playbyplayv2,1611661317,100008|100666|101042|201047|201896,complete,playbyplay_inferred,100634|100932|100940|100973|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900305,163,201047,Jessica Davenport,1611661325,Indiana Fever,2,6,2,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-90,44,1,1,20091009,PHO,IND,2009,1040900305163,8380,validated,201896,1,matched,playbyplayv2,1611661317,100008|100646|100928|201047|201896,complete,playbyplay_inferred,100932|100940|100973|101024|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900305,211,201047,Jessica Davenport,1611661325,Indiana Fever,2,2,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,67,19,1,0,20091009,PHO,IND,2009,1040900305211,10550,validated,,0,matched,playbyplayv2,1611661317,100628|100646|100666|201047|201896,complete,playbyplay_inferred,100236|100634|100940|101024|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900305,236,201047,Jessica Davenport,1611661325,Indiana Fever,2,0,55,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,56,1,1,20091009,PHO,IND,2009,1040900305236,11450,validated,100666,1,matched,playbyplayv2,1611661317,100646|100666|101042|201047|201896,complete,playbyplay_inferred,100236|100634|100940|101024|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900305,362,201047,Jessica Davenport,1611661325,Indiana Fever,4,9,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091009,PHO,IND,2009,1040900305362,18240,validated,100666,1,matched,playbyplayv2,1611661317,100646|100666|201047|201896|201917,complete,playbyplay_inferred,100236|100634|100940|100973|101024,complete,playbyplay_inferred
Shot Chart Detail,1040900305,374,201047,Jessica Davenport,1611661325,Indiana Fever,4,7,32,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-78,48,1,1,20091009,PHO,IND,2009,1040900305374,19480,validated,,0,matched,playbyplayv2,1611661317,100646|100666|201047|201896|201917,complete,playbyplay_inferred,100236|100634|100940|100973|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900305,412,201047,Jessica Davenport,1611661325,Indiana Fever,4,3,50,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-64,45,1,1,20091009,PHO,IND,2009,1040900305412,21700,validated,100646,1,matched,playbyplayv2,1611661317,100628|100646|100666|201047|201896,complete,playbyplay_inferred,100236|100634|100940|100973|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900305,418,201047,Jessica Davenport,1611661325,Indiana Fever,4,2,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,34,176,1,0,20091009,PHO,IND,2009,1040900305418,22350,validated,,0,matched,playbyplayv2,1611661317,100628|100646|100666|201047|201896,complete,playbyplay_inferred,100236|100634|100940|100973|200665,complete,playbyplay_inferred
Shot Chart Detail,1040900305,433,201047,Jessica Davenport,1611661325,Indiana Fever,4,2,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091009,PHO,IND,2009,1040900305433,22730,validated,100666,1,matched,playbyplayv2,1611661317,100628|100646|100666|201047|201896,complete,playbyplay_inferred,100236|100634|100940|200665|201886,complete,playbyplay_inferred
Shot Chart Detail,1040900305,452,201047,Jessica Davenport,1611661325,Indiana Fever,4,0,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091009,PHO,IND,2009,1040900305452,23780,validated,,0,matched,playbyplayv2,1611661317,100646|100666|201047|201896|201917,complete,playbyplay_inferred,100236|100634|100940|200665|201886,complete,playbyplay_inferred
