GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,21,0,0.0
League Averages,Above the Break 3,Center(C),24+ ft.,124,21,0.169
League Averages,Above the Break 3,Center(C),16-24 ft.,977,341,0.349
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,1430,542,0.379
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,216,58,0.269
League Averages,Above the Break 3,Left Side(L),16-24 ft.,694,224,0.323
League Averages,Above the Break 3,Left Side(L),24+ ft.,110,30,0.273
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,169,41,0.243
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,1382,499,0.361
League Averages,Above the Break 3,Right Side(R),24+ ft.,41,12,0.293
League Averages,Above the Break 3,Right Side(R),16-24 ft.,608,224,0.368
League Averages,Backcourt,Back Court(BC),Back Court Shot,34,1,0.029
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,1100,433,0.394
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,2506,913,0.364
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,375,124,0.331
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,342,109,0.319
League Averages,Left Corner 3,Left Side(L),24+ ft.,432,158,0.366
League Averages,Left Corner 3,Left Side(L),16-24 ft.,244,101,0.414
League Averages,Mid-Range,Center(C),8-16 ft.,478,196,0.41
League Averages,Mid-Range,Center(C),16-24 ft.,598,239,0.4
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,743,253,0.341
League Averages,Mid-Range,Left Side(L),8-16 ft.,2311,826,0.357
League Averages,Mid-Range,Left Side(L),16-24 ft.,782,274,0.35
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,689,263,0.382
League Averages,Mid-Range,Right Side(R),8-16 ft.,2101,771,0.367
League Averages,Mid-Range,Right Side(R),16-24 ft.,526,176,0.335
League Averages,Restricted Area,Center(C),Less Than 8 ft.,9317,5104,0.548
League Averages,Right Corner 3,Center(C),Less Than 8 ft.,3,2,0.667
League Averages,Right Corner 3,Right Side(R),24+ ft.,257,92,0.358
League Averages,Right Corner 3,Right Side(R),16-24 ft.,245,89,0.363
