GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041700111,98,200673,Monique Currie,1611661317,Phoenix Mercury,1,0,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-132,129,1,0,20170906,PHO,SEA,2017,104170011198,5760,validated,,0,matched,playbyplayv2,1611661328,200673|202658|203398|203855|1628242,complete,playbyplay_inferred,100720|202670|204321|1627668|1628244,complete,playbyplay_inferred
Shot Chart Detail,1041700111,155,200673,Monique Currie,1611661317,Phoenix Mercury,2,5,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,42,228,1,0,20170906,PHO,SEA,2017,1041700111155,8870,validated,,0,matched,playbyplayv2,1611661328,200673|201067|201507|202658|203398,complete,playbyplay_inferred,100720|201518|202252|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1041700201,69,200673,Monique Currie,1611661317,Phoenix Mercury,1,3,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-171,159,1,1,20170910,CON,PHO,2017,104170020169,4070,validated,203389,1,matched,playbyplayv2,1611661323,200673|201507|203389|203398|1628242,complete,playbyplay_inferred,202662|203015|203826|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041700201,73,200673,Monique Currie,1611661317,Phoenix Mercury,1,2,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-81,144,1,0,20170910,CON,PHO,2017,104170020173,4500,validated,,0,matched,playbyplayv2,1611661323,200673|201507|203389|203398|1628242,complete,playbyplay_inferred,202662|203015|203826|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041700201,119,200673,Monique Currie,1611661317,Phoenix Mercury,2,8,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,8,1,1,20170910,CON,PHO,2017,1041700201119,7060,validated,,0,matched,playbyplayv2,1611661323,100940|200673|201067|202658|1628242,complete,playbyplay_inferred,202662|203410|1627670|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041700201,322,200673,Monique Currie,1611661317,Phoenix Mercury,3,2,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,173,164,1,0,20170910,CON,PHO,2017,1041700201322,16760,validated,,0,matched,playbyplayv2,1611661323,200673|201507|203389|203398|1628242,complete,playbyplay_inferred,202662|203015|203410|203826|1627673,complete,playbyplay_inferred
Shot Chart Detail,1041700201,354,200673,Monique Currie,1611661317,Phoenix Mercury,4,9,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-38,159,1,1,20170910,CON,PHO,2017,1041700201354,18230,validated,,0,matched,playbyplayv2,1611661323,100940|200673|202658|203398|1628242,complete,playbyplay_inferred,202653|202662|203410|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041700201,357,200673,Monique Currie,1611661317,Phoenix Mercury,4,8,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,143,110,1,0,20170910,CON,PHO,2017,1041700201357,18670,validated,,0,matched,playbyplayv2,1611661323,100940|200673|202658|203398|1628242,complete,playbyplay_inferred,202653|202662|203410|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041700201,369,200673,Monique Currie,1611661317,Phoenix Mercury,4,7,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,0,20170910,CON,PHO,2017,1041700201369,19750,validated,,0,matched,playbyplayv2,1611661323,100940|200673|201067|202658|203398,complete,playbyplay_inferred,202653|202662|203410|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041700201,371,200673,Monique Currie,1611661317,Phoenix Mercury,4,7,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,102,-6,1,1,20170910,CON,PHO,2017,1041700201371,19790,validated,,0,matched,playbyplayv2,1611661323,100940|200673|201067|202658|203398,complete,playbyplay_inferred,202653|202662|203410|1627673|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041700201,397,200673,Monique Currie,1611661317,Phoenix Mercury,4,4,45,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-76,124,1,0,20170910,CON,PHO,2017,1041700201397,21150,validated,,0,matched,playbyplayv2,1611661323,100940|200673|201067|201507|203398,complete,playbyplay_inferred,202662|203015|203410|203826|1627673,complete,playbyplay_inferred
