GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041700301,386,1628283,Alexis Jones,1611661324,Minnesota Lynx,4,1,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-110,97,1,0,20170912,MIN,WAS,2017,1041700301386,23400,validated,,0,matched,playbyplayv2,1611661322,100952|203827|1627701|1628283|1628508,complete,playbyplay_inferred,201056|203403|203859|204333|1628278,complete,playbyplay_inferred
Shot Chart Detail,1041700403,184,1628283,Alexis Jones,1611661324,Minnesota Lynx,2,2,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,22,1,228,1,1,20170929,LAS,MIN,2017,1041700403184,10770,validated,100952,1,matched,playbyplayv2,1611661320,100944|100952|201480|201904|1628283,complete,playbyplay_inferred,100949|202650|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,188,1628283,Alexis Jones,1611661324,Minnesota Lynx,2,1,9,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,16,1,0,20170929,LAS,MIN,2017,1041700403188,11310,validated,,0,matched,playbyplayv2,1611661320,100944|100952|201480|201904|1628283,complete,playbyplay_inferred,100949|202650|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,292,1628283,Alexis Jones,1611661324,Minnesota Lynx,3,2,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,18,1,0,20170929,LAS,MIN,2017,1041700403292,16460,validated,,0,matched,playbyplayv2,1611661320,100944|100952|201904|202632|1628283,complete,playbyplay_inferred,201496|201502|202650|203029|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,296,1628283,Alexis Jones,1611661324,Minnesota Lynx,3,1,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-79,223,1,1,20170929,LAS,MIN,2017,1041700403296,16910,validated,202632,1,matched,playbyplayv2,1611661320,100944|100952|201904|202632|1628283,complete,playbyplay_inferred,201496|201502|202650|203029|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,298,1628283,Alexis Jones,1611661324,Minnesota Lynx,3,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,22,-53,223,1,1,20170929,LAS,MIN,2017,1041700403298,17220,validated,,0,matched,playbyplayv2,1611661320,100944|100952|201904|202632|1628283,complete,playbyplay_inferred,201496|201502|202650|203029|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,364,1628283,Alexis Jones,1611661324,Minnesota Lynx,4,6,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,16,1,0,20170929,LAS,MIN,2017,1041700403364,20160,validated,,0,matched,playbyplayv2,1611661320,100952|201480|201904|202632|1628283,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,371,1628283,Alexis Jones,1611661324,Minnesota Lynx,4,6,6,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,36,1,0,20170929,LAS,MIN,2017,1041700403371,20340,validated,,0,matched,playbyplayv2,1611661320,100952|201480|201904|202632|1628283,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,405,1628283,Alexis Jones,1611661324,Minnesota Lynx,4,3,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,227,41,1,0,20170929,LAS,MIN,2017,1041700403405,21910,validated,,0,matched,playbyplayv2,1611661320,200671|201480|201904|202632|1628283,complete,playbyplay_inferred,100949|201496|201502|203014|203824,complete,playbyplay_inferred
Shot Chart Detail,1041700403,418,1628283,Alexis Jones,1611661324,Minnesota Lynx,4,1,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-114,80,1,0,20170929,LAS,MIN,2017,1041700403418,23120,validated,,0,matched,playbyplayv2,1611661320,200671|201480|201904|202632|1628283,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700403,451,1628283,Alexis Jones,1611661324,Minnesota Lynx,4,0,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,141,213,1,0,20170929,LAS,MIN,2017,1041700403451,23720,validated,,0,matched,playbyplayv2,1611661320,100952|200671|201480|201904|1628283,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700404,176,1628283,Alexis Jones,1611661324,Minnesota Lynx,2,5,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-183,149,1,1,20171001,LAS,MIN,2017,1041700404176,8780,validated,200671,1,matched,playbyplayv2,1611661320,100915|200671|201480|202632|1628283,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
