GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021300043,93,203418,Jasmine Hassell,1611661325,Indiana Fever,1,1,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-82,33,1,0,20130622,IND,CHI,2013,102130004393,5400,validated,,0,matched,playbyplayv2,1611661329,100835|201919|202638|203406|203418,complete,playbyplay_inferred,201477|201498|202259|202314|202670,complete,playbyplay_inferred
Shot Chart Detail,1021300043,196,203418,Jasmine Hassell,1611661325,Indiana Fever,2,1,36,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-5,148,1,1,20130622,IND,CHI,2013,1021300043196,11040,validated,,0,matched,playbyplayv2,1611661329,201503|201896|201919|202640|203418,complete,playbyplay_inferred,201062|201477|201480|201498|203399,complete,playbyplay_inferred
Shot Chart Detail,1021300049,302,203418,Jasmine Hassell,1611661325,Indiana Fever,3,5,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,6,1,1,20130625,ATL,IND,2013,1021300049302,14800,validated,201896,1,matched,playbyplayv2,1611661330,100835|201896|201919|203067|203418,complete,playbyplay_inferred,100812|100973|201881|203410|203451,complete,playbyplay_inferred
Shot Chart Detail,1021300049,339,203418,Jasmine Hassell,1611661325,Indiana Fever,3,1,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,111,67,1,0,20130625,ATL,IND,2013,1021300049339,17130,validated,,0,matched,playbyplayv2,1611661330,100835|201503|201896|202640|203418,complete,playbyplay_inferred,201881|202623|203026|203410|203451,complete,playbyplay_inferred
Shot Chart Detail,1021300049,341,203418,Jasmine Hassell,1611661325,Indiana Fever,3,1,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,12,1,0,20130625,ATL,IND,2013,1021300049341,17220,validated,,0,matched,playbyplayv2,1611661330,100835|201503|201896|202640|203418,complete,playbyplay_inferred,201881|202623|203026|203410|203451,complete,playbyplay_inferred
Shot Chart Detail,1021300049,435,203418,Jasmine Hassell,1611661325,Indiana Fever,4,1,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,1,20130625,ATL,IND,2013,1021300049435,22940,validated,202640,1,matched,playbyplayv2,1611661330,201896|201919|202640|203067|203418,complete,playbyplay_inferred,100812|201048|201881|202662|203026,complete,playbyplay_inferred
Shot Chart Detail,1021300049,447,203418,Jasmine Hassell,1611661325,Indiana Fever,4,1,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20130625,ATL,IND,2013,1021300049447,23340,validated,,0,matched,playbyplayv2,1611661330,100835|201919|202640|203067|203418,complete,playbyplay_inferred,100656|201048|203026|203410|203428,complete,playbyplay_inferred
Shot Chart Detail,1021300049,453,203418,Jasmine Hassell,1611661325,Indiana Fever,4,0,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-120,67,1,0,20130625,ATL,IND,2013,1021300049453,23890,validated,,0,matched,playbyplayv2,1611661330,100835|201919|202640|203067|203418,complete,playbyplay_inferred,100656|201048|203026|203410|203428,complete,playbyplay_inferred
Shot Chart Detail,1021300061,331,203418,Jasmine Hassell,1611661325,Indiana Fever,4,9,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,-24,1,1,20130630,IND,SEA,2013,1021300061331,18260,validated,100646,1,matched,playbyplayv2,1611661328,100646|100835|201919|202638|203418,complete,playbyplay_inferred,100076|101024|201049|201067|202252,complete,playbyplay_inferred
Shot Chart Detail,1021300061,416,203418,Jasmine Hassell,1611661325,Indiana Fever,4,1,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,-14,1,1,20130630,IND,SEA,2013,1021300061416,23150,validated,100646,1,matched,playbyplayv2,1611661328,100646|201919|202638|202640|203418,complete,playbyplay_inferred,100076|101024|101030|201067|203015,complete,playbyplay_inferred
Shot Chart Detail,1021300068,221,203418,Jasmine Hassell,1611661325,Indiana Fever,3,5,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,59,4,1,0,20130706,IND,CON,2013,1021300068221,14620,validated,,0,matched,playbyplayv2,1611661323,100646|201896|202640|203406|203418,complete,playbyplay_inferred,100796|202250|202253|202254|202255,complete,playbyplay_inferred
Shot Chart Detail,1021300068,230,203418,Jasmine Hassell,1611661325,Indiana Fever,3,5,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-68,110,1,0,20130706,IND,CON,2013,1021300068230,14820,validated,,0,matched,playbyplayv2,1611661323,100646|201896|202640|203406|203418,complete,playbyplay_inferred,100796|202250|202253|202254|202255,complete,playbyplay_inferred
Shot Chart Detail,1021300076,40,203418,Jasmine Hassell,1611661325,Indiana Fever,1,4,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,-14,1,0,20130711,IND,MIN,2013,102130007640,3320,validated,,0,matched,playbyplayv2,1611661324,100646|201896|201919|202640|203418,complete,playbyplay_inferred,100915|100944|101019|202257|202632,complete,playbyplay_inferred
Shot Chart Detail,1021300076,55,203418,Jasmine Hassell,1611661325,Indiana Fever,1,2,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,15,91,1,0,20130711,IND,MIN,2013,102130007655,4420,validated,,0,matched,playbyplayv2,1611661324,100646|101039|201896|202640|203418,complete,playbyplay_inferred,100944|202257|202632|203016|203411,complete,playbyplay_inferred
Shot Chart Detail,1021300076,276,203418,Jasmine Hassell,1611661325,Indiana Fever,3,0,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,-5,1,1,20130711,IND,MIN,2013,1021300076276,17450,validated,201503,1,matched,playbyplayv2,1611661324,201503|201919|202640|203406|203418,complete,playbyplay_inferred,202257|202632|202647|203016|203411,complete,playbyplay_inferred
Shot Chart Detail,1021300076,341,203418,Jasmine Hassell,1611661325,Indiana Fever,4,5,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,-19,1,0,20130711,IND,MIN,2013,1021300076341,20520,validated,,0,matched,playbyplayv2,1611661324,100646|101039|201896|202640|203418,complete,playbyplay_inferred,100915|100944|101019|202257|202632,complete,playbyplay_inferred
Shot Chart Detail,1021300080,113,203418,Jasmine Hassell,1611661325,Indiana Fever,2,8,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,24,167,1,0,20130713,NYL,IND,2013,1021300080113,6620,validated,,0,matched,playbyplayv2,1611661313,201503|201919|202640|203406|203418,complete,playbyplay_inferred,100404|100888|202652|203402|203412,complete,playbyplay_inferred
Shot Chart Detail,1021300080,325,203418,Jasmine Hassell,1611661325,Indiana Fever,3,0,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,26,1,0,20130713,NYL,IND,2013,1021300080325,17970,validated,,0,matched,playbyplayv2,1611661313,201503|201919|202640|203406|203418,complete,playbyplay_inferred,100888|200665|201507|202652|203402,complete,playbyplay_inferred
Shot Chart Detail,1021300080,327,203418,Jasmine Hassell,1611661325,Indiana Fever,3,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-103,46,1,0,20130713,NYL,IND,2013,1021300080327,17990,validated,,0,matched,playbyplayv2,1611661313,201503|201919|202640|203406|203418,complete,playbyplay_inferred,100888|200665|201507|202652|203402,complete,playbyplay_inferred
Shot Chart Detail,1021300080,389,203418,Jasmine Hassell,1611661325,Indiana Fever,4,4,14,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-106,56,1,0,20130713,NYL,IND,2013,1021300080389,21460,validated,,0,matched,playbyplayv2,1611661313,101039|202640|203067|203406|203418,complete,playbyplay_inferred,201507|203069|203402|203404|203412,complete,playbyplay_inferred
Shot Chart Detail,1021300080,402,203418,Jasmine Hassell,1611661325,Indiana Fever,4,2,33,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,88,83,1,0,20130713,NYL,IND,2013,1021300080402,22470,validated,,0,matched,playbyplayv2,1611661313,101039|202640|203067|203406|203418,complete,playbyplay_inferred,201507|203069|203402|203404|203412,complete,playbyplay_inferred
Shot Chart Detail,1021300090,137,203418,Jasmine Hassell,1611661325,Indiana Fever,2,6,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-3,1,1,20130719,IND,WAS,2013,1021300090137,7880,validated,201896,1,matched,playbyplayv2,1611661322,100646|201896|201919|202640|203418,complete,playbyplay_inferred,100729|203401|203414|203416|203437,complete,playbyplay_inferred
Shot Chart Detail,1021300090,378,203418,Jasmine Hassell,1611661325,Indiana Fever,4,6,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-7,60,1,0,20130719,IND,WAS,2013,1021300090378,19860,validated,,0,matched,playbyplayv2,1611661322,101039|201503|201896|202640|203418,complete,playbyplay_inferred,201056|201492|201913|203416|203437,complete,playbyplay_inferred
Shot Chart Detail,1021300096,76,203418,Jasmine Hassell,1611661325,Indiana Fever,1,2,18,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,12,1,0,20130721,WAS,IND,2013,102130009676,4620,validated,,0,matched,playbyplayv2,1611661322,201503|201896|202640|203406|203418,complete,playbyplay_inferred,200673|201056|201913|203401|203416,complete,playbyplay_inferred
Shot Chart Detail,1021300096,85,203418,Jasmine Hassell,1611661325,Indiana Fever,1,0,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,9,1,0,20130721,WAS,IND,2013,102130009685,5470,validated,,0,matched,playbyplayv2,1611661322,100646|201503|202640|203406|203418,complete,playbyplay_inferred,201913|203401|203414|203416|203437,complete,playbyplay_inferred
Shot Chart Detail,1021300127,362,203418,Jasmine Hassell,1611661328,Seattle Storm,4,4,58,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,80,1,0,20130809,SEA,SAN,2013,1021300127362,21020,validated,,0,matched,playbyplayv2,1611661319,201049|202252|203015|203403|203418,complete,playbyplay_inferred,100937|101049|203018|203405|203413,complete,playbyplay_inferred
Shot Chart Detail,1021300127,390,203418,Jasmine Hassell,1611661328,Seattle Storm,4,0,28,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-27,58,1,1,20130809,SEA,SAN,2013,1021300127390,23720,validated,201049,1,matched,playbyplayv2,1611661319,201049|202252|203015|203403|203418,complete,playbyplay_inferred,100937|101049|203018|203405|203413,complete,playbyplay_inferred
Shot Chart Detail,1021300168,124,203418,Jasmine Hassell,1611661325,Indiana Fever,1,0,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,25,1,1,20130830,NYL,IND,2013,1021300168124,5470,validated,203406,1,matched,playbyplayv2,1611661313,101039|202638|202640|203406|203418,complete,playbyplay_inferred,100396|100888|200665|201507|202652,complete,playbyplay_inferred
