GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021300012,179,203414,Nadirah McKenith,1611661322,Washington Mystics,2,5,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-187,7,1,0,20130602,WAS,ATL,2013,1021300012179,8950,validated,,0,matched,playbyplayv2,1611661330,100729|201056|203401|203414|203416,complete,playbyplay_inferred,100973|201881|202623|202662|203026,complete,playbyplay_inferred
Shot Chart Detail,1021300017,321,203414,Nadirah McKenith,1611661322,Washington Mystics,3,0,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-16,58,1,0,20130607,CON,WAS,2013,1021300017321,17960,validated,,0,matched,playbyplayv2,1611661323,100729|201492|203414|203416|203437,complete,playbyplay_inferred,200691|201490|202250|202253|203408,complete,playbyplay_inferred
Shot Chart Detail,1021300033,350,203414,Nadirah McKenith,1611661322,Washington Mystics,4,8,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,162,19,1,0,20130616,WAS,IND,2013,1021300033350,18980,validated,,0,matched,playbyplayv2,1611661325,100729|200673|203414|203416|203437,complete,playbyplay_inferred,100646|100835|201503|201896|202640,complete,playbyplay_inferred
Shot Chart Detail,1021300037,105,203414,Nadirah McKenith,1611661322,Washington Mystics,1,0,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,65,42,1,0,20130618,SEA,WAS,2013,1021300037105,5980,validated,,0,matched,playbyplayv2,1611661328,100729|201492|203414|203416|203437,complete,playbyplay_inferred,100076|100556|101030|201049|203015,complete,playbyplay_inferred
Shot Chart Detail,1021300048,275,203414,Nadirah McKenith,1611661322,Washington Mystics,3,4,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,0,20130623,LAS,WAS,2013,1021300048275,15210,validated,,0,matched,playbyplayv2,1611661320,201913|203401|203414|203416|203437,complete,playbyplay_inferred,100928|100949|201046|201496|201911,complete,playbyplay_inferred
Shot Chart Detail,1021300052,128,203414,Nadirah McKenith,1611661322,Washington Mystics,2,9,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,19,1,0,20130627,WAS,PHO,2013,1021300052128,6090,validated,,0,matched,playbyplayv2,1611661317,100729|203401|203414|203416|203437,complete,playbyplay_inferred,100940|201487|201886|202663|203046,complete,playbyplay_inferred
Shot Chart Detail,1021300052,158,203414,Nadirah McKenith,1611661322,Washington Mystics,2,7,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,59,134,1,0,20130627,WAS,PHO,2013,1021300052158,7770,validated,,0,matched,playbyplayv2,1611661317,100729|201518|203401|203414|203437,complete,playbyplay_inferred,100940|201886|202663|203046|203398,complete,playbyplay_inferred
Shot Chart Detail,1021300054,313,203414,Nadirah McKenith,1611661322,Washington Mystics,3,1,2,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,15,1,1,20130628,ATL,WAS,2013,1021300054313,17380,validated,,0,matched,playbyplayv2,1611661330,200673|201913|203401|203414|203416,complete,playbyplay_inferred,100812|201881|202662|203026|203410,complete,playbyplay_inferred
Shot Chart Detail,1021300054,440,203414,Nadirah McKenith,1611661322,Washington Mystics,4,0,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,103,173,1,1,20130628,ATL,WAS,2013,1021300054440,23570,validated,,0,matched,playbyplayv2,1611661330,101042|203401|203414|203416|203437,complete,playbyplay_inferred,100812|201048|203026|203410|203428,complete,playbyplay_inferred
Shot Chart Detail,1021300060,121,203414,Nadirah McKenith,1611661322,Washington Mystics,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,37,-82,369,1,0,20130630,WAS,TUL,2013,1021300060121,6000,validated,,0,matched,playbyplayv2,1611661321,201913|203401|203414|203416|203437,complete,playbyplay_inferred,101033|201907|203017|203029|203426,complete,playbyplay_inferred
Shot Chart Detail,1021300060,150,203414,Nadirah McKenith,1611661322,Washington Mystics,2,8,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,140,58,1,0,20130630,WAS,TUL,2013,1021300060150,6910,validated,,0,matched,playbyplayv2,1611661321,100729|203401|203414|203416|203437,complete,playbyplay_inferred,101033|101080|202633|203029|203426,complete,playbyplay_inferred
