GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021300010,97,201490,Natasha Lacy,1611661323,Connecticut Sun,1,1,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,26,1,0,20130601,MIN,CON,2013,102130001097,5300,validated,,0,matched,playbyplayv2,1611661324,101020|201490|201914|202250|202255,complete,playbyplay_inferred,100915|202257|202644|202647|203016,complete,playbyplay_inferred
Shot Chart Detail,1021300010,214,201490,Natasha Lacy,1611661323,Connecticut Sun,2,0,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,0,20130601,MIN,CON,2013,1021300010214,11830,validated,,0,matched,playbyplayv2,1611661324,100874|200691|201490|201914|203408,complete,playbyplay_inferred,100915|100944|200671|202632|202644,complete,playbyplay_inferred
Shot Chart Detail,1021300010,280,201490,Natasha Lacy,1611661323,Connecticut Sun,3,4,27,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,15,1,0,20130601,MIN,CON,2013,1021300010280,15330,validated,,0,matched,playbyplayv2,1611661324,100874|200691|201490|202250|203408,complete,playbyplay_inferred,100944|200671|202257|202632|202644,complete,playbyplay_inferred
Shot Chart Detail,1021300010,421,201490,Natasha Lacy,1611661323,Connecticut Sun,4,1,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,196,-5,1,1,20130601,MIN,CON,2013,1021300010421,23130,validated,101020,1,matched,playbyplayv2,1611661324,101020|200691|201490|201914|203408,complete,playbyplay_inferred,202644|202647|203016|203409|203411,complete,playbyplay_inferred
Shot Chart Detail,1021300017,19,201490,Natasha Lacy,1611661323,Connecticut Sun,1,7,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,122,145,1,0,20130607,CON,WAS,2013,102130001719,1400,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202253|202254|202255,complete,playbyplay_inferred,200673|201056|201518|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1021300017,35,201490,Natasha Lacy,1611661323,Connecticut Sun,1,5,54,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,4,1,0,20130607,CON,WAS,2013,102130001735,2460,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202253|202254|202255,complete,playbyplay_inferred,200673|201056|201518|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1021300017,66,201490,Natasha Lacy,1611661323,Connecticut Sun,1,2,25,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,0,20130607,CON,WAS,2013,102130001766,4550,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202254|202255|203408,complete,playbyplay_inferred,100729|200673|201056|201492|201518,complete,playbyplay_inferred
Shot Chart Detail,1021300017,130,201490,Natasha Lacy,1611661323,Connecticut Sun,2,6,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,42,1,0,20130607,CON,WAS,2013,1021300017130,8150,validated,,0,matched,playbyplayv2,1611661322,200691|201490|202250|202255|203408,complete,playbyplay_inferred,200673|201056|201518|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1021300017,211,201490,Natasha Lacy,1611661323,Connecticut Sun,3,9,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20130607,CON,WAS,2013,1021300017211,12490,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202253|202254|202255,complete,playbyplay_inferred,200673|201056|201518|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1021300017,215,201490,Natasha Lacy,1611661323,Connecticut Sun,3,8,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,147,135,1,0,20130607,CON,WAS,2013,1021300017215,12700,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202253|202254|202255,complete,playbyplay_inferred,200673|201056|201518|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1021300017,227,201490,Natasha Lacy,1611661323,Connecticut Sun,3,7,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,0,20130607,CON,WAS,2013,1021300017227,13450,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202253|202254|202255,complete,playbyplay_inferred,200673|201056|201518|201913|203401,complete,playbyplay_inferred
Shot Chart Detail,1021300017,265,201490,Natasha Lacy,1611661323,Connecticut Sun,3,4,42,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20130607,CON,WAS,2013,1021300017265,15180,validated,200691,1,matched,playbyplayv2,1611661322,200691|201490|201914|202253|202255,complete,playbyplay_inferred,100729|200673|201056|201492|201518,complete,playbyplay_inferred
Shot Chart Detail,1021300017,272,201490,Natasha Lacy,1611661323,Connecticut Sun,3,3,59,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,118,140,1,0,20130607,CON,WAS,2013,1021300017272,15610,validated,,0,matched,playbyplayv2,1611661322,200691|201490|201914|202253|202255,complete,playbyplay_inferred,100729|200673|201056|201492|203416,complete,playbyplay_inferred
Shot Chart Detail,1021300017,300,201490,Natasha Lacy,1611661323,Connecticut Sun,3,1,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-2,1,0,20130607,CON,WAS,2013,1021300017300,17150,validated,,0,matched,playbyplayv2,1611661322,200691|201490|202250|202255|203408,complete,playbyplay_inferred,100729|201492|203414|203416|203437,complete,playbyplay_inferred
Shot Chart Detail,1021300017,352,201490,Natasha Lacy,1611661323,Connecticut Sun,4,7,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,-10,1,0,20130607,CON,WAS,2013,1021300017352,19430,validated,,0,matched,playbyplayv2,1611661322,200691|201490|202250|202253|202255,complete,playbyplay_inferred,201056|201518|203401|203416|203437,complete,playbyplay_inferred
Shot Chart Detail,1021300017,377,201490,Natasha Lacy,1611661323,Connecticut Sun,4,5,17,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,17,1,0,20130607,CON,WAS,2013,1021300017377,20830,validated,,0,matched,playbyplayv2,1611661322,200691|201490|202250|202253|202255,complete,playbyplay_inferred,100729|200673|201056|201518|203437,complete,playbyplay_inferred
Shot Chart Detail,1021300017,424,201490,Natasha Lacy,1611661323,Connecticut Sun,4,0,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,141,83,1,0,20130607,CON,WAS,2013,1021300017424,23610,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202253|202254|202255,complete,playbyplay_inferred,100729|200673|201056|201518|203437,complete,playbyplay_inferred
Shot Chart Detail,1021300017,440,201490,Natasha Lacy,1611661323,Connecticut Sun,4,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,255,1,0,20130607,CON,WAS,2013,1021300017440,23990,validated,,0,matched,playbyplayv2,1611661322,201490|202250|202253|202254|202255,complete,playbyplay_inferred,100729|200673|201056|201518|203437,complete,playbyplay_inferred
