GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022100004,601,1630389,Dana Evans,1611661321,Dallas Wings,4,1,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,9,119,1,0,20210514,LAS,DAL,2021,1022100004601,23020,validated,,0,matched,playbyplayv2,1611661320,204330|1628277|1630389|1630440|1630454,complete,playbyplay_inferred,1628269|1628279|1630099|1630441|1630444,complete,playbyplay_inferred
Shot Chart Detail,1022100019,194,1630389,Dana Evans,1611661321,Dallas Wings,2,5,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,24,-232,66,1,1,20210522,DAL,SEA,2021,1022100019194,8720,validated,1627669,1,matched,playbyplayv2,1611661328,203866|204330|1627669|1629485|1630389,complete,playbyplay_inferred,204319|1627668|1628886|1629496|1629568,complete,playbyplay_inferred
Shot Chart Detail,1022100019,239,1630389,Dana Evans,1611661321,Dallas Wings,2,3,4,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,50,164,1,0,20210522,DAL,SEA,2021,1022100019239,10160,validated,,0,matched,playbyplayv2,1611661328,203866|1629481|1629485|1629497|1630389,complete,playbyplay_inferred,100720|200676|203855|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1022100024,416,1630389,Dana Evans,1611661321,Dallas Wings,3,0,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,123,226,1,0,20210524,NYL,DAL,2021,1022100024416,17680,validated,,0,matched,playbyplayv2,1611661313,203866|1629481|1629497|1630389|1630454,complete,playbyplay_inferred,204296|1628244|1630119|1630131|1630459,complete,playbyplay_inferred
Shot Chart Detail,1022100028,262,1630389,Dana Evans,1611661321,Dallas Wings,2,2,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,23,203,117,1,0,20210527,ATL,DAL,2021,1022100028262,10480,validated,,0,matched,playbyplayv2,1611661330,203866|1629481|1630112|1630389|1630454,complete,playbyplay_inferred,203026|203403|204322|1627675|1630150,complete,playbyplay_inferred
Shot Chart Detail,1022100040,554,1630389,Dana Evans,1611661321,Dallas Wings,4,0,27,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,24,201,1,0,20210601,DAL,LAS,2021,1022100040554,23730,validated,,0,matched,playbyplayv2,1611661320,1630093|1630386|1630389|1630440|1630454,complete,playbyplay_inferred,201911|1627678|1628269|1628279|1630099,complete,playbyplay_inferred
Shot Chart Detail,1022100043,87,1630389,Dana Evans,1611661329,Chicago Sky,1,3,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-116,227,1,0,20210603,PHO,CHI,2021,102210004387,3900,validated,,0,matched,playbyplayv2,1611661317,201516|203828|1627674|1630113|1630389,complete,playbyplay_inferred,203398|203400|1628915|1629482|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100043,92,1630389,Dana Evans,1611661329,Chicago Sky,1,2,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-152,236,1,0,20210603,PHO,CHI,2021,102210004392,4360,validated,,0,matched,playbyplayv2,1611661317,201516|203828|1627674|1630113|1630389,complete,playbyplay_inferred,203398|203400|1628915|1629482|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100043,209,1630389,Dana Evans,1611661329,Chicago Sky,2,4,18,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,148,224,1,0,20210603,PHO,CHI,2021,1022100043209,9420,validated,,0,matched,playbyplayv2,1611661317,203838|1627674|1628890|1630113|1630389,complete,playbyplay_inferred,203398|203400|1628915|1629488|1630136,complete,playbyplay_inferred
Shot Chart Detail,1022100043,221,1630389,Dana Evans,1611661329,Chicago Sky,2,3,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,3,47,1,0,20210603,PHO,CHI,2021,1022100043221,9800,validated,,0,matched,playbyplayv2,1611661317,201516|203838|1627674|1630113|1630389,complete,playbyplay_inferred,203035|203398|1628915|1629482|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100048,169,1630389,Dana Evans,1611661329,Chicago Sky,2,8,49,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,38,1,0,20210605,LAS,CHI,2021,1022100048169,6710,validated,,0,matched,playbyplayv2,1611661320,201516|1628890|1628922|1630113|1630389,complete,playbyplay_inferred,201911|1627678|1628269|1630099|1630441,complete,playbyplay_inferred
