GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022100001,444,1630119,Jazmine Jones,1611661313,New York Liberty,4,6,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,79,237,1,0,20210514,NYL,IND,2021,1022100001444,20110,validated,,0,matched,playbyplayv2,1611661325,204334|204335|1629477|1630119|1630459,complete,gamerotation,202650|1628909|1628927|1629479|1630438,complete,gamerotation
Shot Chart Detail,1022100007,134,1630119,Jazmine Jones,1611661313,New York Liberty,1,0,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,21,1,1,20210516,IND,NYL,2021,1022100007134,5600,validated,1628244,1,matched,playbyplayv2,1611661325,204296|1628244|1630119|1630131|1630459,complete,playbyplay_inferred,202638|1627676|1628263|1628909|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022100007,158,1630119,Jazmine Jones,1611661313,New York Liberty,2,9,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,17,1,0,20210516,IND,NYL,2021,1022100007158,6580,validated,,0,matched,playbyplayv2,1611661325,204296|1628244|1630119|1630131|1630459,complete,playbyplay_inferred,202638|202650|202658|1628909|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100007,161,1630119,Jazmine Jones,1611661313,New York Liberty,2,8,59,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20210516,IND,NYL,2021,1022100007161,6610,validated,,0,matched,playbyplayv2,1611661325,204296|1628244|1630119|1630131|1630459,complete,playbyplay_inferred,202638|202650|202658|1628909|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100007,339,1630119,Jazmine Jones,1611661313,New York Liberty,3,8,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-192,199,1,1,20210516,IND,NYL,2021,1022100007339,13200,validated,204335,1,matched,playbyplayv2,1611661325,204335|1628244|1630119|1630131|1630446,complete,playbyplay_inferred,202650|202658|1628909|1628927|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022100007,443,1630119,Jazmine Jones,1611661313,New York Liberty,3,0,38,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-4,1,1,20210516,IND,NYL,2021,1022100007443,17620,validated,,0,matched,playbyplayv2,1611661325,204334|204335|1629477|1630119|1630446,complete,playbyplay_inferred,202638|202650|202658|1627676|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100007,466,1630119,Jazmine Jones,1611661313,New York Liberty,4,9,34,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,11,1,0,20210516,IND,NYL,2021,1022100007466,18260,validated,,0,matched,playbyplayv2,1611661325,204296|204334|1629477|1630119|1630459,complete,playbyplay_inferred,202638|202650|1627676|1628263|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100007,476,1630119,Jazmine Jones,1611661313,New York Liberty,4,8,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-231,52,1,1,20210516,IND,NYL,2021,1022100007476,18670,validated,204296,1,matched,playbyplayv2,1611661325,204296|204334|1629477|1630119|1630459,complete,playbyplay_inferred,202638|202650|1627676|1628263|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100009,114,1630119,Jazmine Jones,1611661313,New York Liberty,1,1,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,124,122,1,0,20210518,NYL,MIN,2021,1022100009114,5180,validated,,0,matched,playbyplayv2,1611661324,204329|204335|1629477|1630119|1630446,complete,playbyplay_inferred,201480|1627671|1627672|1629491|1630101,complete,playbyplay_inferred
Shot Chart Detail,1022100009,183,1630119,Jazmine Jones,1611661313,New York Liberty,2,7,33,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,62,1,0,20210518,NYL,MIN,2021,1022100009183,7470,validated,,0,matched,playbyplayv2,1611661324,204296|1628244|1630119|1630131|1630459,complete,playbyplay_inferred,201480|203024|203825|1627671|1627672,complete,playbyplay_inferred
Shot Chart Detail,1022100009,451,1630119,Jazmine Jones,1611661313,New York Liberty,4,9,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,147,199,1,0,20210518,NYL,MIN,2021,1022100009451,18320,validated,,0,matched,playbyplayv2,1611661324,204296|204329|1628244|1629477|1630119,complete,playbyplay_inferred,201480|203024|203825|1627671|1629524,complete,playbyplay_inferred
