GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022100002,526,1630096,DiJonai Carrington,1611661323,Connecticut Sun,4,1,13,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-57,115,1,0,20210514,ATL,CON,2021,1022100002526,23270,validated,,0,matched,playbyplayv2,1611661330,201886|201896|1627673|1630096|1630453,complete,playbyplay_inferred,203824|204325|1627675|1628881|1630150,complete,playbyplay_inferred
Shot Chart Detail,1022100008,161,1630096,DiJonai Carrington,1611661323,Connecticut Sun,2,6,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-6,1,0,20210516,CON,PHO,2021,1022100008161,8050,validated,,0,matched,playbyplayv2,1611661317,201896|1627673|1628280|1630096|1630097,complete,playbyplay_inferred,100940|203398|203400|1628915|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100008,208,1630096,DiJonai Carrington,1611661323,Connecticut Sun,2,3,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-93,221,1,0,20210516,CON,PHO,2021,1022100008208,10170,validated,,0,matched,playbyplayv2,1611661317,201886|201896|1627673|1628280|1630096,complete,playbyplay_inferred,203398|203400|1628915|1629488|1630136,complete,playbyplay_inferred
Shot Chart Detail,1022100013,413,1630096,DiJonai Carrington,1611661323,Connecticut Sun,4,6,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,17,1,0,20210519,CON,IND,2021,1022100013413,19880,validated,,0,matched,playbyplayv2,1611661325,1629492|1629567|1630096|1630097|1630120,complete,playbyplay_inferred,202638|1627676|1628263|1630043|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100013,472,1630096,DiJonai Carrington,1611661323,Connecticut Sun,4,1,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,11,1,1,20210519,CON,IND,2021,1022100013472,22980,validated,,0,matched,playbyplayv2,1611661325,1629492|1629567|1630096|1630097|1630120,complete,playbyplay_inferred,1627676|1628263|1628927|1630043|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100017,122,1630096,DiJonai Carrington,1611661323,Connecticut Sun,2,9,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,231,65,1,0,20210521,PHO,CON,2021,1022100017122,6330,validated,,0,matched,playbyplayv2,1611661317,1627673|1629492|1629567|1630096|1630097,complete,playbyplay_inferred,100940|203035|1629488|1629501|1630136,complete,playbyplay_inferred
Shot Chart Detail,1022100017,146,1630096,DiJonai Carrington,1611661323,Connecticut Sun,2,8,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-70,89,1,0,20210521,PHO,CON,2021,1022100017146,7160,validated,,0,matched,playbyplayv2,1611661317,1627673|1629492|1629567|1630096|1630097,complete,playbyplay_inferred,100940|203398|203400|1629488|1630136,complete,playbyplay_inferred
Shot Chart Detail,1022100017,377,1630096,DiJonai Carrington,1611661323,Connecticut Sun,4,9,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,13,1,1,20210521,PHO,CON,2021,1022100017377,18120,validated,,0,matched,playbyplayv2,1611661317,1628280|1629492|1629567|1630096|1630097,complete,playbyplay_inferred,100940|203035|204332|1628915|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100017,382,1630096,DiJonai Carrington,1611661323,Connecticut Sun,4,9,5,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,1,1,0,20210521,PHO,CON,2021,1022100017382,18550,validated,,0,matched,playbyplayv2,1611661317,1628280|1629492|1629567|1630096|1630097,complete,playbyplay_inferred,100940|203035|204332|1628915|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100017,393,1630096,DiJonai Carrington,1611661323,Connecticut Sun,4,8,32,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,21,1,1,20210521,PHO,CON,2021,1022100017393,18880,validated,1628280,1,matched,playbyplayv2,1611661317,1628280|1629492|1629567|1630096|1630097,complete,playbyplay_inferred,100940|203398|203400|1628915|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100017,500,1630096,DiJonai Carrington,1611661323,Connecticut Sun,4,0,53,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,20,1,0,20210521,PHO,CON,2021,1022100017500,23470,validated,,0,matched,playbyplayv2,1611661317,1629492|1629567|1630096|1630097|1630120,complete,playbyplay_inferred,203035|204332|1629482|1629501|1630136,complete,playbyplay_inferred
