GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022100011,540,1629568,Kennedy Burke,1611661328,Seattle Storm,4,0,20,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-94,173,1,1,20210518,SEA,LVA,2021,1022100011540,23800,validated,,0,matched,playbyplayv2,1611661319,1628886|1629496|1629568|1630114|1630461,complete,playbyplay_inferred,203029|204324|1628242|1628917|1630435,complete,playbyplay_inferred
Shot Chart Detail,1022100014,143,1629568,Kennedy Burke,1611661328,Seattle Storm,2,9,40,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-3,1,0,20210520,MIN,SEA,2021,1022100014143,6200,validated,,0,matched,playbyplayv2,1611661324,200676|204319|1628886|1628920|1629568,complete,playbyplay_inferred,201480|1627671|1627672|1629491|1630101,complete,playbyplay_inferred
Shot Chart Detail,1022100014,145,1629568,Kennedy Burke,1611661328,Seattle Storm,2,9,33,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,25,1,0,20210520,MIN,SEA,2021,1022100014145,6270,validated,,0,matched,playbyplayv2,1611661324,200676|204319|1628886|1628920|1629568,complete,playbyplay_inferred,201480|1627671|1627672|1629491|1630101,complete,playbyplay_inferred
Shot Chart Detail,1022100014,427,1629568,Kennedy Burke,1611661328,Seattle Storm,4,9,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-126,232,1,0,20210520,MIN,SEA,2021,1022100014427,18160,validated,,0,matched,playbyplayv2,1611661324,200676|204319|1627668|1628886|1629568,complete,playbyplay_inferred,201480|203024|1627672|1629524|1630101,complete,playbyplay_inferred
Shot Chart Detail,1022100014,441,1629568,Kennedy Burke,1611661328,Seattle Storm,4,8,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-170,196,1,1,20210520,MIN,SEA,2021,1022100014441,18920,validated,1628886,1,matched,playbyplayv2,1611661324,100720|200676|1627668|1628886|1629568,complete,playbyplay_inferred,201480|203024|1627672|1629524|1630101,complete,playbyplay_inferred
Shot Chart Detail,1022100019,158,1629568,Kennedy Burke,1611661328,Seattle Storm,2,9,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,10,1,1,20210522,DAL,SEA,2021,1022100019158,6290,validated,1628886,1,matched,playbyplayv2,1611661321,204319|1628886|1628920|1629496|1629568,complete,playbyplay_inferred,204330|1627669|1629481|1629497|1630093,complete,playbyplay_inferred
Shot Chart Detail,1022100019,161,1629568,Kennedy Burke,1611661328,Seattle Storm,2,9,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,22,-219,37,1,0,20210522,DAL,SEA,2021,1022100019161,6590,validated,,0,matched,playbyplayv2,1611661321,204319|1628886|1628920|1629496|1629568,complete,playbyplay_inferred,204330|1627669|1629481|1629497|1630093,complete,playbyplay_inferred
Shot Chart Detail,1022100019,192,1629568,Kennedy Burke,1611661328,Seattle Storm,2,5,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,23,-189,133,1,0,20210522,DAL,SEA,2021,1022100019192,8610,validated,,0,matched,playbyplayv2,1611661321,204319|1627668|1628886|1629496|1629568,complete,playbyplay_inferred,203866|204330|1627669|1629485|1630389,complete,playbyplay_inferred
Shot Chart Detail,1022100026,89,1629568,Kennedy Burke,1611661328,Seattle Storm,1,2,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-175,151,1,1,20210525,SEA,CON,2021,102210002689,4780,validated,202259,1,matched,playbyplayv2,1611661323,202259|1627668|1628886|1629496|1629568,complete,playbyplay_inferred,201886|202662|1627673|1628280|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022100026,104,1629568,Kennedy Burke,1611661328,Seattle Storm,1,0,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,2,1,0,20210525,SEA,CON,2021,1022100026104,5480,validated,,0,matched,playbyplayv2,1611661323,202259|1627668|1628886|1629496|1629568,complete,playbyplay_inferred,201886|202662|1627673|1628280|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022100026,201,1629568,Kennedy Burke,1611661328,Seattle Storm,2,3,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,15,1,1,20210525,SEA,CON,2021,1022100026201,10000,validated,1627668,1,matched,playbyplayv2,1611661323,100720|204319|1627668|1628920|1629568,complete,playbyplay_inferred,202662|1627673|1628280|1629567|1630097,complete,playbyplay_inferred
