GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022100013,156,202662,Jasmine Thomas,1611661323,Connecticut Sun,2,6,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,-10,1,1,20210519,CON,IND,2021,1022100013156,8030,validated,1629567,1,matched,playbyplayv2,1611661325,201886|201896|202662|1627673|1629567,complete,playbyplay_inferred,202638|1627676|1628263|1629479|1630438,complete,playbyplay_inferred
Shot Chart Detail,1022100013,174,202662,Jasmine Thomas,1611661323,Connecticut Sun,2,5,19,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,4,1,1,20210519,CON,IND,2021,1022100013174,8810,validated,1627673,1,matched,playbyplayv2,1611661325,201886|201896|202662|1627673|1629567,complete,playbyplay_inferred,202650|1627676|1628263|1628909|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022100013,182,202662,Jasmine Thomas,1611661323,Connecticut Sun,2,4,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-171,151,1,0,20210519,CON,IND,2021,1022100013182,9200,validated,,0,matched,playbyplayv2,1611661325,201886|202662|1627673|1628280|1629567,complete,playbyplay_inferred,202650|1627676|1628263|1628909|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022100013,214,202662,Jasmine Thomas,1611661323,Connecticut Sun,2,3,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-25,204,1,0,20210519,CON,IND,2021,1022100013214,10160,validated,,0,matched,playbyplayv2,1611661325,201886|202662|1627673|1628280|1629567,complete,playbyplay_inferred,202650|202658|1628909|1628927|1630043,complete,playbyplay_inferred
Shot Chart Detail,1022100013,316,202662,Jasmine Thomas,1611661323,Connecticut Sun,3,3,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,7,1,1,20210519,CON,IND,2021,1022100013316,15640,validated,1630097,1,matched,playbyplayv2,1611661325,202662|1627673|1628280|1629567|1630097,complete,playbyplay_inferred,202638|202658|1627676|1628909|1629479,complete,playbyplay_inferred
Shot Chart Detail,1022100017,38,202662,Jasmine Thomas,1611661323,Connecticut Sun,1,5,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-206,147,1,1,20210521,PHO,CON,2021,102210001738,2640,validated,1627673,1,matched,playbyplayv2,1611661317,201886|202662|1627673|1628280|1629567,complete,playbyplay_inferred,100940|203398|203400|1628915|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100017,50,202662,Jasmine Thomas,1611661323,Connecticut Sun,1,4,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,225,61,1,1,20210521,PHO,CON,2021,102210001750,3380,validated,1629567,1,matched,playbyplayv2,1611661317,201886|202662|1627673|1628280|1629567,complete,playbyplay_inferred,100940|203398|203400|1628915|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022100017,80,202662,Jasmine Thomas,1611661323,Connecticut Sun,1,2,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,230,104,1,0,20210521,PHO,CON,2021,102210001780,4390,validated,,0,matched,playbyplayv2,1611661317,201886|202662|1628280|1629492|1630097,complete,playbyplay_inferred,203035|203398|203400|1629482|1629501,complete,playbyplay_inferred
Shot Chart Detail,1022100017,83,202662,Jasmine Thomas,1611661323,Connecticut Sun,1,2,34,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,17,1,0,20210521,PHO,CON,2021,102210001783,4460,validated,,0,matched,playbyplayv2,1611661317,201886|202662|1628280|1629492|1630097,complete,playbyplay_inferred,203035|203398|203400|1629482|1629501,complete,playbyplay_inferred
Shot Chart Detail,1022100017,92,202662,Jasmine Thomas,1611661323,Connecticut Sun,1,1,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,135,253,1,0,20210521,PHO,CON,2021,102210001792,5180,validated,,0,matched,playbyplayv2,1611661317,201886|202662|1628280|1629492|1630097,complete,playbyplay_inferred,203035|203398|203400|1629482|1629501,complete,playbyplay_inferred
Shot Chart Detail,1022100017,183,202662,Jasmine Thomas,1611661323,Connecticut Sun,2,4,44,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-113,224,1,0,20210521,PHO,CON,2021,1022100017183,9160,validated,,0,matched,playbyplayv2,1611661317,201886|202662|1627673|1628280|1629567,complete,playbyplay_inferred,203398|203400|1628915|1629488|1630136,complete,playbyplay_inferred
