GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,RAW_HTM,RAW_VTM
Shot Chart Detail,1020900005,86,201904,Renee Montgomery,1611661324,Minnesota Lynx,1,1,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,122,197,1,1,20090606,MIN,CHI,2009,102090000586,5060,validated,201506,1,matched,playbyplayv2,1611661329,200671|201499|201500|201506|201904,complete,playbyplay_inferred,101032|101075|200676|201048|201911,complete,playbyplay_inferred,,
Shot Chart Detail,1020900005,210,201904,Renee Montgomery,1611661324,Minnesota Lynx,2,0,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090606,MIN,CHI,2009,1020900005210,11540,validated,201500,1,matched,playbyplayv2,1611661329,101033|200671|201500|201506|201904,complete,playbyplay_inferred,100384|100667|100952|101075|200676,complete,playbyplay_inferred,,
Shot Chart Detail,1020900005,222,201904,Renee Montgomery,1611661324,Minnesota Lynx,2,0,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,78,235,1,1,20090606,MIN,CHI,2009,1020900005222,11970,validated,,0,matched,playbyplayv2,1611661329,101033|200671|201500|201506|201904,complete,playbyplay_inferred,100384|100667|100952|101075|200676,complete,playbyplay_inferred,,
Shot Chart Detail,1020900005,411,201904,Renee Montgomery,1611661324,Minnesota Lynx,4,6,16,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-220,12,1,0,20090606,MIN,CHI,2009,1020900005411,20240,validated,,0,matched,playbyplayv2,1611661329,200671|201499|201500|201506|201904,complete,playbyplay_inferred,100384|100835|100952|101032|201480,complete,playbyplay_inferred,,
Shot Chart Detail,1020900009,194,201904,Renee Montgomery,1611661324,Minnesota Lynx,2,0,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-163,183,1,0,20090607,IND,MIN,2009,1020900009194,11550,validated,,0,matched,playbyplayv2,1611661325,200671|201499|201500|201506|201904,complete,playbyplay_inferred,100008|100284|100628|100666|100928,complete,playbyplay_inferred,,
Shot Chart Detail,1020900009,315,201904,Renee Montgomery,1611661324,Minnesota Lynx,4,9,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,17,1,1,20090607,IND,MIN,2009,1020900009315,18490,validated,,0,matched,playbyplayv2,1611661325,200671|201499|201500|201501|201904,complete,playbyplay_inferred,100284|100419|201493|201495|201896,complete,playbyplay_inferred,,
Shot Chart Detail,1020900014,150,201904,Renee Montgomery,1611661324,Minnesota Lynx,2,7,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20090610,MIN,LAS,2009,1020900014150,7430,validated,,0,matched,playbyplayv2,1611661320,101033|200671|201506|201895|201904,complete,playbyplay_inferred,100076|100222|100685|100933|201049,complete,playbyplay_inferred,,
Shot Chart Detail,1020900014,366,201904,Renee Montgomery,1611661324,Minnesota Lynx,4,8,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090610,MIN,LAS,2009,1020900014366,19150,validated,,0,matched,playbyplayv2,1611661320,200671|201499|201500|201501|201904,complete,playbyplay_inferred,100076|100222|100484|201049|201918,complete,playbyplay_inferred,,
Shot Chart Detail,1020900014,379,201904,Renee Montgomery,1611661324,Minnesota Lynx,4,7,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-11,112,1,0,20090610,MIN,LAS,2009,1020900014379,19730,validated,,0,matched,playbyplayv2,1611661320,101033|201500|201501|201901|201904,complete,playbyplay_inferred,100076|100222|100396|100484|201049,complete,playbyplay_inferred,,
Shot Chart Detail,1020900017,275,201904,Renee Montgomery,1611661324,Minnesota Lynx,3,4,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-78,214,1,1,20090612,MIN,SEA,2009,1020900017275,15330,validated,,0,matched,playbyplayv2,1611661328,200671|201499|201500|201501|201904,complete,playbyplay_inferred,100682|100720|100721|101030|201067,complete,playbyplay_inferred,,
Shot Chart Detail,1020900017,297,201904,Renee Montgomery,1611661324,Minnesota Lynx,3,0,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,130,124,1,1,20090612,MIN,SEA,2009,1020900017297,17480,validated,,0,matched,playbyplayv2,1611661328,200671|201499|201506|201895|201904,complete,playbyplay_inferred,100410|100682|100720|100721|201052,complete,playbyplay_inferred,,
Shot Chart Detail,1020900017,305,201904,Renee Montgomery,1611661324,Minnesota Lynx,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,63,133,623,1,0,20090612,MIN,SEA,2009,1020900017305,18000,validated,,0,matched,playbyplayv2,1611661328,201499|201506|201895|201901|201904,complete,playbyplay_inferred,100410|100660|100720|201052|201914,complete,playbyplay_inferred,,
Shot Chart Detail,1020900017,313,201904,Renee Montgomery,1611661324,Minnesota Lynx,4,9,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,-15,216,1,1,20090612,MIN,SEA,2009,1020900017313,18170,validated,,0,matched,playbyplayv2,1611661328,201499|201506|201895|201901|201904,complete,playbyplay_inferred,100410|100660|100720|101030|201052,complete,playbyplay_inferred,,
Shot Chart Detail,1020900017,335,201904,Renee Montgomery,1611661324,Minnesota Lynx,4,7,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,21,187,107,1,0,20090612,MIN,SEA,2009,1020900017335,19260,validated,,0,matched,playbyplayv2,1611661328,200671|201500|201506|201901|201904,complete,playbyplay_inferred,100682|100720|100721|101030|201067,complete,playbyplay_inferred,,
