GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,RAW_HTM,RAW_VTM
Shot Chart Detail,1020900007,305,201050,Tiffany Jackson,1611661313,New York Liberty,3,3,36,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,42,1,0,20090607,NYL,CON,2009,1020900007305,15840,validated,,0,matched,playbyplayv2,1611661323,100937|101028|101047|101049|201050,complete,playbyplay_inferred,100347|100651|101039|200681|201486,complete,playbyplay_inferred,,
Shot Chart Detail,1020900015,86,201050,Tiffany Jackson,1611661313,New York Liberty,1,0,51,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20090610,PHO,NYL,2009,102090001586,5490,validated,,0,matched,playbyplayv2,1611661317,101028|201050|201086|201502|201913,complete,playbyplay_inferred,100920|100973|200665|201484|201886,complete,playbyplay_inferred,,
Shot Chart Detail,1020900015,285,201050,Tiffany Jackson,1611661313,New York Liberty,3,4,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090610,PHO,NYL,2009,1020900015285,15150,validated,101028,1,matched,playbyplayv2,1611661317,101028|101047|101049|201050|201086,complete,playbyplay_inferred,100236|100940|101024|200665|201886,complete,playbyplay_inferred,,
Shot Chart Detail,1020900015,354,201050,Tiffany Jackson,1611661313,New York Liberty,4,8,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-7,60,1,0,20090610,PHO,NYL,2009,1020900015354,18760,validated,,0,matched,playbyplayv2,1611661317,101049|201050|201086|201507|201913,complete,playbyplay_inferred,100973|101024|200665|201084|201886,complete,playbyplay_inferred,,
Shot Chart Detail,1020900020,73,201050,Tiffany Jackson,1611661313,New York Liberty,1,2,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20090613,SAN,NYL,2009,102090002073,4650,validated,201507,1,matched,playbyplayv2,1611661319,100937|101049|201050|201502|201507,complete,playbyplay_inferred,100342|100457|100696|101026|200674,complete,playbyplay_inferred,,
Shot Chart Detail,1020900020,81,201050,Tiffany Jackson,1611661313,New York Liberty,1,0,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,0,20090613,SAN,NYL,2009,102090002081,5410,validated,,0,matched,playbyplayv2,1611661319,100937|201050|201502|201507|201913,complete,playbyplay_inferred,100342|100457|100696|101026|200674,complete,playbyplay_inferred,,
Shot Chart Detail,1020900020,389,201050,Tiffany Jackson,1611661313,New York Liberty,4,3,58,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,65,75,1,0,20090613,SAN,NYL,2009,1020900020389,21620,validated,,0,matched,playbyplayv2,1611661319,100937|101028|101049|201050|201502,complete,playbyplay_inferred,100103|100342|100457|100656|200674,complete,playbyplay_inferred,,
Shot Chart Detail,1020900028,75,201050,Tiffany Jackson,1611661313,New York Liberty,1,2,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090619,NYL,SAN,2009,102090002875,4520,validated,101049,1,matched,playbyplayv2,1611661319,101049|201050|201086|201502|201507,complete,playbyplay_inferred,100659|101018|101026|200674|200686,complete,playbyplay_inferred,,
Shot Chart Detail,1020900028,85,201050,Tiffany Jackson,1611661313,New York Liberty,1,1,17,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-2,101,1,1,20090619,NYL,SAN,2009,102090002885,5230,validated,101047,1,matched,playbyplayv2,1611661319,101047|101049|201050|201086|201507,complete,playbyplay_inferred,100659|101018|101026|200674|200686,complete,playbyplay_inferred,,
Shot Chart Detail,1020900028,87,201050,Tiffany Jackson,1611661313,New York Liberty,1,0,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,103,74,1,1,20090619,NYL,SAN,2009,102090002887,5610,validated,101047,1,matched,playbyplayv2,1611661319,101047|101049|201050|201086|201507,complete,playbyplay_inferred,100659|101018|101026|200674|200686,complete,playbyplay_inferred,,
Shot Chart Detail,1020900028,222,201050,Tiffany Jackson,1611661313,New York Liberty,3,4,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20090619,NYL,SAN,2009,1020900028222,15600,validated,100937,1,matched,playbyplayv2,1611661319,100937|101019|201050|201502|201507,complete,playbyplay_inferred,100659|100696|101018|200674|200686,complete,playbyplay_inferred,,
