GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,RAW_HTM,RAW_VTM
Shot Chart Detail,1020900003,42,100347,Tamika Whitmore,1611661323,Connecticut Sun,1,6,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,22,1,0,20090606,CON,WAS,2009,102090000342,2080,validated,,0,matched,playbyplayv2,1611661322,100347|100723|100915|101039|200704,complete,playbyplay_inferred,100433|100949|200673|201046|201518,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,71,100347,Tamika Whitmore,1611661323,Connecticut Sun,1,3,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,48,1,0,20090606,CON,WAS,2009,102090000371,3660,validated,,0,matched,playbyplayv2,1611661322,100347|100651|100723|101039|200681,complete,playbyplay_inferred,200673|201046|201488|201492|201518,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,116,100347,Tamika Whitmore,1611661323,Connecticut Sun,1,0,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,22,-2,225,1,1,20090606,CON,WAS,2009,1020900003116,5880,validated,100915,1,matched,playbyplayv2,1611661322,100347|100651|100723|100915|200681,complete,playbyplay_inferred,201046|201488|201492|201518|201889,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,121,100347,Tamika Whitmore,1611661323,Connecticut Sun,2,9,21,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,20,1,0,20090606,CON,WAS,2009,1020900003121,6390,validated,,0,matched,playbyplayv2,1611661322,100347|100651|100915|200681|201486,complete,playbyplay_inferred,100433|100949|201046|201518|201889,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,133,100347,Tamika Whitmore,1611661323,Connecticut Sun,2,7,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,64,159,1,0,20090606,CON,WAS,2009,1020900003133,7350,validated,,0,matched,playbyplayv2,1611661322,100347|100651|100915|200681|201486,complete,playbyplay_inferred,100433|100949|201046|201518|201889,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,188,100347,Tamika Whitmore,1611661323,Connecticut Sun,2,2,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,106,143,1,1,20090606,CON,WAS,2009,1020900003188,10340,validated,200704,1,matched,playbyplayv2,1611661322,100347|100723|100915|101039|200704,complete,playbyplay_inferred,100433|200673|201046|201518|201889,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,300,100347,Tamika Whitmore,1611661323,Connecticut Sun,3,2,28,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-84,94,1,0,20090606,CON,WAS,2009,1020900003300,16520,validated,,0,matched,playbyplayv2,1611661322,100347|100723|100915|200681|201922,complete,playbyplay_inferred,100433|100949|201046|201518|201889,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,328,100347,Tamika Whitmore,1611661323,Connecticut Sun,4,9,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,84,131,1,0,20090606,CON,WAS,2009,1020900003328,18250,validated,,0,matched,playbyplayv2,1611661322,100347|100651|101039|200681|201922,complete,playbyplay_inferred,100556|200673|201046|201488|201889,complete,playbyplay_inferred,,
Shot Chart Detail,1020900003,346,100347,Tamika Whitmore,1611661323,Connecticut Sun,4,7,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,54,123,1,0,20090606,CON,WAS,2009,1020900003346,19760,validated,,0,matched,playbyplayv2,1611661322,100347|100651|100723|100915|101039,complete,playbyplay_inferred,100556|200673|201046|201488|201889,complete,playbyplay_inferred,,
Shot Chart Detail,1020900007,102,100347,Tamika Whitmore,1611661323,Connecticut Sun,1,2,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-111,183,1,0,20090607,NYL,CON,2009,1020900007102,4780,validated,,0,matched,playbyplayv2,1611661313,100347|100651|100723|101039|200681,complete,playbyplay_inferred,101028|101047|101049|201086|201913,complete,playbyplay_inferred,,
