GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041600211,60,203857,Jamierra Faulkner,1611661329,Chicago Sky,1,3,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-24,1,1,20160925,CHI,ATL,2016,104160021160,3770,validated,100812,1,matched,playbyplayv2,1611661330,100812|200665|201477|202638|203857,complete,playbyplay_inferred,201492|201881|203026|204322|1627678,complete,playbyplay_inferred
Shot Chart Detail,1041600211,425,203857,Jamierra Faulkner,1611661329,Chicago Sky,4,6,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,0,20160925,CHI,ATL,2016,1041600211425,19930,validated,,0,matched,playbyplayv2,1611661330,200665|201477|202638|203857|1627677,complete,playbyplay_inferred,201881|203026|203406|203848|204322,complete,playbyplay_inferred
Shot Chart Detail,1041600211,434,203857,Jamierra Faulkner,1611661329,Chicago Sky,4,6,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,1,1,1,20160925,CHI,ATL,2016,1041600211434,20320,validated,,0,matched,playbyplayv2,1611661330,100812|200665|201477|202638|203857,complete,playbyplay_inferred,201881|203026|203406|203848|204322,complete,playbyplay_inferred
Shot Chart Detail,1041600311,104,203857,Jamierra Faulkner,1611661329,Chicago Sky,1,1,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,0,20160928,LAS,CHI,2016,1041600311104,4970,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201516|203857|204323,complete,playbyplay_inferred,201911|202650|203014|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600311,119,203857,Jamierra Faulkner,1611661329,Chicago Sky,1,0,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,0,20160928,LAS,CHI,2016,1041600311119,5980,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201516|203857|204323,complete,playbyplay_inferred,201502|202650|203014|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600311,121,203857,Jamierra Faulkner,1611661329,Chicago Sky,1,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20160928,LAS,CHI,2016,1041600311121,6000,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201516|203857|204323,complete,playbyplay_inferred,201502|202650|203014|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600311,132,203857,Jamierra Faulkner,1611661329,Chicago Sky,2,8,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160928,LAS,CHI,2016,1041600311132,6630,validated,,0,matched,playbyplayv2,1611661320,200665|201477|201516|203857|204323,complete,playbyplay_inferred,100949|201496|201502|202650|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600311,151,203857,Jamierra Faulkner,1611661329,Chicago Sky,2,6,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,31,1,0,20160928,LAS,CHI,2016,1041600311151,8180,validated,,0,matched,playbyplayv2,1611661320,200665|201477|201516|203857|204323,complete,playbyplay_inferred,100949|201496|201502|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041600311,327,203857,Jamierra Faulkner,1611661329,Chicago Sky,3,1,27,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-67,28,1,0,20160928,LAS,CHI,2016,1041600311327,17130,validated,,0,matched,playbyplayv2,1611661320,201516|202664|203857|204309|204323,complete,playbyplay_inferred,201496|201502|202650|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600311,345,203857,Jamierra Faulkner,1611661329,Chicago Sky,3,0,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20160928,LAS,CHI,2016,1041600311345,17710,validated,202664,1,matched,playbyplayv2,1611661320,201516|202664|203857|204309|204323,complete,playbyplay_inferred,100949|201496|201502|202650|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600311,347,203857,Jamierra Faulkner,1611661329,Chicago Sky,3,0,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,106,156,1,1,20160928,LAS,CHI,2016,1041600311347,17990,validated,,0,matched,playbyplayv2,1611661320,201516|202664|203857|204309|204323,complete,playbyplay_inferred,100949|201496|201502|202650|203833,complete,playbyplay_inferred
