GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041600101,107,203041,Lynetta Kizer,1611661325,Indiana Fever,2,8,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20160921,IND,PHO,2016,1041600101107,7150,validated,204365,1,matched,playbyplayv2,1611661317,203018|203041|203831|204365|1627676,complete,playbyplay_inferred,100634|200691|201886|203398|204300,complete,playbyplay_inferred
Shot Chart Detail,1041600101,289,203041,Lynetta Kizer,1611661325,Indiana Fever,3,1,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,0,200,1,1,20160921,IND,PHO,2016,1041600101289,16860,validated,201896,1,matched,playbyplayv2,1611661317,201896|203018|203041|203831|204365,complete,playbyplay_inferred,100940|200676|201046|201886|203398,complete,playbyplay_inferred
Shot Chart Detail,1041600101,291,203041,Lynetta Kizer,1611661325,Indiana Fever,3,1,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-4,176,1,0,20160921,IND,PHO,2016,1041600101291,17240,validated,,0,matched,playbyplayv2,1611661317,201896|203018|203041|203831|204365,complete,playbyplay_inferred,100940|200676|201046|201886|203398,complete,playbyplay_inferred
