GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041600211,333,100812,Erika de Souza,1611661329,Chicago Sky,3,2,20,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,23,1,0,20160925,CHI,ATL,2016,1041600211333,16600,validated,,0,matched,playbyplayv2,1611661330,100812|200665|202638|202664|204323,complete,playbyplay_inferred,203026|203832|204322|1627635|1627678,complete,playbyplay_inferred
Shot Chart Detail,1041600211,378,100812,Erika de Souza,1611661329,Chicago Sky,4,9,37,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,19,1,0,20160925,CHI,ATL,2016,1041600211378,18230,validated,,0,matched,playbyplayv2,1611661330,100812|201516|202638|202664|204323,complete,playbyplay_inferred,201881|203026|203406|203832|204322,complete,playbyplay_inferred
Shot Chart Detail,1041600311,46,100812,Erika de Souza,1611661329,Chicago Sky,1,7,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20160928,LAS,CHI,2016,104160031146,1760,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201477|202638|202664,complete,playbyplay_inferred,100949|201496|201502|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041600311,61,100812,Erika de Souza,1611661329,Chicago Sky,1,4,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,0,20160928,LAS,CHI,2016,104160031161,3090,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201477|202638|202664,complete,playbyplay_inferred,100949|201911|202650|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600311,95,100812,Erika de Souza,1611661329,Chicago Sky,1,2,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,3,1,1,20160928,LAS,CHI,2016,104160031195,4450,validated,200665,1,matched,playbyplayv2,1611661320,100812|200665|201516|202638|203857,complete,playbyplay_inferred,201911|202650|203014|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600311,201,100812,Erika de Souza,1611661329,Chicago Sky,2,1,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,0,20160928,LAS,CHI,2016,1041600311201,11030,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201477|202638|202664,complete,playbyplay_inferred,100949|201496|201911|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600311,206,100812,Erika de Souza,1611661329,Chicago Sky,2,1,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,18,58,1,0,20160928,LAS,CHI,2016,1041600311206,11400,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201477|202638|202664,complete,playbyplay_inferred,100949|201496|201911|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600312,101,100812,Erika de Souza,1611661329,Chicago Sky,1,2,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,17,1,1,20160930,LAS,CHI,2016,1041600312101,4540,validated,201516,1,matched,playbyplayv2,1611661320,100812|200665|201516|203857|204323,complete,playbyplay_inferred,100949|201496|201911|202650|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600312,112,100812,Erika de Souza,1611661329,Chicago Sky,1,1,1,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,1,20160930,LAS,CHI,2016,1041600312112,5390,validated,204323,1,matched,playbyplayv2,1611661320,100812|200665|201516|203857|204323,complete,playbyplay_inferred,201502|201911|202650|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600312,133,100812,Erika de Souza,1611661329,Chicago Sky,2,9,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20160930,LAS,CHI,2016,1041600312133,6160,validated,201516,1,matched,playbyplayv2,1611661320,100812|201477|201516|203857|204323,complete,playbyplay_inferred,100949|201502|202650|203014|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600312,140,100812,Erika de Souza,1611661329,Chicago Sky,2,8,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,7,1,0,20160930,LAS,CHI,2016,1041600312140,6930,validated,,0,matched,playbyplayv2,1611661320,100812|201477|201516|203857|204323,complete,playbyplay_inferred,100949|201502|202650|203014|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600313,24,100812,Erika de Souza,1611661329,Chicago Sky,1,7,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20161002,CHI,LAS,2016,104160031324,1620,validated,200665,1,matched,playbyplayv2,1611661320,100812|200665|201477|202638|202664,complete,playbyplay_inferred,100949|201496|201502|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041600313,28,100812,Erika de Souza,1611661329,Chicago Sky,1,6,49,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,17,1,0,20161002,CHI,LAS,2016,104160031328,1910,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201477|202638|202664,complete,playbyplay_inferred,100949|201496|201502|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041600313,47,100812,Erika de Souza,1611661329,Chicago Sky,1,4,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,26,63,1,0,20161002,CHI,LAS,2016,104160031347,3060,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201477|202638|202664,complete,playbyplay_inferred,100949|201496|201502|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041600313,62,100812,Erika de Souza,1611661329,Chicago Sky,1,3,52,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,6,1,1,20161002,CHI,LAS,2016,104160031362,3680,validated,204309,1,matched,playbyplayv2,1611661320,100812|201516|202638|203857|204309,complete,playbyplay_inferred,100949|201496|201911|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600314,80,100812,Erika de Souza,1611661329,Chicago Sky,1,1,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,19,1,0,20161004,CHI,LAS,2016,104160031480,5310,validated,,0,matched,playbyplayv2,1611661320,100812|201516|202638|203857|204309,complete,playbyplay_inferred,100949|201911|202650|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600314,328,100812,Erika de Souza,1611661329,Chicago Sky,4,9,48,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,12,1,1,20161004,CHI,LAS,2016,1041600314328,18120,validated,203857,1,matched,playbyplayv2,1611661320,100812|200665|201477|203857|204309,complete,playbyplay_inferred,201496|201502|201911|203014|203833,complete,playbyplay_inferred
