GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041600211,297,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,3,4,18,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,34,126,1,1,20160925,CHI,ATL,2016,1041600211297,15420,validated,202664,1,matched,playbyplayv2,1611661330,200665|202638|202664|204323|1627677,complete,playbyplay_inferred,201492|201881|203026|204322|1627678,complete,playbyplay_inferred
Shot Chart Detail,1041600211,388,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,4,9,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,21,69,1,1,20160925,CHI,ATL,2016,1041600211388,18570,validated,201516,1,matched,playbyplayv2,1611661330,100812|201516|202638|202664|204323,complete,playbyplay_inferred,201881|203026|203406|203832|204322,complete,playbyplay_inferred
Shot Chart Detail,1041600211,391,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,4,8,37,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,28,1,0,20160925,CHI,ATL,2016,1041600211391,18830,validated,,0,matched,playbyplayv2,1611661330,100812|201516|202638|202664|204323,complete,playbyplay_inferred,201881|203026|203406|203832|204322,complete,playbyplay_inferred
Shot Chart Detail,1041600311,110,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,1,0,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,0,20160928,LAS,CHI,2016,1041600311110,5570,validated,,0,matched,playbyplayv2,1611661320,100812|200665|201516|203857|204323,complete,playbyplay_inferred,201911|202650|203014|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1041600311,138,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,2,8,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20160928,LAS,CHI,2016,1041600311138,7080,validated,203857,1,matched,playbyplayv2,1611661320,200665|201477|201516|203857|204323,complete,playbyplay_inferred,100949|201496|201502|202650|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600311,364,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,4,8,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,17,1,0,20160928,LAS,CHI,2016,1041600311364,18830,validated,,0,matched,playbyplayv2,1611661320,201516|202664|203857|204309|204323,complete,playbyplay_inferred,100949|201496|201502|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041600311,400,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,4,6,15,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,0,20160928,LAS,CHI,2016,1041600311400,20250,validated,,0,matched,playbyplayv2,1611661320,200665|201477|202638|202664|204323,complete,playbyplay_inferred,100949|201496|201911|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600311,420,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,4,4,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,23,170,1,0,20160928,LAS,CHI,2016,1041600311420,21490,validated,,0,matched,playbyplayv2,1611661320,201477|201516|202664|204309|204323,complete,playbyplay_inferred,201496|201911|202650|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600312,350,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,3,1,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-37,116,1,0,20160930,LAS,CHI,2016,1041600312350,17160,validated,,0,matched,playbyplayv2,1611661320,201477|201516|203857|204309|204323,complete,playbyplay_inferred,201496|201502|201911|202650|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600312,363,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,3,0,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-52,36,1,0,20160930,LAS,CHI,2016,1041600312363,17690,validated,,0,matched,playbyplayv2,1611661320,201477|201516|203857|204309|204323,complete,playbyplay_inferred,201496|201502|201911|202650|203833,complete,playbyplay_inferred
Shot Chart Detail,1041600313,131,204323,Cheyenne Parker-Tyus,1611661329,Chicago Sky,2,6,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,3,1,1,20161002,CHI,LAS,2016,1041600313131,8370,validated,202664,1,matched,playbyplayv2,1611661320,200665|201516|202664|204309|204323,complete,playbyplay_inferred,201496|201502|201911|203014|203833,complete,playbyplay_inferred
