GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041600101,303,201046,Lindsey Harding,1611661317,Phoenix Mercury,3,0,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,212,-22,1,1,20160921,IND,PHO,2016,1041600101303,17820,validated,100940,1,matched,playbyplayv2,1611661325,100940|200676|201046|201886|203402,complete,playbyplay_inferred,100646|201889|201896|203041|204365,complete,playbyplay_inferred
Shot Chart Detail,1041600201,90,201046,Lindsey Harding,1611661317,Phoenix Mercury,1,1,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,173,55,1,0,20160924,NYL,PHO,2016,104160020190,5340,validated,,0,matched,playbyplayv2,1611661313,100634|200676|201046|201886|203398,complete,playbyplay_inferred,201919|202250|202259|202670|204327,complete,playbyplay_inferred
Shot Chart Detail,1041600301,79,201046,Lindsey Harding,1611661317,Phoenix Mercury,1,1,13,Missed Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-82,53,1,0,20160928,MIN,PHO,2016,104160030179,5270,validated,,0,matched,playbyplayv2,1611661324,100634|200676|201046|201886|203398,complete,playbyplay_inferred,100952|201480|201904|203813|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600301,136,201046,Lindsey Harding,1611661317,Phoenix Mercury,2,6,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,116,156,1,0,20160928,MIN,PHO,2016,1041600301136,8260,validated,,0,matched,playbyplayv2,1611661324,100940|200676|201046|201886|203398,complete,playbyplay_inferred,100915|100944|200671|202632|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600301,342,201046,Lindsey Harding,1611661317,Phoenix Mercury,4,8,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-2,165,1,1,20160928,MIN,PHO,2016,1041600301342,19200,validated,201909,1,matched,playbyplayv2,1611661324,200691|201046|201909|204300|204330,complete,playbyplay_inferred,100915|200671|201480|202632|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600301,349,201046,Lindsey Harding,1611661317,Phoenix Mercury,4,7,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-6,1,1,20160928,MIN,PHO,2016,1041600301349,19550,validated,,0,matched,playbyplayv2,1611661324,200691|201046|201909|204300|204330,complete,playbyplay_inferred,100915|200671|201480|202632|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600301,409,201046,Lindsey Harding,1611661317,Phoenix Mercury,4,2,44,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,59,50,1,0,20160928,MIN,PHO,2016,1041600301409,22360,validated,,0,matched,playbyplayv2,1611661324,200691|201046|201886|201909|204330,complete,playbyplay_inferred,100915|100944|201480|201904|202632,complete,playbyplay_inferred
Shot Chart Detail,1041600301,430,201046,Lindsey Harding,1611661317,Phoenix Mercury,4,1,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,136,154,1,1,20160928,MIN,PHO,2016,1041600301430,23250,validated,201909,1,matched,playbyplayv2,1611661324,200691|201046|201886|201909|204330,complete,playbyplay_inferred,100944|100952|201904|203034|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600303,131,201046,Lindsey Harding,1611661317,Phoenix Mercury,2,8,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-155,7,1,0,20161002,PHO,MIN,2016,1041600303131,6750,validated,,0,matched,playbyplayv2,1611661324,100634|201046|201886|203398|204330,complete,playbyplay_inferred,100915|201480|202632|203813|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600303,257,201046,Lindsey Harding,1611661317,Phoenix Mercury,3,6,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,88,192,1,1,20161002,PHO,MIN,2016,1041600303257,13810,validated,100940,1,matched,playbyplayv2,1611661324,100940|200676|201046|201886|203398,complete,playbyplay_inferred,100915|100944|200671|202632|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600303,292,201046,Lindsey Harding,1611661317,Phoenix Mercury,3,3,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,12,1,1,20161002,PHO,MIN,2016,1041600303292,16020,validated,,0,matched,playbyplayv2,1611661324,100634|201046|201886|203398|204330,complete,playbyplay_inferred,100944|100952|201904|202632|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600303,327,201046,Lindsey Harding,1611661317,Phoenix Mercury,4,9,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,-67,227,1,0,20161002,PHO,MIN,2016,1041600303327,18290,validated,,0,matched,playbyplayv2,1611661324,100940|201046|201886|203398|204330,complete,playbyplay_inferred,100915|100952|201480|202632|203827,complete,playbyplay_inferred
Shot Chart Detail,1041600303,362,201046,Lindsey Harding,1611661317,Phoenix Mercury,4,7,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,0,1,0,20161002,PHO,MIN,2016,1041600303362,19770,validated,,0,matched,playbyplayv2,1611661324,100940|200676|201046|201886|203398,complete,playbyplay_inferred,100915|100944|100952|200671|202632,complete,playbyplay_inferred
