GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022500002,123,1641649,Diamond Miller,1611661324,Minnesota Lynx,2,9,49,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,31,1,1,20250516,DAL,MIN,2025,1022500002123,6110,validated,1629567,1,matched,playbyplayv2,1611661321,1628317|1629491|1629567|1641649|1642763,complete,playbyplay_inferred,1629479|1630097|1630112|1641652|1642793,complete,playbyplay_inferred
Shot Chart Detail,1022500002,210,1641649,Diamond Miller,1611661324,Minnesota Lynx,2,4,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,13,29,1,1,20250516,DAL,MIN,2025,1022500002210,9410,validated,1629567,1,matched,playbyplayv2,1611661321,1627675|1629483|1629567|1641649|1642293,complete,playbyplay_inferred,1628899|1629481|1630096|1641652|1642784,complete,playbyplay_inferred
Shot Chart Detail,1022500002,214,1641649,Diamond Miller,1611661324,Minnesota Lynx,2,3,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,154,218,1,1,20250516,DAL,MIN,2025,1022500002214,9640,validated,1629483,1,matched,playbyplayv2,1611661321,1627675|1629483|1629567|1641649|1642293,complete,playbyplay_inferred,1628899|1629481|1630096|1641652|1642784,complete,playbyplay_inferred
Shot Chart Detail,1022500002,456,1641649,Diamond Miller,1611661324,Minnesota Lynx,4,8,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,2,1,1,20250516,DAL,MIN,2025,1022500002456,19170,validated,1629483,1,matched,playbyplayv2,1611661321,1628317|1629483|1629491|1629567|1641649,complete,playbyplay_inferred,1628899|1630097|1630112|1641652|1642784,complete,playbyplay_inferred
Shot Chart Detail,1022500002,465,1641649,Diamond Miller,1611661324,Minnesota Lynx,4,7,27,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,0,20250516,DAL,MIN,2025,1022500002465,19530,validated,,0,matched,playbyplayv2,1611661321,1628317|1629483|1629491|1629567|1641649,complete,playbyplay_inferred,1628899|1630097|1630112|1641652|1642784,complete,playbyplay_inferred
Shot Chart Detail,1022500008,155,1641649,Diamond Miller,1611661324,Minnesota Lynx,2,7,35,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,18,41,1,0,20250518,LAS,MIN,2025,1022500008155,7450,validated,,0,matched,playbyplayv2,1611661320,1627675|1629491|1629524|1641649|1642763,complete,playbyplay_inferred,203824|204324|1628276|1628920|1642782,complete,playbyplay_inferred
Shot Chart Detail,1022500008,195,1641649,Diamond Miller,1611661324,Minnesota Lynx,2,4,50,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-90,95,1,0,20250518,LAS,MIN,2025,1022500008195,9100,validated,,0,matched,playbyplayv2,1611661320,1627675|1629483|1629491|1629524|1641649,complete,playbyplay_inferred,203824|204324|1628922|1642288|1642782,complete,playbyplay_inferred
Shot Chart Detail,1022500017,71,1641649,Diamond Miller,1611661324,Minnesota Lynx,1,3,53,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,-16,1,1,20250523,MIN,CON,2025,102250001771,3670,validated,1629491,1,matched,playbyplayv2,1611661323,1629483|1629491|1629524|1629567|1641649,complete,playbyplay_inferred,202250|203829|1629497|1631135|1642292,complete,playbyplay_inferred
Shot Chart Detail,1022500017,85,1641649,Diamond Miller,1611661324,Minnesota Lynx,1,2,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,13,1,0,20250523,MIN,CON,2025,102250001785,4430,validated,,0,matched,playbyplayv2,1611661323,1629483|1629491|1629524|1629567|1641649,complete,playbyplay_inferred,202250|203829|1629497|1642292|1642800,complete,playbyplay_inferred
Shot Chart Detail,1022500017,435,1641649,Diamond Miller,1611661324,Minnesota Lynx,4,9,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-244,-13,1,0,20250523,MIN,CON,2025,1022500017435,18550,validated,,0,matched,playbyplayv2,1611661323,1629483|1629501|1629524|1629567|1641649,complete,playbyplay_inferred,203829|203863|1629497|1631135|1642809,complete,playbyplay_inferred
Shot Chart Detail,1022500046,405,1641649,Diamond Miller,1611661324,Minnesota Lynx,4,8,15,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-10,46,1,0,20250603,MIN,PHX,2025,1022500046405,19050,validated,,0,matched,playbyplayv2,1611661317,1627675|1628317|1629491|1641649|1642293,complete,playbyplay_inferred,1628244|1628957|1629490|1630149|1631118,complete,playbyplay_inferred
