GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022500023,542,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,0,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-129,218,1,0,20250525,ATL,CON,2025,1022500023542,23470,validated,,0,matched,playbyplayv2,1611661323,1628269|1628277|1628278|1631044|1642814,complete,playbyplay_inferred,1629497|1631135|1641641|1642292|1642796,complete,playbyplay_inferred
Shot Chart Detail,1022500030,164,1642814,Taylor Thierry,1611661330,Atlanta Dream,1,0,0,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,49,1,0,20250527,LAS,ATL,2025,1022500030164,6000,validated,,0,matched,playbyplayv2,1611661320,1628269|1628280|1630471|1631009|1642814,complete,playbyplay_inferred,203824|1627700|1628920|1628922|1642288,complete,playbyplay_inferred
Shot Chart Detail,1022500069,568,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,1,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,224,9,1,1,20250615,WAS,ATL,2025,1022500069568,23180,validated,1628278,1,matched,playbyplayv2,1611661322,1628278|1630471|1631044|1642804|1642814,complete,playbyplay_inferred,1630134|1631021|1631083|1642290|1642802,complete,playbyplay_inferred
Shot Chart Detail,1022500069,572,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,0,41,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,44,1,0,20250615,WAS,ATL,2025,1022500069572,23590,validated,,0,matched,playbyplayv2,1611661322,1628278|1630471|1631044|1642804|1642814,complete,playbyplay_inferred,1630134|1631021|1631083|1642290|1642802,complete,playbyplay_inferred
Shot Chart Detail,1022500141,518,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,2,37,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,12,1,0,20250716,CHI,ATL,2025,1022500141518,22430,validated,,0,matched,playbyplayv2,1611661329,1628269|1628278|1630471|1631044|1642814,complete,playbyplay_inferred,204322|1627669|1628915|1642817|1642818,complete,playbyplay_inferred
Shot Chart Detail,1022500141,521,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,2,33,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,0,20250716,CHI,ATL,2025,1022500141521,22470,validated,,0,matched,playbyplayv2,1611661329,1628269|1628278|1630471|1631044|1642814,complete,playbyplay_inferred,204322|1627669|1628915|1642817|1642818,complete,playbyplay_inferred
Shot Chart Detail,1022500141,529,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,1,55,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,0,20250716,CHI,ATL,2025,1022500141529,22850,validated,,0,matched,playbyplayv2,1611661329,1628269|1628278|1630471|1631044|1642814,complete,playbyplay_inferred,204322|1627669|1628915|1642817|1642818,complete,playbyplay_inferred
Shot Chart Detail,1022500174,508,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,2,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,22,1,0,20250801,ATL,PHX,2025,1022500174508,22310,validated,,0,matched,playbyplayv2,1611661317,1628269|1630471|1631044|1642804|1642814,complete,playbyplay_inferred,1629480|1629490|1630442|1631118|1642777,complete,playbyplay_inferred
Shot Chart Detail,1022500174,535,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,0,47,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,1,20250801,ATL,PHX,2025,1022500174535,23530,validated,,0,matched,playbyplayv2,1611661317,1628269|1628278|1630154|1642804|1642814,complete,playbyplay_inferred,1629480|1629490|1630442|1631118|1642777,complete,playbyplay_inferred
Shot Chart Detail,1022500174,538,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,0,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-137,194,1,0,20250801,ATL,PHX,2025,1022500174538,23580,validated,,0,matched,playbyplayv2,1611661317,1628269|1628278|1630154|1642804|1642814,complete,playbyplay_inferred,1629480|1629490|1630442|1631118|1642777,complete,playbyplay_inferred
Shot Chart Detail,1022500221,525,1642814,Taylor Thierry,1611661330,Atlanta Dream,4,1,9,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,33,1,0,20250817,GSV,ATL,2025,1022500221525,23310,validated,,0,matched,playbyplayv2,1611661331,1628269|1628278|1631021|1642804|1642814,complete,playbyplay_inferred,1630097|1641656|1642304|1642324|1642822,complete,playbyplay_inferred
