GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022500002,158,1630097,Kaila Charles,1611661321,Dallas Wings,2,7,50,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,6,1,0,20250516,DAL,MIN,2025,1022500002158,7300,validated,,0,matched,playbyplayv2,1611661324,1628899|1630097|1630112|1641652|1642793,complete,playbyplay_inferred,1627675|1629483|1629491|1629567|1641649,complete,playbyplay_inferred
Shot Chart Detail,1022500002,544,1630097,Kaila Charles,1611661321,Dallas Wings,4,2,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-15,256,1,1,20250516,DAL,MIN,2025,1022500002544,22430,validated,1642808,1,matched,playbyplayv2,1611661324,1629479|1630097|1631019|1642793|1642808,complete,playbyplay_inferred,1629524|1629567|1641649|1642293|1642797,complete,playbyplay_inferred
Shot Chart Detail,1022500002,548,1630097,Kaila Charles,1611661321,Dallas Wings,4,2,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,16,27,1,1,20250516,DAL,MIN,2025,1022500002548,22640,validated,,0,matched,playbyplayv2,1611661324,1629479|1630097|1631019|1642793|1642808,complete,playbyplay_inferred,1629524|1629567|1641649|1642293|1642797,complete,playbyplay_inferred
Shot Chart Detail,1022500002,569,1630097,Kaila Charles,1611661321,Dallas Wings,4,0,20,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,29,1,1,20250516,DAL,MIN,2025,1022500002569,23800,validated,1642793,1,matched,playbyplayv2,1611661324,1629479|1630097|1631019|1642793|1642808,complete,playbyplay_inferred,1629524|1629567|1641649|1642293|1642797,complete,playbyplay_inferred
Shot Chart Detail,1022500012,174,1630097,Kaila Charles,1611661321,Dallas Wings,2,6,2,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,0,20250521,MIN,DAL,2025,1022500012174,8380,validated,,0,matched,playbyplayv2,1611661324,1628899|1630097|1630112|1641652|1642784,complete,playbyplay_inferred,1627675|1629491|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022500012,180,1630097,Kaila Charles,1611661321,Dallas Wings,2,5,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,118,111,1,1,20250521,MIN,DAL,2025,1022500012180,8770,validated,1628899,1,matched,playbyplayv2,1611661324,1628899|1630097|1630112|1641652|1642784,complete,playbyplay_inferred,1627675|1629491|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022500012,190,1630097,Kaila Charles,1611661321,Dallas Wings,2,4,57,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,18,1,0,20250521,MIN,DAL,2025,1022500012190,9030,validated,,0,matched,playbyplayv2,1611661324,1630097|1630112|1631019|1641652|1642784,complete,playbyplay_inferred,1629483|1629491|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022500012,417,1630097,Kaila Charles,1611661321,Dallas Wings,4,9,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,18,1,0,20250521,MIN,DAL,2025,1022500012417,18310,validated,,0,matched,playbyplayv2,1611661324,1628899|1630097|1630112|1641652|1642784,complete,playbyplay_inferred,1627675|1629483|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022500012,421,1630097,Kaila Charles,1611661321,Dallas Wings,4,8,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-230,43,1,0,20250521,MIN,DAL,2025,1022500012421,18630,validated,,0,matched,playbyplayv2,1611661324,1628899|1630097|1630112|1641652|1642784,complete,playbyplay_inferred,1627675|1629483|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022500022,151,1630097,Kaila Charles,1611661321,Dallas Wings,2,7,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,12,1,0,20250524,ATL,DAL,2025,1022500022151,7310,validated,,0,matched,playbyplayv2,1611661330,1628899|1629479|1630097|1630112|1642784,complete,playbyplay_inferred,203398|1628277|1628280|1630471|1631009,complete,playbyplay_inferred
Shot Chart Detail,1022500022,498,1630097,Kaila Charles,1611661321,Dallas Wings,4,6,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-128,205,1,0,20250524,ATL,DAL,2025,1022500022498,20400,validated,,0,matched,playbyplayv2,1611661330,1629479|1629481|1630097|1630112|1641652,complete,playbyplay_inferred,203398|1628277|1628280|1630471|1631009,complete,playbyplay_inferred
