GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022500005,400,1629546,Marine Johannès,1611661313,New York Liberty,3,2,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-148,129,1,1,20250517,NYL,LVA,2025,1022500005400,16430,validated,,0,matched,playbyplayv2,1611661319,1627673|1629477|1629546|1629568|1630142,complete,gamerotation,204319|1627676|1628932|1629498|1631006,complete,gamerotation
Shot Chart Detail,1022500005,438,1629546,Marine Johannès,1611661313,New York Liberty,3,0,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,51,-194,477,1,0,20250517,NYL,LVA,2025,1022500005438,18000,validated,,0,matched,playbyplayv2,1611661319,204333|1627673|1629546|1629568|1630142,complete,gamerotation,203833|204319|1627676|1628932|1630389,complete,gamerotation
Shot Chart Detail,1022500016,93,1629546,Marine Johannès,1611661313,New York Liberty,1,3,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,133,215,1,0,20250522,CHI,NYL,2025,102250001693,4050,validated,,0,matched,playbyplayv2,1611661329,1627668|1627673|1629477|1629546|1630142,complete,playbyplay_inferred,202664|204296|204322|1627671|1642291,complete,playbyplay_inferred
Shot Chart Detail,1022500016,297,1629546,Marine Johannès,1611661313,New York Liberty,2,1,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,200,110,1,1,20250522,CHI,NYL,2025,1022500016297,10870,validated,204333,1,matched,playbyplayv2,1611661329,204333|1627668|1629546|1629568|1630142,complete,playbyplay_inferred,204296|204322|1627671|1630446|1642817,complete,playbyplay_inferred
Shot Chart Detail,1022500016,410,1629546,Marine Johannès,1611661313,New York Liberty,3,4,14,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,23,-197,128,1,1,20250522,CHI,NYL,2025,1022500016410,15460,validated,1629477,1,matched,playbyplayv2,1611661329,1627668|1629477|1629546|1629568|1631055,complete,playbyplay_inferred,202664|204296|204322|1628878|1642291,complete,playbyplay_inferred
Shot Chart Detail,1022500016,474,1629546,Marine Johannès,1611661313,New York Liberty,4,9,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,60,242,1,0,20250522,CHI,NYL,2025,1022500016474,18090,validated,,0,matched,playbyplayv2,1611661329,203822|204333|1629546|1629568|1631055,complete,playbyplay_inferred,204296|204322|1627671|1630446|1642817,complete,playbyplay_inferred
Shot Chart Detail,1022500016,529,1629546,Marine Johannès,1611661313,New York Liberty,4,6,46,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-205,133,1,0,20250522,CHI,NYL,2025,1022500016529,19940,validated,,0,matched,playbyplayv2,1611661329,203822|204333|1629546|1629568|1631055,complete,playbyplay_inferred,202664|1628878|1628915|1642289|1642291,complete,playbyplay_inferred
Shot Chart Detail,1022500021,384,1629546,Marine Johannès,1611661313,New York Liberty,3,3,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-210,215,1,0,20250524,IND,NYL,2025,1022500021384,16070,validated,,0,matched,playbyplayv2,1611661325,1627668|1627673|1629477|1629546|1629568,complete,playbyplay_inferred,201886|1628909|1631086|1641648|1642286,complete,playbyplay_inferred
Shot Chart Detail,1022500021,422,1629546,Marine Johannès,1611661313,New York Liberty,3,0,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,157,206,1,0,20250524,IND,NYL,2025,1022500021422,17550,validated,,0,matched,playbyplayv2,1611661325,203822|204333|1627668|1627673|1629546,complete,playbyplay_inferred,201886|1628909|1629482|1641648|1642286,complete,playbyplay_inferred
Shot Chart Detail,1022500028,97,1629546,Marine Johannès,1611661313,New York Liberty,1,2,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-190,150,1,0,20250527,NYL,GSV,2025,102250002897,4710,validated,,0,matched,playbyplayv2,1611661331,1627668|1629477|1629546|1629568|1630142,complete,playbyplay_inferred,203866|1631007|1642304|1642767|1642768,complete,playbyplay_inferred
Shot Chart Detail,1022500028,141,1629546,Marine Johannès,1611661313,New York Liberty,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-84,238,1,0,20250527,NYL,GSV,2025,1022500028141,6000,validated,,0,matched,playbyplayv2,1611661331,203822|204330|204333|1629546|1629568,complete,playbyplay_inferred,203866|1642210|1642304|1642767|1642768,complete,playbyplay_inferred
