GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1042100101,385,204334,Reshanda Gray,1611661313,New York Liberty,4,8,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,19,1,1,20210923,PHO,NYL,2021,1042100101385,18900,validated,1628244,1,matched,playbyplayv2,1611661317,204334|204335|1628244|1630119|1630459,complete,playbyplay_inferred,203035|203398|203400|1629482|1629488,complete,playbyplay_inferred
Shot Chart Detail,1042100101,403,204334,Reshanda Gray,1611661313,New York Liberty,4,7,39,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,-18,1,1,20210923,PHO,NYL,2021,1042100101403,19410,validated,1629477,1,matched,playbyplayv2,1611661317,204334|1628244|1629477|1630446|1630459,complete,playbyplay_inferred,203035|203398|203400|1629482|1629488,complete,playbyplay_inferred
Shot Chart Detail,1042100101,425,204334,Reshanda Gray,1611661313,New York Liberty,4,6,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-7,249,1,1,20210923,PHO,NYL,2021,1042100101425,20090,validated,1629477,1,matched,playbyplayv2,1611661317,204334|204335|1628244|1629477|1630446,complete,playbyplay_inferred,203035|203398|1628915|1629482|1629488,complete,playbyplay_inferred
