GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022600003,167,1641660,Zia Cooke,1611661328,Seattle Storm,1,5,10,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,19,1,0,20260508,SEA,GSV,2026,1022600003167,2900,validated,,0,matched,playbyplayv2,1611661331,1628882|1629567|1641660|1642307|1642798,complete,playbyplay_inferred,203866|1628508|1630097|1631007|1641656,complete,playbyplay_inferred
Shot Chart Detail,1022600003,182,1641660,Zia Cooke,1611661328,Seattle Storm,1,4,3,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,107,224,1,1,20260508,SEA,GSV,2026,1022600003182,3570,validated,1631141,1,matched,playbyplayv2,1611661331,1628882|1631141|1641660|1642307|1642798,complete,playbyplay_inferred,1628508|1630097|1631007|1641656|1642767,complete,playbyplay_inferred
Shot Chart Detail,1022600003,198,1641660,Zia Cooke,1611661328,Seattle Storm,1,2,31,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,7,1,0,20260508,SEA,GSV,2026,1022600003198,4490,validated,,0,matched,playbyplayv2,1611661331,203828|1628882|1631141|1641660|1642307,complete,playbyplay_inferred,1628508|1630097|1631007|1641656|1642767,complete,playbyplay_inferred
Shot Chart Detail,1022600003,202,1641660,Zia Cooke,1611661328,Seattle Storm,1,2,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,27,1,1,20260508,SEA,GSV,2026,1022600003202,4730,validated,203828,1,matched,playbyplayv2,1611661331,203828|1628882|1631141|1641660|1642307,complete,playbyplay_inferred,1628508|1630097|1631007|1641656|1642767,complete,playbyplay_inferred
Shot Chart Detail,1022600003,225,1641660,Zia Cooke,1611661328,Seattle Storm,1,0,56,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-31,50,1,0,20260508,SEA,GSV,2026,1022600003225,5440,validated,,0,matched,playbyplayv2,1611661331,203828|1628882|1631141|1641651|1641660,complete,playbyplay_inferred,1628508|1630097|1641656|1642767|1642822,complete,playbyplay_inferred
Shot Chart Detail,1022600003,560,1641660,Zia Cooke,1611661328,Seattle Storm,4,8,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,155,1,1,20260508,SEA,GSV,2026,1022600003560,18720,validated,1631141,1,matched,playbyplayv2,1611661331,1628882|1631141|1641660|1642798|1643453,complete,playbyplay_inferred,203866|1628931|1631007|1641656|1642822,complete,playbyplay_inferred
Shot Chart Detail,1022600003,570,1641660,Zia Cooke,1611661328,Seattle Storm,4,8,8,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,101,112,1,0,20260508,SEA,GSV,2026,1022600003570,19120,validated,,0,matched,playbyplayv2,1611661331,1628882|1631141|1641660|1642798|1643453,complete,playbyplay_inferred,203866|204329|1628931|1631007|1642822,complete,playbyplay_inferred
Shot Chart Detail,1022600003,583,1641660,Zia Cooke,1611661328,Seattle Storm,4,6,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,29,1,0,20260508,SEA,GSV,2026,1022600003583,19860,validated,,0,matched,playbyplayv2,1611661331,1628882|1629567|1641660|1642798|1643453,complete,playbyplay_inferred,203866|204329|1628931|1631007|1642822,complete,playbyplay_inferred
Shot Chart Detail,1022600003,590,1641660,Zia Cooke,1611661328,Seattle Storm,4,6,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-28,240,1,0,20260508,SEA,GSV,2026,1022600003590,20220,validated,,0,matched,playbyplayv2,1611661331,1628882|1629567|1641660|1642798|1643453,complete,playbyplay_inferred,203866|204329|1628931|1631007|1642822,complete,playbyplay_inferred
Shot Chart Detail,1022600003,647,1641660,Zia Cooke,1611661328,Seattle Storm,4,3,5,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,88,176,1,0,20260508,SEA,GSV,2026,1022600003647,22150,validated,,0,matched,playbyplayv2,1611661331,203828|1629567|1641660|1642798|1643428,complete,playbyplay_inferred,203866|1630097|1631007|1641656|1642767,complete,playbyplay_inferred
Shot Chart Detail,1022600003,666,1641660,Zia Cooke,1611661328,Seattle Storm,4,2,3,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,6,1,1,20260508,SEA,GSV,2026,1022600003666,22770,validated,1629567,1,matched,playbyplayv2,1611661331,203828|1629567|1641660|1642798|1643428,complete,playbyplay_inferred,203866|1631039|1641656|1642767|1642822,complete,playbyplay_inferred
