GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022600206,581,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,4,0,31,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,28,1,0,20260728,LVA,PDX,2026,1022600206581,23690,validated,,0,matched,playbyplayv2,1611661327,203855|204319|1629488|1642769|1643444,complete,playbyplay_inferred,1630143|1641683|1642296|1643436|1643494,complete,playbyplay_inferred
Shot Chart Detail,1022600222,548,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,4,1,48,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-43,237,1,0,20260803,ATL,LVA,2026,1022600222548,22920,validated,,0,matched,playbyplayv2,1611661330,1629488|1631006|1642769|1643444|1643495,complete,playbyplay_inferred,1628278|1631021|1642320|1642801|1643431,complete,playbyplay_inferred
Shot Chart Detail,1022600222,568,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,4,0,18,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,83,222,1,1,20260803,ATL,LVA,2026,1022600222568,23820,validated,,0,matched,playbyplayv2,1611661330,1629488|1631006|1642769|1643444|1643495,complete,playbyplay_inferred,1628278|1631021|1642320|1642801|1643431,complete,playbyplay_inferred
Shot Chart Detail,1022600239,84,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,1,3,53,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,85,243,1,1,20260809,NYL,LVA,2026,102260023984,3670,validated,,0,matched,playbyplayv2,1611661313,204319|1629488|1631006|1642769|1643495,complete,playbyplay_inferred,203822|1627668|1629477|1629566|1630469,complete,playbyplay_inferred
Shot Chart Detail,1022600239,109,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,1,2,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-2,1,0,20260809,NYL,LVA,2026,1022600239109,4580,validated,,0,matched,playbyplayv2,1611661313,204319|1631019|1642769|1643444|1643495,complete,playbyplay_inferred,203822|1629546|1629566|1630384|1630469,complete,playbyplay_inferred
Shot Chart Detail,1022600239,272,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,2,0,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,24,1,1,20260809,NYL,LVA,2026,1022600239272,11970,validated,,0,matched,playbyplayv2,1611661313,204319|1629488|1642769|1643444|1643495,complete,playbyplay_inferred,204296|1627668|1629477|1629566|1631136,complete,playbyplay_inferred
Shot Chart Detail,1022600239,329,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,3,5,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,92,238,1,0,20260809,NYL,LVA,2026,1022600239329,14540,validated,,0,matched,playbyplayv2,1611661313,204319|1629488|1631006|1631019|1642769,complete,playbyplay_inferred,204296|1627668|1627673|1629477|1631136,complete,playbyplay_inferred
Shot Chart Detail,1022600239,379,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,3,2,8,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,-9,1,0,20260809,NYL,LVA,2026,1022600239379,16720,validated,,0,matched,playbyplayv2,1611661313,1629488|1631006|1642769|1643444|1643495,complete,playbyplay_inferred,203822|1627668|1629546|1629566|1630469,complete,playbyplay_inferred
Shot Chart Detail,1022600239,389,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,3,1,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,6,1,1,20260809,NYL,LVA,2026,1022600239389,17090,validated,1631019,1,matched,playbyplayv2,1611661313,1631006|1631019|1642769|1643444|1643495,complete,playbyplay_inferred,203822|1627668|1629546|1629566|1630469,complete,playbyplay_inferred
Shot Chart Detail,1022600239,406,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,3,0,44,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,156,203,1,1,20260809,NYL,LVA,2026,1022600239406,17560,validated,,0,matched,playbyplayv2,1611661313,1631006|1631019|1642769|1643444|1643495,complete,playbyplay_inferred,203822|1629546|1629566|1630384|1630469,complete,playbyplay_inferred
Shot Chart Detail,1022600239,430,1642769,Mai Yamamoto,1611661319,Las Vegas Aces,4,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,143,220,1,1,20260809,NYL,LVA,2026,1022600239430,18810,validated,1631019,1,matched,playbyplayv2,1611661313,1631006|1631019|1642769|1643444|1643495,complete,playbyplay_inferred,203822|1629546|1629566|1630384|1630469,complete,playbyplay_inferred
