GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022600136,95,202664,Courtney Vandersloot,1611661329,Chicago Sky,1,4,7,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,1,20260626,CHI,PDX,2026,102260013695,3530,validated,203400,1,matched,playbyplayv2,1611661327,202664|203400|204333|1628922|1642289,complete,playbyplay_inferred,1642296|1642782|1643436|1643494|1643506,complete,playbyplay_inferred
Shot Chart Detail,1022600136,119,202664,Courtney Vandersloot,1611661329,Chicago Sky,1,2,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,4,1,1,20260626,CHI,PDX,2026,1022600136119,4240,validated,204322,1,matched,playbyplayv2,1611661327,202664|204322|204333|1642292|1643447,complete,playbyplay_inferred,1629524|1642296|1643436|1643506|1643527,complete,playbyplay_inferred
Shot Chart Detail,1022600136,395,202664,Courtney Vandersloot,1611661329,Chicago Sky,3,5,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,206,1,1,20260626,CHI,PDX,2026,1022600136395,14900,validated,1642289,1,matched,playbyplayv2,1611661327,202664|203400|1628922|1642289|1643447,complete,playbyplay_inferred,1629484|1629524|1642296|1642304|1643494,complete,playbyplay_inferred
Shot Chart Detail,1022600136,634,202664,Courtney Vandersloot,1611661329,Chicago Sky,4,2,1,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,19,1,1,20260626,CHI,PDX,2026,1022600136634,22790,validated,204322,1,matched,playbyplayv2,1611661327,202664|204322|1627671|1642292|1643447,complete,playbyplay_inferred,1641683|1642296|1643436|1643494|1643527,complete,playbyplay_inferred
Shot Chart Detail,1022600143,92,202664,Courtney Vandersloot,1611661329,Chicago Sky,1,3,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,117,98,1,0,20260628,CHI,LVA,2026,102260014392,3880,validated,,0,matched,playbyplayv2,1611661319,202664|204322|204333|1628922|1642292,complete,playbyplay_inferred,204319|1628932|1629498|1630150|1631019,complete,playbyplay_inferred
Shot Chart Detail,1022600143,286,202664,Courtney Vandersloot,1611661329,Chicago Sky,2,1,21,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,0,20260628,CHI,LVA,2026,1022600143286,11190,validated,,0,matched,playbyplayv2,1611661319,202664|203400|204322|1628922|1643447,complete,playbyplay_inferred,203833|203855|204319|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1022600143,440,202664,Courtney Vandersloot,1611661329,Chicago Sky,3,1,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-102,217,1,0,20260628,CHI,LVA,2026,1022600143440,17290,validated,,0,matched,playbyplayv2,1611661319,202664|204322|204333|1642292|1642786,complete,playbyplay_inferred,204319|1629498|1630150|1631006|1631019,complete,playbyplay_inferred
Shot Chart Detail,1022600143,550,202664,Courtney Vandersloot,1611661329,Chicago Sky,4,5,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,128,31,1,0,20260628,CHI,LVA,2026,1022600143550,20490,validated,,0,matched,playbyplayv2,1611661319,202664|203400|1628922|1642289|1642321,complete,playbyplay_inferred,203833|203855|204319|1628932|1629498,complete,playbyplay_inferred
Shot Chart Detail,1022600149,94,202664,Courtney Vandersloot,1611661329,Chicago Sky,1,3,8,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,34,1,1,20260703,LVA,CHI,2026,102260014994,4120,validated,,0,matched,playbyplayv2,1611661319,202664|204322|204333|1642292|1642786,complete,playbyplay_inferred,203833|204323|1629498|1630150|1631019,complete,playbyplay_inferred
Shot Chart Detail,1022600149,108,202664,Courtney Vandersloot,1611661329,Chicago Sky,1,1,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,224,88,1,1,20260703,LVA,CHI,2026,1022600149108,4890,validated,1642292,1,matched,playbyplayv2,1611661319,202664|204322|204333|1642292|1642786,complete,playbyplay_inferred,204319|204323|1629498|1630150|1631006,complete,playbyplay_inferred
Shot Chart Detail,1022600149,153,202664,Courtney Vandersloot,1611661329,Chicago Sky,2,9,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-3,178,1,0,20260703,LVA,CHI,2026,1022600149153,6150,validated,,0,matched,playbyplayv2,1611661319,202664|203400|1628922|1642289|1642321,complete,playbyplay_inferred,203833|204319|204323|1630150|1631006,complete,playbyplay_inferred
