GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022600004,253,1643433,Raven Johnson,1611661325,Indiana Fever,2,2,59,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,40,1,1,20260509,IND,DAL,2026,1022600004253,10210,validated,,0,matched,playbyplayv2,1611661321,203024|1628899|1628909|1631086|1643433,complete,playbyplay_inferred,202252|1629481|1629491|1642784|1643425,complete,playbyplay_inferred
Shot Chart Detail,1022600018,448,1643433,Raven Johnson,1611661325,Indiana Fever,3,1,46,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,7,1,0,20260513,LAS,IND,2026,1022600018448,16940,validated,,0,matched,playbyplayv2,1611661320,1628881|1628899|1628909|1629482|1643433,complete,playbyplay_inferred,204324|204365|1628276|1642287|1643462,complete,playbyplay_inferred
Shot Chart Detail,1022600027,597,1643433,Raven Johnson,1611661325,Indiana Fever,4,2,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-17,1,0,20260517,IND,SEA,2026,1022600027597,22670,validated,,0,matched,playbyplayv2,1611661328,1628278|1629482|1630112|1642815|1643433,complete,playbyplay_inferred,203828|1628882|1629567|1631141|1643428,complete,playbyplay_inferred
Shot Chart Detail,1022600032,53,1643433,Raven Johnson,1611661325,Indiana Fever,1,5,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,246,20,1,0,20260520,IND,PDX,2026,102260003253,2530,validated,,0,matched,playbyplayv2,1611661327,1628881|1628899|1628909|1629482|1643433,complete,playbyplay_inferred,1629524|1630143|1631083|1642304|1642782,complete,playbyplay_inferred
Shot Chart Detail,1022600032,81,1643433,Raven Johnson,1611661325,Indiana Fever,1,4,10,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,58,104,1,0,20260520,IND,PDX,2026,102260003281,3500,validated,,0,matched,playbyplayv2,1611661327,1628899|1629482|1630112|1642815|1643433,complete,playbyplay_inferred,1629484|1641650|1642296|1642304|1642782,complete,playbyplay_inferred
Shot Chart Detail,1022600032,89,1643433,Raven Johnson,1611661325,Indiana Fever,1,3,43,Made Shot,Driving Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,1,20260520,IND,PDX,2026,102260003289,3770,validated,,0,matched,playbyplayv2,1611661327,1628899|1629482|1630112|1642815|1643433,complete,playbyplay_inferred,1629484|1641650|1642296|1642304|1642782,complete,playbyplay_inferred
Shot Chart Detail,1022600032,158,1643433,Raven Johnson,1611661325,Indiana Fever,2,9,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,22,-227,31,1,0,20260520,IND,PDX,2026,1022600032158,6380,validated,,0,matched,playbyplayv2,1611661327,1628881|1628909|1629482|1641648|1643433,complete,playbyplay_inferred,1629524|1630134|1630143|1642782|1643436,complete,playbyplay_inferred
Shot Chart Detail,1022600032,270,1643433,Raven Johnson,1611661325,Indiana Fever,2,1,52,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,1,1,1,20260520,IND,PDX,2026,1022600032270,10880,validated,1630112,1,matched,playbyplayv2,1611661327,1630112|1631086|1641648|1642815|1643433,complete,playbyplay_inferred,1629524|1630134|1630143|1631083|1642296,complete,playbyplay_inferred
Shot Chart Detail,1022600032,456,1643433,Raven Johnson,1611661325,Indiana Fever,3,0,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,22,1,0,20260520,IND,PDX,2026,1022600032456,17880,validated,,0,matched,playbyplayv2,1611661327,1628899|1630112|1631086|1642815|1643433,complete,playbyplay_inferred,1629524|1630134|1630143|1631083|1642296,complete,playbyplay_inferred
Shot Chart Detail,1022600032,564,1643433,Raven Johnson,1611661325,Indiana Fever,4,4,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-113,217,1,0,20260520,IND,PDX,2026,1022600032564,21350,validated,,0,matched,playbyplayv2,1611661327,1628899|1630112|1631086|1642815|1643433,complete,playbyplay_inferred,1629484|1630134|1641650|1641683|1643436,complete,playbyplay_inferred
Shot Chart Detail,1022600032,591,1643433,Raven Johnson,1611661325,Indiana Fever,4,2,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-130,210,1,1,20260520,IND,PDX,2026,1022600032591,22280,validated,1630112,1,matched,playbyplayv2,1611661327,1628278|1628881|1630112|1642815|1643433,complete,playbyplay_inferred,1629484|1630134|1641650|1641683|1643436,complete,playbyplay_inferred
