GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022600152,231,1643706,Ornella Bankole,1611661332,Toronto Tempo,2,4,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-16,260,1,0,20260705,TOR,DAL,2026,1022600152231,9300,validated,,0,matched,playbyplayv2,1611661321,1628915|1629497|1631055|1643420|1643706,complete,playbyplay_inferred,1629481|1629491|1629501|1642784|1643425,complete,playbyplay_inferred
Shot Chart Detail,1022600248,421,1643706,Ornella Bankole,1611661332,Toronto Tempo,3,1,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-144,215,1,0,20260812,DAL,TOR,2026,1022600248421,17360,validated,,0,matched,playbyplayv2,1611661321,204330|1628915|1642800|1643445|1643706,complete,playbyplay_inferred,203824|1629481|1630386|1641652|1642793,complete,playbyplay_inferred
Shot Chart Detail,1022600264,246,1643706,Ornella Bankole,1611661332,Toronto Tempo,2,4,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,8,1,0,20260818,TOR,IND,2026,1022600264246,9060,validated,,0,matched,playbyplayv2,1611661325,1627701|1628279|1629497|1643420|1643706,complete,playbyplay_inferred,1628909|1631086|1641648|1642286|1642815,complete,playbyplay_inferred
Shot Chart Detail,1022600264,500,1643706,Ornella Bankole,1611661332,Toronto Tempo,4,7,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,234,28,1,1,20260818,TOR,IND,2026,1022600264500,19440,validated,1643445,1,matched,playbyplayv2,1611661325,204330|1629497|1642800|1643445|1643706,complete,playbyplay_inferred,1629482|1630112|1641648|1642286|1642815,complete,playbyplay_inferred
Shot Chart Detail,1022600267,231,1643706,Ornella Bankole,1611661332,Toronto Tempo,2,3,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,-18,1,1,20260819,WAS,TOR,2026,1022600267231,9630,validated,1643420,1,matched,playbyplayv2,1611661322,204330|1643420|1643445|1643457|1643706,complete,playbyplay_inferred,204335|1631022|1642785|1642792|1643430,complete,playbyplay_inferred
Shot Chart Detail,1022600267,260,1643706,Ornella Bankole,1611661332,Toronto Tempo,2,2,3,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,0,1,1,20260819,WAS,TOR,2026,1022600267260,10770,validated,,0,matched,playbyplayv2,1611661322,204330|1627700|1628915|1643457|1643706,complete,playbyplay_inferred,204335|1642785|1642792|1643427|1643430,complete,playbyplay_inferred
Shot Chart Detail,1022600274,146,1643706,Ornella Bankole,1611661332,Toronto Tempo,1,0,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,26,74,1,0,20260821,TOR,PDX,2026,1022600274146,5990,validated,,0,matched,playbyplayv2,1611661327,1627700|1627701|1642800|1643420|1643706,complete,playbyplay_inferred,1628317|1629484|1629524|1631083|1642304,complete,playbyplay_inferred
Shot Chart Detail,1022600274,180,1643706,Ornella Bankole,1611661332,Toronto Tempo,2,8,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-142,154,1,0,20260821,TOR,PDX,2026,1022600274180,7160,validated,,0,matched,playbyplayv2,1611661327,204330|1627700|1627701|1643445|1643706,complete,playbyplay_inferred,1628317|1629484|1629524|1642304|1643494,complete,playbyplay_inferred
Shot Chart Detail,1022600274,454,1643706,Ornella Bankole,1611661332,Toronto Tempo,3,1,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,230,58,1,1,20260821,TOR,PDX,2026,1022600274454,17250,validated,1627700,1,matched,playbyplayv2,1611661327,1627700|1627701|1643420|1643457|1643706,complete,playbyplay_inferred,1628317|1629484|1629524|1631083|1642304,complete,playbyplay_inferred
Shot Chart Detail,1022600274,481,1643706,Ornella Bankole,1611661332,Toronto Tempo,4,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,234,32,1,1,20260821,TOR,PDX,2026,1022600274481,18540,validated,204330,1,matched,playbyplayv2,1611661327,204330|1627700|1627701|1628915|1643706,complete,playbyplay_inferred,1628317|1629484|1629524|1631083|1642304,complete,playbyplay_inferred
Shot Chart Detail,1022600281,484,1643706,Ornella Bankole,1611661332,Toronto Tempo,4,3,59,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,18,1,0,20260823,TOR,LVA,2026,1022600281484,21610,validated,,0,matched,playbyplayv2,1611661319,1628915|1643420|1643445|1643457|1643706,complete,playbyplay_inferred,203833|204319|1628932|1629498|1642769,complete,playbyplay_inferred
