GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022600004,196,1643425,Azzi Fudd,1611661321,Dallas Wings,2,7,0,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,4,1,1,20260509,IND,DAL,2026,1022600004196,7800,validated,1629491,1,matched,playbyplayv2,1611661325,1629481|1629491|1641652|1642784|1643425,complete,playbyplay_inferred,1629482|1630112|1641648|1642286|1642815,complete,playbyplay_inferred
Shot Chart Detail,1022600004,406,1643425,Azzi Fudd,1611661321,Dallas Wings,3,3,28,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-195,145,1,0,20260509,IND,DAL,2026,1022600004406,15920,validated,,0,matched,playbyplayv2,1611661325,203824|1629491|1641652|1642784|1643425,complete,playbyplay_inferred,203024|1629482|1642286|1642815|1643433,complete,playbyplay_inferred
Shot Chart Detail,1022600019,76,1643425,Azzi Fudd,1611661321,Dallas Wings,1,3,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,12,1,1,20260514,DAL,MIN,2026,102260001976,3930,validated,1641652,1,matched,playbyplayv2,1611661324,1629481|1629501|1641652|1642784|1643425,complete,playbyplay_inferred,203825|1628269|1643426|1643488|1643489,complete,playbyplay_inferred
Shot Chart Detail,1022600019,122,1643425,Azzi Fudd,1611661321,Dallas Wings,2,9,18,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,11,129,1,0,20260514,DAL,MIN,2026,1022600019122,6420,validated,,0,matched,playbyplayv2,1611661324,203824|1630386|1641652|1642793|1643425,complete,playbyplay_inferred,1627675|1630471|1642797|1643488|1643489,complete,playbyplay_inferred
Shot Chart Detail,1022600019,140,1643425,Azzi Fudd,1611661321,Dallas Wings,2,8,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,162,199,1,0,20260514,DAL,MIN,2026,1022600019140,7120,validated,,0,matched,playbyplayv2,1611661324,203824|1630386|1641652|1642793|1643425,complete,playbyplay_inferred,203827|1627675|1630471|1643488|1643489,complete,playbyplay_inferred
Shot Chart Detail,1022600019,204,1643425,Azzi Fudd,1611661321,Dallas Wings,2,4,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-133,77,1,1,20260514,DAL,MIN,2026,1022600019204,9470,validated,1642784,1,matched,playbyplayv2,1611661324,1629481|1629491|1641652|1642784|1643425,complete,playbyplay_inferred,203825|203827|1628269|1630471|1643426,complete,playbyplay_inferred
Shot Chart Detail,1022600019,250,1643425,Azzi Fudd,1611661321,Dallas Wings,2,0,47,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,66,125,1,1,20260514,DAL,MIN,2026,1022600019250,11530,validated,,0,matched,playbyplayv2,1611661324,1629481|1630386|1641652|1642784|1643425,complete,playbyplay_inferred,203825|203827|1627675|1628269|1643426,complete,playbyplay_inferred
Shot Chart Detail,1022600019,328,1643425,Azzi Fudd,1611661321,Dallas Wings,3,4,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,27,1,1,20260514,DAL,MIN,2026,1022600019328,15220,validated,1629501,1,matched,playbyplayv2,1611661324,203824|1629491|1629501|1642784|1643425,complete,playbyplay_inferred,203825|203827|1627675|1643426|1643488,complete,playbyplay_inferred
Shot Chart Detail,1022600019,480,1643425,Azzi Fudd,1611661321,Dallas Wings,4,3,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-171,232,1,0,20260514,DAL,MIN,2026,1022600019480,21820,validated,,0,matched,playbyplayv2,1611661324,1629481|1629491|1629501|1642784|1643425,complete,playbyplay_inferred,203825|203827|1627675|1628269|1643426,complete,playbyplay_inferred
Shot Chart Detail,1022600029,74,1643425,Azzi Fudd,1611661321,Dallas Wings,1,4,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,133,84,1,1,20260518,DAL,WAS,2026,102260002974,3550,validated,1642784,1,matched,playbyplayv2,1611661322,1629481|1629491|1630386|1642784|1643425,complete,playbyplay_inferred,1642775|1643427|1643430|1643455|1643467,complete,playbyplay_inferred
Shot Chart Detail,1022600029,218,1643425,Azzi Fudd,1611661321,Dallas Wings,2,4,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-207,151,1,0,20260518,DAL,WAS,2026,1022600029218,9590,validated,,0,matched,playbyplayv2,1611661322,1629481|1629501|1641652|1642784|1643425,complete,playbyplay_inferred,1642775|1642785|1643427|1643430|1643455,complete,playbyplay_inferred
