GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022600010,474,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,3,1,18,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,16,1,1,20260509,MIN,ATL,2026,1022600010474,17220,validated,1643426,1,matched,playbyplayv2,1611661330,203825|1642797|1643426|1643488|1643489,complete,playbyplay_inferred,1628886|1631009|1631021|1642302|1643431,complete,playbyplay_inferred
Shot Chart Detail,1022600010,521,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,4,8,47,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,0,20260509,MIN,ATL,2026,1022600010521,18730,validated,,0,matched,playbyplayv2,1611661330,1627675|1629581|1642797|1643426|1643489,complete,playbyplay_inferred,1628277|1631009|1631044|1642291|1642804,complete,playbyplay_inferred
Shot Chart Detail,1022600010,576,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,4,5,46,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,32,1,0,20260509,MIN,ATL,2026,1022600010576,20540,validated,,0,matched,playbyplayv2,1611661330,203825|1627675|1628269|1642797|1643426,complete,playbyplay_inferred,1628277|1628886|1631009|1631044|1642291,complete,playbyplay_inferred
Shot Chart Detail,1022600010,578,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,4,5,44,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,27,1,1,20260509,MIN,ATL,2026,1022600010578,20560,validated,,0,matched,playbyplayv2,1611661330,203825|1627675|1628269|1642797|1643426,complete,playbyplay_inferred,1628277|1628886|1631009|1631044|1642291,complete,playbyplay_inferred
Shot Chart Detail,1022600013,131,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,1,1,29,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,-7,1,1,20260512,PHX,MIN,2026,1022600013131,5110,validated,1643489,1,matched,playbyplayv2,1611661317,203825|1642797|1643488|1643489|1643490,complete,playbyplay_inferred,201886|203826|1642768|1643493|1643505,complete,playbyplay_inferred
Shot Chart Detail,1022600013,244,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,2,4,41,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,12,1,0,20260512,PHX,MIN,2026,1022600013244,9190,validated,,0,matched,playbyplayv2,1611661317,203825|203827|1627675|1642797|1643426,complete,playbyplay_inferred,203826|204468|1627674|1630442|1630461,complete,playbyplay_inferred
Shot Chart Detail,1022600019,103,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,1,0,55,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,28,1,0,20260514,DAL,MIN,2026,1022600019103,5450,validated,,0,matched,playbyplayv2,1611661321,203825|1627675|1642797|1643488|1643489,complete,playbyplay_inferred,203824|1630386|1641652|1642793|1643425,complete,playbyplay_inferred
Shot Chart Detail,1022600019,443,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,4,6,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20260514,DAL,MIN,2026,1022600019443,20270,validated,1643426,1,matched,playbyplayv2,1611661321,203825|203827|1642797|1643426|1643489,complete,playbyplay_inferred,1629481|1629491|1641652|1642784|1643425,complete,playbyplay_inferred
Shot Chart Detail,1022600025,133,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,1,0,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,7,1,1,20260517,MIN,CHI,2026,1022600025133,5500,validated,1630471,1,matched,playbyplayv2,1611661329,203825|1629581|1630471|1642797|1643426,complete,playbyplay_inferred,204322|204333|1642288|1642321|1642786,complete,playbyplay_inferred
Shot Chart Detail,1022600036,87,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,1,3,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,1,20260521,MIN,TOR,2026,102260003687,4110,validated,203825,1,matched,playbyplayv2,1611661332,203825|203827|1630471|1642797|1643426,complete,playbyplay_inferred,1628279|1628915|1631118|1643420|1643457,complete,playbyplay_inferred
Shot Chart Detail,1022600036,147,1642797,Anastasiia Olairi Kosu,1611661324,Minnesota Lynx,2,8,17,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,9,1,0,20260521,MIN,TOR,2026,1022600036147,7030,validated,,0,matched,playbyplayv2,1611661332,1627675|1630471|1642797|1642820|1643489,complete,playbyplay_inferred,1628915|1629497|1631263|1643420|1643445,complete,playbyplay_inferred
