GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1029800002,17,100105,Sophia Witherspoon,1611661313,New York Liberty,1,18,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,21,98,186,1,0,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,53,100105,Sophia Witherspoon,1611661313,New York Liberty,1,13,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,1,1,1,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,62,100105,Sophia Witherspoon,1611661313,New York Liberty,1,11,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,113,177,1,1,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,69,100105,Sophia Witherspoon,1611661313,New York Liberty,1,11,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-147,154,1,1,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,180,100105,Sophia Witherspoon,1611661313,New York Liberty,1,2,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-55,143,1,0,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,146,100105,Sophia Witherspoon,1611661313,New York Liberty,1,2,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,8,1,0,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,164,100105,Sophia Witherspoon,1611661313,New York Liberty,1,0,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,143,190,1,0,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,204,100105,Sophia Witherspoon,1611661313,New York Liberty,2,16,4,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,33,1,1,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,207,100105,Sophia Witherspoon,1611661313,New York Liberty,2,15,32,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,38,36,1,0,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,214,100105,Sophia Witherspoon,1611661313,New York Liberty,2,15,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,0,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,228,100105,Sophia Witherspoon,1611661313,New York Liberty,2,13,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-94,63,1,1,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,243,100105,Sophia Witherspoon,1611661313,New York Liberty,2,11,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,12,1,1,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800002,271,100105,Sophia Witherspoon,1611661313,New York Liberty,2,8,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,10,1,1,19980611,CLE,NYL,1998-99
Shot Chart Detail,1029800006,80,100105,Sophia Witherspoon,1611661313,New York Liberty,1,11,7,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,109,100105,Sophia Witherspoon,1611661313,New York Liberty,1,8,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-98,1,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,121,100105,Sophia Witherspoon,1611661313,New York Liberty,1,7,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,149,100105,Sophia Witherspoon,1611661313,New York Liberty,1,4,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-27,128,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,155,100105,Sophia Witherspoon,1611661313,New York Liberty,1,4,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,100,74,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,211,100105,Sophia Witherspoon,1611661313,New York Liberty,1,0,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,48,38,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,242,100105,Sophia Witherspoon,1611661313,New York Liberty,2,16,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,149,63,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,353,100105,Sophia Witherspoon,1611661313,New York Liberty,2,4,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,21,119,181,1,1,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,374,100105,Sophia Witherspoon,1611661313,New York Liberty,2,2,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,-8,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,383,100105,Sophia Witherspoon,1611661313,New York Liberty,2,2,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,21,-205,66,1,0,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800006,385,100105,Sophia Witherspoon,1611661313,New York Liberty,2,2,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-134,-21,1,1,19980613,HOU,NYL,1998-99
Shot Chart Detail,1029800011,9,100105,Sophia Witherspoon,1611661313,New York Liberty,1,18,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,111,124,1,1,19980615,UTA,NYL,1998-99
Shot Chart Detail,1029800011,42,100105,Sophia Witherspoon,1611661313,New York Liberty,1,14,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,113,175,1,0,19980615,UTA,NYL,1998-99
Shot Chart Detail,1029800011,72,100105,Sophia Witherspoon,1611661313,New York Liberty,1,11,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,66,194,1,0,19980615,UTA,NYL,1998-99
Shot Chart Detail,1029800011,77,100105,Sophia Witherspoon,1611661313,New York Liberty,1,10,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,93,181,1,1,19980615,UTA,NYL,1998-99
Shot Chart Detail,1029800011,88,100105,Sophia Witherspoon,1611661313,New York Liberty,1,9,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,38,151,1,0,19980615,UTA,NYL,1998-99
