GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,SHOOTING_TEAM_ID,SHOOTING_TEAM_NAME
Shot Chart Detail,1042400111,7,203398,Brittney Griner,1611661324,Minnesota Lynx,1,9,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-32,99,1,1,20240922,MIN,PHO,2024,10424001117,190,validated,100940,1,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,11,1627674,Kahleah Copper,1611661324,Minnesota Lynx,1,9,14,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,18,1,1,20240922,MIN,PHO,2024,104240011111,460,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,14,1627674,Kahleah Copper,1611661324,Minnesota Lynx,1,8,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,82,160,1,0,20240922,MIN,PHO,2024,104240011114,830,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,18,203398,Brittney Griner,1611661324,Minnesota Lynx,1,8,8,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,22,1,0,20240922,MIN,PHO,2024,104240011118,1120,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,27,204333,Natasha Cloud,1611661324,Minnesota Lynx,1,7,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20240922,MIN,PHO,2024,104240011127,1340,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,30,100940,Diana Taurasi,1611661324,Minnesota Lynx,1,7,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,108,229,1,0,20240922,MIN,PHO,2024,104240011130,1700,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,34,100940,Diana Taurasi,1611661324,Minnesota Lynx,1,6,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-24,185,1,0,20240922,MIN,PHO,2024,104240011134,1930,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,40,204333,Natasha Cloud,1611661324,Minnesota Lynx,1,6,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,19,1,1,20240922,MIN,PHO,2024,104240011140,2140,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,45,204333,Natasha Cloud,1611661324,Minnesota Lynx,1,5,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-88,157,1,0,20240922,MIN,PHO,2024,104240011145,2530,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
Shot Chart Detail,1042400111,49,100940,Diana Taurasi,1611661324,Minnesota Lynx,1,5,20,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,0,1,0,20240922,MIN,PHO,2024,104240011149,2800,validated,,0,matched,playbyplayv2,1611661317,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred,100940|203398|204333|1627674|1629482,complete,playbyplay_inferred,1611661317,Phoenix Mercury
