GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021800048,121,201530,Sequoia Holmes,1611661319,Las Vegas Aces,1,0,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-175,2,1,1,20180610,PHO,LVA,2018,1021800048121,5950,validated,1628263,1,matched,playbyplayv2,1611661317,201530|202670|1628263|1628913|1628932,complete,playbyplay_inferred,201067|201507|203389|203398|203855,complete,playbyplay_inferred
Shot Chart Detail,1021800055,127,201530,Sequoia Holmes,1611661319,Las Vegas Aces,2,9,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,15,1,0,20180613,NYL,LVA,2018,1021800055127,6370,validated,,0,matched,playbyplayv2,1611661313,201530|203402|204324|1628263|1628913,complete,playbyplay_inferred,203411|204320|204327|204329|1628915,complete,playbyplay_inferred
Shot Chart Detail,1021800055,131,201530,Sequoia Holmes,1611661319,Las Vegas Aces,2,9,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,-3,1,1,20180613,NYL,LVA,2018,1021800055131,6410,validated,1628913,1,matched,playbyplayv2,1611661313,201530|203402|204324|1628263|1628913,complete,playbyplay_inferred,203411|204320|204327|204329|1628915,complete,playbyplay_inferred
