GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041900301,145,1628917,JiSu Park,1611661319,Las Vegas Aces,2,9,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,14,1,1,20190917,WAS,LVA,2019,1041900301145,6400,validated,202633,1,matched,playbyplayv2,1611661322,202633|203411|204324|1628276|1628917,complete,playbyplay_inferred,201911|203403|203416|1627672|1628878,complete,playbyplay_inferred
Shot Chart Detail,1041900301,406,1628917,JiSu Park,1611661319,Las Vegas Aces,3,2,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,38,1,0,20190917,WAS,LVA,2019,1041900301406,16760,validated,,0,matched,playbyplayv2,1611661322,203825|204324|1628276|1628917|1628932,complete,playbyplay_inferred,201911|203399|203403|203416|204333,complete,playbyplay_inferred
Shot Chart Detail,1041900301,410,1628917,JiSu Park,1611661319,Las Vegas Aces,3,1,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,95,38,1,0,20190917,WAS,LVA,2019,1041900301410,16880,validated,,0,matched,playbyplayv2,1611661322,203825|204324|1628276|1628917|1628932,complete,playbyplay_inferred,201911|203399|203403|203416|204333,complete,playbyplay_inferred
Shot Chart Detail,1041900303,543,1628917,JiSu Park,1611661319,Las Vegas Aces,4,1,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-54,170,1,0,20190922,LVA,WAS,2019,1041900303543,22820,validated,,0,matched,playbyplayv2,1611661322,202670|203825|204324|1628276|1628917,complete,playbyplay_inferred,203403|1627672|1628278|1628878|1628899,complete,playbyplay_inferred
Shot Chart Detail,1041900303,547,1628917,JiSu Park,1611661319,Las Vegas Aces,4,1,25,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,41,23,1,0,20190922,LVA,WAS,2019,1041900303547,23150,validated,,0,matched,playbyplayv2,1611661322,202670|203825|204324|1628276|1628917,complete,playbyplay_inferred,203403|1627672|1628278|1628878|1628899,complete,playbyplay_inferred
