GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,SEASON,time,SHOT_DATA_STATUS,RAW_PERIOD,RAW_MINUTES_REMAINING,RAW_SECONDS_REMAINING,SHOT_CLOCK_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1020500012,180,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,1,0,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-10,153,1,0,20050525,MIN,LAS,1020500012180,2005,11560,validated,1,0,44,source,,0,matched,playbyplayv2,1611661324,100008|100347|100356|100930|100988,complete,playbyplay_inferred,100404|100658|100725|100932|100935,complete,playbyplay_inferred
Shot Chart Detail,1020500014,165,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,1,0,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,210,86,1,1,20050526,WAS,LAS,1020500014165,2005,11770,validated,1,0,23,source,100008,1,matched,playbyplayv2,1611661322,100008|100356|100724|100930|100988,complete,playbyplay_inferred,100199|100371|100433|100496|100651,complete,playbyplay_inferred
Shot Chart Detail,1020500014,296,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,2,7,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,100,87,1,0,20050526,WAS,LAS,1020500014296,2005,19710,validated,2,7,9,source,,0,matched,playbyplayv2,1611661322,100347|100356|100724|100930|100988,complete,playbyplay_inferred,100396|100433|100496|100556|101084,complete,playbyplay_inferred
Shot Chart Detail,1020500014,303,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,2,6,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,26,212,1,1,20050526,WAS,LAS,1020500014303,2005,20070,validated,2,6,33,source,100356,1,matched,playbyplayv2,1611661322,100347|100356|100724|100930|100988,complete,playbyplay_inferred,100396|100433|100496|100556|101084,complete,playbyplay_inferred
Shot Chart Detail,1020500019,267,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,2,10,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22,121,186,1,0,20050528,CHA,LAS,1020500019267,2005,17790,validated,2,10,21,source,,0,matched,playbyplayv2,1611661314,100003|100356|100724|100930|100988,complete,playbyplay_inferred,100170|100372|100628|100643|101042,complete,playbyplay_inferred
Shot Chart Detail,1020500024,52,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,1,14,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050531,LAS,SAN,102050002452,2005,3240,validated,1,14,36,source,100356,1,matched,playbyplayv2,1611661319,100003|100008|100356|100724|100988,complete,playbyplay_inferred,100046|100198|100410|100685|100873,complete,playbyplay_inferred
Shot Chart Detail,1020500024,90,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,1,9,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,22,-220,45,1,0,20050531,LAS,SAN,102050002490,2005,6220,validated,1,9,38,source,,0,matched,playbyplayv2,1611661319,100003|100356|100724|100930|100988,complete,playbyplay_inferred,100046|100198|100410|100883|101026,complete,playbyplay_inferred
Shot Chart Detail,1020500024,179,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,1,0,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,34,64,1,0,20050531,LAS,SAN,1020500024179,2005,11450,validated,1,0,55,source,,0,matched,playbyplayv2,1611661319,100003|100008|100356|100394|100988,complete,playbyplay_inferred,100046|100410|100685|100873|100883,complete,playbyplay_inferred
Shot Chart Detail,1020500024,398,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,2,0,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050531,LAS,SAN,1020500024398,2005,23950,validated,2,0,5,source,100003,1,matched,playbyplayv2,1611661319,100003|100008|100347|100356|100988,complete,playbyplay_inferred,100046|100375|100410|100685|100883,complete,playbyplay_inferred
Shot Chart Detail,1020500032,56,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,1,12,46,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,15,1,0,20050604,SAC,LAS,102050003256,2005,4340,validated,1,12,46,source,,0,matched,playbyplayv2,1611661318,100003|100347|100356|100724|100988,complete,playbyplay_inferred,100419|100919|100944|101027|101040,complete,playbyplay_inferred
Shot Chart Detail,1020500032,116,100988,Raffaella Masciadri,1611661320,Los Angeles Sparks,1,7,16,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),16-24 ft.,21,215,13,1,0,20050604,SAC,LAS,1020500032116,2005,7640,validated,1,7,16,source,,0,matched,playbyplayv2,1611661318,100356|100394|100930|100931|100988,complete,playbyplay_inferred,100234|100533|100731|100944|101000,complete,playbyplay_inferred
