GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,SEASON,time,SHOT_DATA_STATUS,RAW_PERIOD,RAW_MINUTES_REMAINING,RAW_SECONDS_REMAINING,SHOT_CLOCK_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1020500009,92,101033,Roneeka Hodges,1611661316,Houston Comets,1,9,42,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,34,40,1,0,20050522,HOU,MIN,102050000992,2005,6180,validated,1,9,42,source,,0,matched,playbyplayv2,1611661324,100075|100363|100413|100729|101033,complete,playbyplay_inferred,100470|100642|100932|100933|100935,complete,playbyplay_inferred
Shot Chart Detail,1020500020,130,101033,Roneeka Hodges,1611661316,Houston Comets,1,7,30,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,220,2,1,0,20050529,HOU,IND,1020500020130,2005,7500,validated,1,7,30,source,,0,matched,playbyplayv2,1611661325,100072|100075|100384|100729|101033,complete,playbyplay_inferred,100284|100648|100727|101006|101020,complete,playbyplay_inferred
Shot Chart Detail,1020500020,150,101033,Roneeka Hodges,1611661316,Houston Comets,1,5,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-171,133,1,1,20050529,HOU,IND,1020500020150,2005,8820,validated,1,5,18,source,100072,1,matched,playbyplayv2,1611661325,100072|100075|100384|100729|101033,complete,playbyplay_inferred,100284|100627|100646|100648|100727,complete,playbyplay_inferred
Shot Chart Detail,1020500020,156,101033,Roneeka Hodges,1611661316,Houston Comets,1,4,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,22,-187,122,1,0,20050529,HOU,IND,1020500020156,2005,9240,validated,1,4,36,source,,0,matched,playbyplayv2,1611661325,100072|100075|100384|100729|101033,complete,playbyplay_inferred,100284|100366|100627|100646|100727,complete,playbyplay_inferred
Shot Chart Detail,1020500020,282,101033,Roneeka Hodges,1611661316,Houston Comets,2,8,38,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,220,-9,1,0,20050529,HOU,IND,1020500020282,2005,18820,validated,2,8,38,source,,0,matched,playbyplayv2,1611661325,100072|100075|100552|100729|101033,complete,playbyplay_inferred,100627|100646|100727|100928|101006,complete,playbyplay_inferred
Shot Chart Detail,1020500036,139,101033,Roneeka Hodges,1611661316,Houston Comets,1,3,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-161,163,1,0,20050607,HOU,MIN,1020500036139,2005,9770,validated,1,3,43,source,,0,matched,playbyplayv2,1611661324,100072|100075|100552|100729|101033,complete,playbyplay_inferred,100222|100404|100932|101029|101035,complete,playbyplay_inferred
Shot Chart Detail,1020500045,183,101033,Roneeka Hodges,1611661316,Houston Comets,1,0,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-6,1,0,20050610,HOU,CON,1020500045183,2005,11860,validated,1,0,14,source,,0,matched,playbyplayv2,1611661323,100072|100075|100413|100729|101033,complete,playbyplay_inferred,100412|100415|100667|100723|100915,complete,playbyplay_inferred
Shot Chart Detail,1020500045,273,101033,Roneeka Hodges,1611661316,Houston Comets,2,11,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,-23,1,0,20050610,HOU,CON,1020500045273,2005,17230,validated,2,11,17,source,,0,matched,playbyplayv2,1611661323,100363|100413|101018|101023|101033,complete,playbyplay_inferred,100239|100666|100667|100723|100915,complete,playbyplay_inferred
Shot Chart Detail,1020500045,284,101033,Roneeka Hodges,1611661316,Houston Comets,2,9,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,90,130,1,0,20050610,HOU,CON,1020500045284,2005,18450,validated,2,9,15,source,,0,matched,playbyplayv2,1611661323,100363|100413|101018|101023|101033,complete,playbyplay_inferred,100239|100666|100667|100723|100915,complete,playbyplay_inferred
Shot Chart Detail,1020500045,349,101033,Roneeka Hodges,1611661316,Houston Comets,2,3,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,200,104,1,0,20050610,HOU,CON,1020500045349,2005,22080,validated,2,3,12,source,,0,matched,playbyplayv2,1611661323,100072|100413|100729|101018|101033,complete,playbyplay_inferred,100412|100415|100666|100723|100915,complete,playbyplay_inferred
Shot Chart Detail,1020500045,351,101033,Roneeka Hodges,1611661316,Houston Comets,2,3,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,98,36,1,0,20050610,HOU,CON,1020500045351,2005,22120,validated,2,3,8,source,,0,matched,playbyplayv2,1611661323,100072|100413|100729|101018|101033,complete,playbyplay_inferred,100412|100415|100666|100723|100915,complete,playbyplay_inferred
